,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
1368507,jsonld-java/jsonld-java,Java,0.901639,2,1,0.211761,19.772726,4.863636,1,11041,0.25589,157,1,1,1,1
1370301,ActiveJpa/activejpa,Java,0.898734,1,1,0.2035,16.3125,1.5625,1,6879,0.359275,97,1,1,1,1
1376418,RoboBinding/RoboBinding,Java,0.958884,1,0,0.215294,17.125,4.875,1,23581,0.321067,1107,1,1,1,1
1380479,maxmind/GeoIP2-java,Java,1.0,2,1,0.253948,20.368422,1.894737,1,2686,0.393954,147,1,1,1,1
1392104,Mashape/unirest-java,Java,0.933333,1,1,0.225946,11.88,3.32,1,2168,0.305373,722,1,1,1,1
1394887,mapstruct/mapstruct,Java,0.960499,3,0,0.39164,32.347824,22.826088,1,36449,0.254974,284,1,1,1,1
1397560,hekailiang/squirrel,Java,0.943396,1,0,0.12589,22.095238,2.047619,1,15526,0.350121,341,1,1,1,1
1398222,AdoptOpenJDK/lambda-tutorial,Java,0.888889,2,1,0.533866,15.9,1.6,1,1489,0.317073,75,1,1,1,1
1429668,j256/ormlite-core,Java,0.996283,1,0,0.14355,10.478261,2.086957,1,45949,0.57276,251,1,1,1,1
1431801,togglz/togglz,Java,0.987854,1,1,0.126276,13.315789,2.631579,1,18403,0.412601,175,1,1,1,1
1433088,JakeWharton/butterknife,Java,0.967742,2,1,0.085417,15.75,10.166667,1,6685,0.595888,7421,1,1,1,1
1438311,Netflix/denominator,Java,0.985663,1,1,0.104559,36.472221,10.194444,1,23191,0.468007,219,1,1,1,1
1444261,sculptor/sculptor,Java,0.88932,2,1,0.206369,27.0,7.125,1,35274,0.287203,93,1,1,1,1
1452992,stephanenicolas/Quality-Tools-for-Android,Java,0.8,1,1,0.106853,12.818182,3.727273,1,2919,0.258216,1053,1,1,1,1
1464724,joelittlejohn/jsonschema2pojo,Java,0.9,2,1,0.268417,14.481481,8.555556,1,12464,0.505324,1486,1,1,1,1
1465161,bwaldvogel/mongo-java-server,Java,0.986667,2,1,0.035802,10.208333,0.5,1,9292,0.396322,53,1,1,1,1
1482808,junit-team/junit,Java,0.928934,31,1,0.18272,13.678363,6.508772,1,31046,0.911361,4545,1,1,1,1
1514604,square/android-times-square,Java,0.857143,11,1,0.093992,10.583333,8.208333,1,2942,0.277223,2614,1,1,1,1
1514661,Netflix/ribbon,Java,0.986441,3,0,0.248462,25.666668,9.125,1,21701,0.308754,699,1,1,1,1
1519630,Dandelion/dandelion,Java,0.877119,2,0,0.413533,20.799999,1.72,1,17300,0.250977,52,1,1,1,1
1520138,CamelCookbook/camel-cookbook-examples,Java,0.81336,2,1,0.357356,13.590909,0.681818,1,20953,0.741432,113,1,1,1,1
1524819,jmxtrans/jmxtrans,Java,0.982456,11,1,0.109444,12.282051,6.076923,1,16672,0.275633,851,1,1,1,1
1526421,jqno/equalsverifier,Java,0.827586,1,1,0.235398,16.360001,0.44,1,13151,0.640352,84,1,1,1,1
1552341,p6spy/p6spy,Java,0.994118,2,1,0.341079,38.451614,9.0,1,11511,0.429462,213,1,1,1,1
1554437,ThreeTen/threeten-extra,Java,1.0,2,1,0.375787,15.892857,1.428571,1,19634,0.643864,61,1,1,1,1
1567211,lviggiano/owner,Java,0.95,1,1,0.210416,30.538462,4.769231,1,12359,0.595178,334,1,1,1,1
1567661,vkostyukov/la4j,Java,1.0,3,1,0.285089,30.692308,9.807692,1,13253,0.292254,207,1,1,1,1
1568484,jenetics/jenetics,Java,0.950495,1,1,0.390915,21.482759,0.62069,1,25865,0.322426,64,1,1,1,1
1574673,crawljax/crawljax,Java,0.963235,3,0,0.30331,26.545456,10.681818,1,48625,0.307328,281,1,1,1,1
1575693,wesabe/grendel,Java,1.0,1,0,0.165799,13.0,0.153846,1,7336,0.606388,103,1,1,1,1
1586127,Netflix/Hystrix,Java,0.932203,4,1,0.306922,39.0,20.25,1,32862,0.558449,5230,1,1,1,1
1589869,anjlab/sat3,Java,0.9375,2,0,0.152087,24.5,0.25,1,10153,0.270257,76,1,1,1,1
1594777,datastax/java-driver,Java,0.973077,4,1,0.341187,61.4375,9.46875,1,30062,0.349207,587,1,1,1,1
1597671,paulhoule/infovore,Java,0.95671,2,1,0.061142,21.92,4.88,1,16332,0.271582,128,1,1,1,1
1599924,Atmosphere/wasync,Java,0.981818,1,0,0.284283,12.214286,4.321429,1,6265,0.466227,111,1,1,1,1
1601371,Netflix/governator,Java,0.853933,3,0,0.266376,16.222221,5.083333,1,13260,0.311041,346,1,1,1,1
1602644,dreamhead/moco,Java,0.987461,1,1,0.00314,33.034485,3.862069,1,17479,0.367255,1140,1,1,1,1
1604047,mattdesl/lwjgl-basics,Java,1.0,1,0,0.353246,10.333333,0.444444,1,3649,0.543418,811,1,1,1,1
1611819,aaberg/sql2o,Java,0.957831,3,1,0.151645,12.459459,4.513514,1,8160,0.35113,258,1,1,1,1
1638078,LMAX-Exchange/disruptor,Java,0.977401,2,0,0.287909,11.034483,2.793103,1,12646,0.323275,3914,1,1,1,1
1642066,ChonC/wtbox,Java,0.75,1,0,0.290173,14.75,0.0,1,1919,0.335518,56,1,0,1,1
1644077,square/dagger,Java,0.873134,5,1,0.251932,26.78125,16.5625,1,10831,0.406463,4663,1,1,1,1
1644153,GistLabs/mechanize,Java,0.993506,1,0,0.206077,10.608696,0.521739,1,10611,0.308081,58,1,1,1,1
1644282,yandex-qatools/htmlelements,Java,1.0,5,0,0.257571,15.535714,2.535714,1,5149,0.278539,136,1,1,1,1
1644998,MateVM/MateVM,Java,1.0,1,0,0.029732,17.076923,0.0,0,18560,0.972474,67,0,0,1,0
1667793,datasalt/pangool,Java,1.0,3,0,0.217662,14.828571,1.171429,1,26003,0.274649,59,1,1,1,1
1672425,stickfigure/objectify,Java,0.976879,2,1,0.292296,12.604651,0.325581,1,17665,0.457167,317,1,1,1,1
1678546,OpenConextApps/apis,Java,0.974138,3,0,0.177262,11.65625,2.21875,1,37103,0.257188,391,1,1,1,1
1678760,janinko/ghprb,Java,1.0,7,0,0.078333,13.741935,7.677419,1,3953,0.349501,254,1,1,1,1
1683477,jacoco/jacoco,Java,0.908497,3,1,0.265088,10.568182,7.5,1,37917,0.528966,442,1,1,1,1
1686417,yegor256/s3auth,Java,0.903846,2,1,0.372672,24.32258,8.870968,1,11113,0.361689,102,1,1,1,1
1701076,SonarCommunity/sonar-javascript,Java,0.953177,2,0,0.316055,18.840908,0.272727,1,28595,0.257578,65,1,1,1,1
1701790,apache/whirr,Java,0.976401,4,0,0.248631,13.022727,0.159091,1,28173,0.333872,94,1,1,1,1
1710817,airlift/airlift,Java,0.97397,4,1,0.135058,31.381819,5.309091,1,48581,0.399362,138,1,1,1,1
1711136,tillnagel/unfolding,Java,0.938111,3,0,0.134172,14.956522,2.282609,1,33164,0.263659,268,1,1,1,1
1711395,branflake2267/GWT-Maps-V3-Api,Java,0.99654,2,0,0.468443,20.230768,8.423077,1,29374,0.578094,141,1,1,1,1
1713404,adamfisk/LittleProxy,Java,0.985075,2,1,0.178701,10.676923,2.461538,1,12726,0.264798,586,1,1,1,1
1715130,elasticsearch/elasticsearch-hadoop,Java,0.966408,1,1,0.222058,31.222221,10.75,1,31197,0.316043,647,1,1,1,1
1719166,buddycloud/buddycloud-server-java,Java,0.976285,2,1,0.046149,22.444445,6.688889,1,27894,0.504664,54,1,1,1,1
1719817,agoncal/agoncal-book-javaee7,Java,0.936,1,0,0.25058,25.4375,1.25,0,26524,0.272841,137,0,1,1,1
1721970,antlr/stringtemplate4,Java,0.971698,2,0,0.210682,11.078125,1.671875,1,15561,0.578327,204,1,1,1,1
1724696,pkainulainen/Examples,Java,0.608696,1,0,0.226508,10.941176,0.058824,1,1103,0.253623,64,1,1,1,1
1725033,webbit/webbit,Java,1.0,4,1,0.168933,15.765957,2.978723,1,14946,0.262371,699,1,1,1,1
1725158,filipg/amu_automata_2011,Java,0.988372,45,0,0.204682,234.888885,79.111115,0,14067,0.59439,130,1,1,1,1
1726793,couchbase/couchbase-java-client,Java,0.975,3,0,0.458626,13.275,0.225,1,15224,0.315684,164,1,1,1,1
1727170,casidiablo/persistence,Java,0.982759,1,1,0.271561,10.761905,0.619048,1,5299,0.375148,71,1,1,1,1
1728752,azagniotov/stubby4j,Java,0.939394,1,1,0.131893,25.21212,1.333333,1,15574,0.582948,114,1,1,1,1
1732438,Findwise/Hydra,Java,0.989011,7,1,0.068193,29.30303,12.030303,1,26196,0.332807,76,1,1,1,1
1736189,valotrading/stirling,Java,1.0,3,1,0.208533,21.682926,4.292683,1,19084,0.251471,54,1,1,1,1
1736750,xwiki/xwiki-enterprise,Java,0.985782,6,0,0.28763,42.827957,0.655914,1,43400,0.593216,96,1,1,1,1
1739326,tomakehurst/wiremock,Java,0.99,1,1,0.178153,14.853659,6.292683,1,19894,0.435874,742,1,1,1,1
1740121,demoiselle/framework,Java,0.866279,4,0,0.455582,31.18919,0.891892,1,37523,0.317541,79,1,1,1,1
1740377,laforge49/JActor,Java,0.954167,1,0,0.47171,52.599998,0.2,1,6985,0.30003,261,1,1,1,1
1741627,xetorthio/johm,Java,0.804878,2,0,0.04466,17.25,9.0,1,3674,0.310738,229,1,1,1,1
1742395,stripe/stripe-java,Java,1.0,12,1,0.038428,12.488372,3.627907,1,9871,0.25035,179,1,1,1,1
1743177,splunk/splunk-sdk-java,Java,1.0,6,0,0.349703,30.075001,1.85,1,32328,0.377211,69,1,1,1,1
1743595,jbee/silk,Java,0.992063,1,0,0.185384,12.971429,1.8,1,9021,0.423834,57,1,1,1,1
1744220,hector-client/hector,Java,0.982759,13,0,0.194035,19.547171,12.641509,1,33101,0.270046,669,1,1,1,1
1744689,Gornova/MarteEngine,Java,1.0,2,0,0.157368,16.526316,5.736842,1,8646,0.636184,72,1,1,1,1
1745545,arquillian/arquillian-core,Java,0.973384,3,0,0.319516,12.96875,1.40625,1,33755,0.400952,177,1,1,1,1
1746125,qiniu/java-sdk,Java,0.918919,5,1,0.243532,11.972222,4.777778,1,2896,0.253191,132,1,1,1,1
1746150,datasift/dropwizard-extra,Java,1.0,1,0,0.387749,13.741935,1.032258,1,6409,0.387701,96,1,1,1,1
1746252,imagej/imagej,Java,0.5,2,0,0.188986,119.952377,2.714286,1,2292,0.429752,166,1,1,1,1
1746269,spatial4j/spatial4j,Java,0.924731,2,1,0.241793,11.930233,2.27907,1,10310,0.274082,269,1,1,1,1
1747308,marubinotto/Piggydb,Java,0.988636,1,1,0.075466,20.857143,0.607143,1,45576,0.380118,67,1,1,1,1
1748206,javalite/activejdbc,Java,0.991304,3,0,0.302652,20.863636,19.772726,1,20793,0.295315,286,1,1,1,1
1751159,EmirWeb/parchment,Java,0.955224,1,1,0.032001,14.428571,3.0,1,7687,0.370585,96,1,1,1,1
1757176,ninjaframework/ninja,Java,0.986425,6,0,0.312791,38.076923,11.0,1,33757,0.376713,1224,1,1,1,1
1759724,WiQuery/wiquery,Java,0.971098,4,0,0.357439,10.809524,1.119048,1,41395,0.298682,69,1,1,1,1
1761257,confluentinc/schema-registry,Java,0.961905,4,0,0.231539,116.0,28.0,1,8616,0.294556,152,1,1,1,1
1763033,broadinstitute/picard,Java,0.983193,10,1,0.243154,30.142857,2.628571,1,40473,0.303504,150,1,1,1,1
1763653,blazsolar/android-collapse-calendar-view,Java,0.966667,1,1,0.055412,14.333333,0.5,1,3161,0.405226,302,1,1,1,1
1769122,RichardWarburton/lambda-behave,Java,0.965217,1,1,0.133691,20.333332,9.555556,1,4329,0.256827,159,1,1,1,1
1797712,OpenHFT/zero-allocation-hashing,Java,0.9375,2,1,0.211612,14.5,2.5,1,3351,0.657952,131,1,1,1,1
1801803,mongodb/morphia,Java,0.964361,3,1,0.157878,18.702703,12.810811,1,32539,0.55107,881,1,1,1,1
1806936,android/platform_packages_providers_downloadprovider,Java,1.0,3,0,0.195865,16.928572,0.0,1,13841,0.257724,57,1,0,1,1
1807387,nusco/swimmers,Java,0.953846,1,0,0.037528,28.0,0.0,1,2645,0.383028,54,1,0,1,1
1810828,hcoles/pitest,Java,0.988266,3,1,0.161967,16.428572,13.5,1,42409,0.479193,269,1,1,1,1
1813215,spring-projects/spring-data-graph,Java,0.933824,2,0,0.222021,33.333332,0.0,1,23162,0.34812,53,1,0,1,1
1813378,verisign/storm-graphite,Java,0.875,1,1,0.204062,79.0,10.0,1,1300,0.54386,51,1,1,1,1
1814326,uniVocity/univocity-parsers,Java,0.973154,1,0,0.444017,18.75,1.5,1,9881,0.343432,176,1,1,1,1
1817213,rhuss/docker-maven-plugin,Java,0.974359,1,1,0.213618,33.5,11.333333,1,8718,0.252444,305,1,1,1,1
1820200,kevinsawicki/gitective,Java,1.0,1,0,0.459107,10.352941,0.411765,0,10035,0.499534,96,0,1,1,1
1823931,sahan/RoboZombie,Java,0.902857,1,1,0.583887,19.9,2.6,1,8158,0.271828,92,1,1,1,1
1826875,facebook/hive-dwrf,Java,0.986014,4,0,0.216441,14.588235,1.0,1,18123,0.304377,64,1,1,1,1
1828004,orfjackal/jumi,Java,0.979933,1,0,0.078718,20.555555,0.166667,1,17302,0.517603,55,1,1,1,1
1836621,ktoso/maven-git-commit-id-plugin,Java,1.0,2,1,0.280735,11.510204,3.591837,1,5155,0.437182,323,1,1,1,1
1844096,xebialabs/overthere,Java,0.940397,2,0,0.332364,17.693878,3.306122,1,11475,0.292252,114,1,1,1,1
1844112,carrotsearch/randomizedtesting,Java,0.953003,1,0,0.17333,13.081081,5.027027,1,25101,0.709719,68,1,1,1,1
1844191,richardwilly98/elasticsearch-river-mongodb,Java,0.969697,3,0,0.082132,18.945946,12.567568,1,12116,0.498944,894,1,1,1,1
1844243,ryantenney/metrics-spring,Java,0.985507,1,1,0.234756,10.911765,3.147059,1,5601,0.326401,313,1,1,1,1
1844398,tdunning/knn,Java,0.916667,3,0,0.353035,10.3,0.5,1,2250,0.327041,66,1,1,1,1
1845249,peichhorn/lombok-pg,Java,0.948675,1,1,0.177205,12.08,5.92,1,27411,0.503964,186,1,1,1,1
1845948,sap-production/xcode-maven-plugin,Java,0.993333,4,0,0.22979,13.275862,5.137931,1,18755,0.409493,60,1,1,1,1
1846102,Atmosphere/nettosphere,Java,0.92,1,0,0.176054,10.378378,2.216216,1,4541,0.293405,203,1,1,1,1
1846211,searchbox-io/Jest,Java,0.98513,4,1,0.074468,15.794118,5.676471,1,17529,0.573561,409,1,1,1,1
1846478,openshift/openshift-java-client,Java,0.991667,4,1,0.152184,13.439024,5.243902,1,41570,0.352278,63,1,1,1,1
1847433,ralscha/extdirectspring,Java,0.962441,1,1,0.161092,17.472221,3.722222,1,23909,0.54073,82,1,1,1,1
1847728,tinkerpop/rexster,Java,0.980843,2,1,0.148508,21.352942,7.647059,1,42099,0.389221,431,1,1,1,1
1847965,caprica/vlcj,Java,0.905882,1,0,0.507823,18.416668,7.729167,1,20392,0.404156,302,1,1,1,1
1848696,jboss-switchyard/quickstarts,Java,0.946429,8,0,0.271846,10.408163,9.122449,1,45527,0.254909,57,1,1,1,1
1848780,basho/riak-java-client,Java,0.93,4,1,0.299533,22.349207,7.984127,1,29232,0.368639,241,1,1,1,1
1848992,Netflix/archaius,Java,0.976,5,0,0.333944,15.606061,8.575758,1,11609,0.349506,829,1,1,1,1
1849057,alexruiz/fest-assert-2.x,Java,0.99602,3,0,0.366822,12.714286,4.02381,1,43210,0.846208,365,1,1,1,1
1849143,square/retrofit,Java,0.888889,11,1,0.227027,22.018518,14.907407,1,7291,0.447666,10050,1,1,1,1
1849389,dhanji/loop,Java,1.0,1,0,0.119989,10.588235,0.588235,1,12688,0.271333,119,1,1,1,1
1849950,jberkel/sms-backup-plus,Java,0.940678,1,1,0.041686,13.944444,9.962963,1,16652,0.25967,942,1,1,1,1
1849966,jknack/handlebars.java,Java,0.981752,2,1,0.278348,15.935484,9.741935,1,27831,0.540981,582,1,1,1,1
1850144,jayway/rest-assured,Java,0.977199,1,1,0.431617,14.533333,0.755556,1,33562,0.543091,896,1,1,1,1
1850215,dblock/waffle,Java,0.895288,2,1,0.335516,14.066667,4.533333,1,17513,0.372109,175,1,1,1,1
1850242,scobal/seyren,Java,0.967033,3,1,0.133364,12.857143,6.542857,1,10177,0.325684,663,1,1,1,1
1850323,bguerout/jongo,Java,0.970803,2,0,0.248223,23.052631,6.473684,1,6988,0.549763,359,1,1,1,1
1850465,FluentLenium/FluentLenium,Java,0.973684,2,0,0.298083,12.488372,3.72093,1,8310,0.572049,442,1,1,1,1
1850799,caelum/vraptor,Java,0.976778,8,1,0.278561,22.636906,3.994048,1,35456,0.484474,384,1,1,1,1
1851172,taskadapter/redmine-java-api,Java,0.969697,2,0,0.203248,12.933333,3.911111,1,9923,0.331814,118,1,1,1,1
1851670,vvakame/JsonPullParser,Java,0.964789,1,1,0.366658,10.619048,0.97619,1,14763,0.280588,109,1,1,1,1
1851899,searls/jasmine-maven-plugin,Java,0.987805,2,1,0.054134,11.043478,6.108696,1,10970,0.48264,285,1,1,1,1
1851924,Netflix/curator,Java,1.0,1,0,0.123962,25.159092,6.681818,1,1799,0.736622,1300,1,1,1,1
1851958,jhy/jsoup,Java,0.928571,1,1,0.172199,12.825397,8.603175,1,21529,0.29466,2655,1,1,1,1
1852260,eugenp/REST,Java,0.949367,2,0,0.160943,12.37037,1.962963,0,19690,0.348053,416,1,1,1,1
1852271,square/okhttp,Java,0.995595,3,1,0.185243,64.195648,32.108696,1,40493,0.522739,9133,1,1,1,1
1852367,resthub/resthub-spring-stack,Java,0.870968,4,1,0.142075,11.5,6.65,1,8432,0.454964,120,1,1,1,1
1852449,spullara/mustache.java,Java,0.985185,2,1,0.089364,10.830189,2.603774,1,12761,0.427511,850,1,1,1,1
1852599,springside/springside4,Java,0.962617,1,1,0.192193,27.088236,13.294118,1,25431,0.313152,3166,1,1,1,1
1853037,xetorthio/jedis,Java,0.992701,15,1,0.163367,24.912281,16.877193,1,21051,0.346935,3295,1,1,1,1
