,project name,merge,left,right,base,parent test,git merge,intellimerge,spork
0,etsy/statsd-jvm-profiler,7c348c5f3c903e4c629825183de674ba49a8c973,081478d4dac833b2a37f175ab257c1f06d5ec5ef,3010543f0d8ae99f02dca35f8ba06c53fd8256de,3fd399a1b19cd707e4cb42f0c6548b97b10427e4,0,1,1,0
1,etsy/statsd-jvm-profiler,081478d4dac833b2a37f175ab257c1f06d5ec5ef,3fd399a1b19cd707e4cb42f0c6548b97b10427e4,2d9ff18f909a1991496a86d8c35ea21b6d50fda9,3fd399a1b19cd707e4cb42f0c6548b97b10427e4,0,1,1,0
2,etsy/statsd-jvm-profiler,10c929f65060ae39fbb712f4b83949fd10e26a3c,989dec9d85ab88a4d628f8d4e44db817548839bc,053fa9b70becf616c8f38335fc371105345107bf,989dec9d85ab88a4d628f8d4e44db817548839bc,0,1,1,0
3,etsy/statsd-jvm-profiler,9d0752cfb1085e4550dfc89b9e701a958c4f95f3,ff4ecc211103d93ce151109fe547a540e05ce649,25660f4eca09a6a1a90cfdaf7f29e828b3edf236,ff4ecc211103d93ce151109fe547a540e05ce649,0,1,1,0
4,etsy/statsd-jvm-profiler,ff4ecc211103d93ce151109fe547a540e05ce649,2224390905d1f50c6f54ddc38826a876e88bfcba,fc2d987f14d72d1ce630031da088560573aeea74,2224390905d1f50c6f54ddc38826a876e88bfcba,0,1,1,0
5,etsy/statsd-jvm-profiler,72401f3f8b58f543b4f9321c7048a66e93a68e33,09135dfebcc8072b4c4fbb3c6da8cf47ce4d1b0b,feafbc63a1276b8a4053bf1ddad3952c1b8f6a81,09135dfebcc8072b4c4fbb3c6da8cf47ce4d1b0b,0,1,1,0
6,etsy/statsd-jvm-profiler,09135dfebcc8072b4c4fbb3c6da8cf47ce4d1b0b,7af7c8560d1e7b780e2624593a59018f86958ec6,4fa828f357bfaddc4d55f1233f1bf3d7b0fc2ec3,7af7c8560d1e7b780e2624593a59018f86958ec6,0,1,1,0
7,etsy/statsd-jvm-profiler,7af7c8560d1e7b780e2624593a59018f86958ec6,bfce5b269fde3ca8c777e1d1dae6bdbb3eebb25e,e00322414a46814b6e1754b97436ce9c828cde1d,58ec77a76585c33f59cd51e765ed78ec912cfdbe,0,1,1,0
8,etsy/statsd-jvm-profiler,bc3283ffefd6bfe9bf059227d9f4867520be3ce6,58ec77a76585c33f59cd51e765ed78ec912cfdbe,9f10ccbb10550a10e5981360473111b9b3e6e130,58ec77a76585c33f59cd51e765ed78ec912cfdbe,0,1,1,0
9,etsy/statsd-jvm-profiler,794a3312fd7827f252b2d6d8edb58367079a1e81,9e5b7bbe880edf64a98c01f140cc58e467bbd013,02e04a79da3e86d845e9e8310148681b10186ff4,9e5b7bbe880edf64a98c01f140cc58e467bbd013,0,1,1,0
10,etsy/statsd-jvm-profiler,378ab7a7dd7c9623ff2b55a0a648093fcd8d47a0,2a350cc175cce4d17b5660dfca7662e076306679,054c2985d4b68d47a6f2c48e4813bfb0b6cf804e,2a350cc175cce4d17b5660dfca7662e076306679,0,1,1,0
11,etsy/statsd-jvm-profiler,158f6dc15d6850ce06ea6a3273c056d196341a98,a996b6a49c15383f88f79c8141c0339bd567bc3f,87bc2aae010acc6dc344875121ff1c3481f83600,2dfd5171eb89deee9e0b704aecf9114612995177,0,1,1,0
12,etsy/statsd-jvm-profiler,c44ee204d30af9e42c2184cbf16f76cac34b5674,2e88a48d8b3abc62d1112882d5bfd6dd2429fb66,d7eff9f490c388bb84527863e61b9d106200acf7,00e922ef17709e3d61a002040c9da6128a2a2d2f,0,1,1,0
13,etsy/statsd-jvm-profiler,00e922ef17709e3d61a002040c9da6128a2a2d2f,2d54785e4b55943eb6ef1d95fb8ab9f4a5eb3c04,3e238e02e607095aedb9f8f932f1c43a59ac735e,2d54785e4b55943eb6ef1d95fb8ab9f4a5eb3c04,0,1,1,0
14,etsy/statsd-jvm-profiler,2d54785e4b55943eb6ef1d95fb8ab9f4a5eb3c04,0f15862ff1fe4cae93049bf97a40216f50cb431a,b071619d4ecfff9468cf5255660aa9e321f3ee6f,0f15862ff1fe4cae93049bf97a40216f50cb431a,0,1,1,0
15,etsy/statsd-jvm-profiler,0f15862ff1fe4cae93049bf97a40216f50cb431a,73ba39726e3f6f4cd34d5e814a89b746f1ba9fa0,5a0f0a4d1be785485eb0262d24365cb4f8d51589,73ba39726e3f6f4cd34d5e814a89b746f1ba9fa0,0,1,1,0
16,etsy/statsd-jvm-profiler,99b569c288768f9a242197f583c60a69bd88f5ca,5ae5f8de0789a3424c3c17639da3688d48850852,1ec4ddbb3458e0ff3360c117ca5692abbdfa23aa,5ae5f8de0789a3424c3c17639da3688d48850852,0,1,1,0
