idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
8,refs/heads/master,1f4b5caa9298006f28f4c17326d73073c912f229,1afddf60735fab0a68d554d6c7243c488d0d78c4,6ab86b5ac3bf67a604887bcf8319ca0520201147,,4,1,893,225,False,True,True,4,False,,,,,,False
10,refs/heads/master,b294d58554d4511eef9be5abcf7cf4f10e88681a,5422490b61a567bfa6b326322c965e719639b1cc,933b59c515f791a4938a378f628369f0bcba8bc5,,5,1,94,27,False,False,True,5,False,,,,,,False
12,refs/heads/master,69630fb9f06873c652f954eff187e6e27c9a79d0,d9ed9d240712d8640820c01ff4a76617e4a352d1,4c7feff0ad9b32f227ec8586e9c6b2133ec57498,,2,0,12,2,False,False,True,2,False,,,,,,False
20,refs/heads/master,4476410ce640326a4c4dad7a6373a572b6277c79,d1fa149f493e3313b1c321e35b3ef0935380f73c,246b8682eb7977fd19f17cda345115899fe5325b,,16,3,286,72,True,True,True,16,True,Tests_passed,04ba55c0915cb933b3c02b8613be0264da8e0cb7d4804c35114b39b4a01d602b,True,Tests_passed,a8da5f92ad3447119e7bb7e7a88b6c8003056c64e33870de3cacdd7aea15dff4,True
22,refs/heads/master,799b17c6b48ecaa64844f2f1b04abd1f35c25b71,8e7cf5db36ae06eb0ff4ac4c21f9d0b717bc9d6d,827ba69e67f6f8c98cec2f166ea1c60acd63f15e,,3,1,89,11,False,False,True,3,False,,,,,,False
23,refs/heads/master,8e7cf5db36ae06eb0ff4ac4c21f9d0b717bc9d6d,1d7ddb49ad2ba996fb54f897490db3dbda8dfdc0,4df4cf8c0ded357fc2ac4dc81625fe0f851643f0,,21,1,790,161,False,True,True,21,False,,,,,,False
24,refs/heads/master,827ba69e67f6f8c98cec2f166ea1c60acd63f15e,c54d0e1e0a99db03eeee34d311d10fbfc971936a,4df4cf8c0ded357fc2ac4dc81625fe0f851643f0,,20,2,840,170,True,True,True,20,False,Git_checkout_failed,,False,Git_checkout_failed,,False
27,refs/heads/master,4df4cf8c0ded357fc2ac4dc81625fe0f851643f0,aecde861427d4ceb1d1d3159bf77dceca695e619,f89b3ae34bd05a97e3d127ae7f065b6b2b2cdb86,,20,2,760,147,True,True,True,20,True,Tests_passed,a922fb6c6f57af21d7c62a6145ac6621f3622319cd2a5ad3dbb03a3306f45f8f,True,Tests_passed,33a9a89344c884a5ebcd6dc8697389eefc24432e6acb942a1138f08f3cf46742,True
29,refs/heads/master,0d6afa7a6c5e59d70437ed704dc03845eaff18d1,55c3bdf6e75860181dce5fb894becf6355f4480f,a8ff0a6c554694aa3317baceb520c212b1ec480e,,2,0,8,1,False,False,True,2,False,,,,,,False
37,refs/heads/master,5a3761ef012dae19522512e31ceb240a0761d6c5,414567009f0b5879fecd7962ae08128baaa41b01,c02d23ff63808c45bd7b3541c3c22a59c7935b25,,5,1,154,10,False,False,True,5,False,,,,,,False
39,refs/heads/master,e4e8e55b531c08b6b551949013e9a41a98727023,bc56decc35ae1d64e8ee75b921beef4b5676ffcd,d0afd0d30d35476cea530c81bcefe924bce4f315,,7,2,232,50,True,True,True,7,True,Tests_passed,01fbc5b347b8130aa4200de408b98a83b3e9a1fabec10cd634859a9a412be8f9,True,Tests_passed,923c1d2b84351cdb2dff0d2c755e9a3471cca0ec3b04af753ec5b4f2beaa201c,True
