idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,diff_logs,test merge,sampled for testing
1,refs/heads/master,1f75ef12763d613e2ca72bc8dbe75c166570b2e1,eb89ad628aa466f0efcb4184449cd704ccdff371,e7473cd5e0874ec785d3c4795b7eb4f84bc8a18b,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/eb89ad628aa466f0efcb4184449cd704ccdff371_e7473cd5e0874ec785d3c4795b7eb4f84bc8a18b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/eb89ad628aa466f0efcb4184449cd704ccdff371_e7473cd5e0874ec785d3c4795b7eb4f84bc8a18b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/eb89ad628aa466f0efcb4184449cd704ccdff371_e7473cd5e0874ec785d3c4795b7eb4f84bc8a18b_left_right.log'}",False,False
2,refs/heads/master,eb89ad628aa466f0efcb4184449cd704ccdff371,c2a85cbbd3dbe93a9dd1c26a5410cbd7b688cb0b,64192e21f10bc00c55778956f9cd4a238d9c44a1,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/c2a85cbbd3dbe93a9dd1c26a5410cbd7b688cb0b_64192e21f10bc00c55778956f9cd4a238d9c44a1_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/c2a85cbbd3dbe93a9dd1c26a5410cbd7b688cb0b_64192e21f10bc00c55778956f9cd4a238d9c44a1_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/c2a85cbbd3dbe93a9dd1c26a5410cbd7b688cb0b_64192e21f10bc00c55778956f9cd4a238d9c44a1_left_right.log'}",False,False
3,refs/heads/master,c54ae98a9008d96f687dafc0a33fcf0f6319d1ab,1325b94615402e01acdbcc25c65ed6f3c3f57266,f45011cc4e2d6d889c9ee69986cfe40f3ca66af9,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/1325b94615402e01acdbcc25c65ed6f3c3f57266_f45011cc4e2d6d889c9ee69986cfe40f3ca66af9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/1325b94615402e01acdbcc25c65ed6f3c3f57266_f45011cc4e2d6d889c9ee69986cfe40f3ca66af9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/1325b94615402e01acdbcc25c65ed6f3c3f57266_f45011cc4e2d6d889c9ee69986cfe40f3ca66af9_left_right.log'}",False,False
4,refs/heads/master,d2a5b740dcf373c4b3cbd0cda4f060cf328836cf,35890ac23d2f40621b1dad382f4e74d2d6c144cc,2b33fa8c4cb46b89910642bccf819cc345d82d22,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/35890ac23d2f40621b1dad382f4e74d2d6c144cc_2b33fa8c4cb46b89910642bccf819cc345d82d22_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/35890ac23d2f40621b1dad382f4e74d2d6c144cc_2b33fa8c4cb46b89910642bccf819cc345d82d22_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/35890ac23d2f40621b1dad382f4e74d2d6c144cc_2b33fa8c4cb46b89910642bccf819cc345d82d22_left_right.log'}",False,False
5,refs/heads/master,096fa048ff88a622c3f4921bef387a8b095f1b93,bac81e9382c87322dab606b7e5f5ac4e3e3c7a06,d8968c05a81dc2e41fe8f9440f0a5c8999a49a7e,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/bac81e9382c87322dab606b7e5f5ac4e3e3c7a06_d8968c05a81dc2e41fe8f9440f0a5c8999a49a7e_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/bac81e9382c87322dab606b7e5f5ac4e3e3c7a06_d8968c05a81dc2e41fe8f9440f0a5c8999a49a7e_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/bac81e9382c87322dab606b7e5f5ac4e3e3c7a06_d8968c05a81dc2e41fe8f9440f0a5c8999a49a7e_left_right.log'}",False,False
6,refs/heads/master,9adcabe2e46ac26b390f47955e799acf7141d743,e18ee9b537163dfe67835154751ae6e053c6f29e,7dafda2537cc367c3bd58aac1526e8330ea2b0ea,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/e18ee9b537163dfe67835154751ae6e053c6f29e_7dafda2537cc367c3bd58aac1526e8330ea2b0ea_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/e18ee9b537163dfe67835154751ae6e053c6f29e_7dafda2537cc367c3bd58aac1526e8330ea2b0ea_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/e18ee9b537163dfe67835154751ae6e053c6f29e_7dafda2537cc367c3bd58aac1526e8330ea2b0ea_left_right.log'}",False,False
7,refs/heads/master,8fe198b83b9270b6d12667585eed2fc9468ea5e9,fa09882250d8601cb520a70554ee253b063b907c,ac5261aee7847c4fb0fe45d70492c7a034d8cfd7,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/fa09882250d8601cb520a70554ee253b063b907c_ac5261aee7847c4fb0fe45d70492c7a034d8cfd7_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/fa09882250d8601cb520a70554ee253b063b907c_ac5261aee7847c4fb0fe45d70492c7a034d8cfd7_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/fa09882250d8601cb520a70554ee253b063b907c_ac5261aee7847c4fb0fe45d70492c7a034d8cfd7_left_right.log'}",False,False
8,refs/heads/master,838f7e6373927ba140f56c24d2d2ed411886009c,a9a47ad9910f89daf4ce16bcfbdd3d816d245b03,625fdbeb0c09fdb89e7e0d55bdd246620bfe8a10,,2,6,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/a9a47ad9910f89daf4ce16bcfbdd3d816d245b03_625fdbeb0c09fdb89e7e0d55bdd246620bfe8a10_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/a9a47ad9910f89daf4ce16bcfbdd3d816d245b03_625fdbeb0c09fdb89e7e0d55bdd246620bfe8a10_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/a9a47ad9910f89daf4ce16bcfbdd3d816d245b03_625fdbeb0c09fdb89e7e0d55bdd246620bfe8a10_left_right.log'}",False,False
9,refs/heads/master,a9a47ad9910f89daf4ce16bcfbdd3d816d245b03,006fc35001edc11c6ea33be4cab660e878e66bc0,0fbd3cf12f313002bfc4b8412ddfd61f94b15040,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/006fc35001edc11c6ea33be4cab660e878e66bc0_0fbd3cf12f313002bfc4b8412ddfd61f94b15040_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/006fc35001edc11c6ea33be4cab660e878e66bc0_0fbd3cf12f313002bfc4b8412ddfd61f94b15040_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/006fc35001edc11c6ea33be4cab660e878e66bc0_0fbd3cf12f313002bfc4b8412ddfd61f94b15040_left_right.log'}",False,False
10,refs/heads/master,006fc35001edc11c6ea33be4cab660e878e66bc0,926640e18b54415b6509df64a0136ff14d7cdbe7,f832f100a29b3473dcfe30f1b6b3bd857c7a101d,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/926640e18b54415b6509df64a0136ff14d7cdbe7_f832f100a29b3473dcfe30f1b6b3bd857c7a101d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/926640e18b54415b6509df64a0136ff14d7cdbe7_f832f100a29b3473dcfe30f1b6b3bd857c7a101d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/926640e18b54415b6509df64a0136ff14d7cdbe7_f832f100a29b3473dcfe30f1b6b3bd857c7a101d_left_right.log'}",False,False
11,refs/heads/master,9647d7a860ac66b9427ad9e15a0919fc0ef46a27,793493b5f824bc4cd01ddad104e4f49de044baf4,39084ff8f158a2c2a61267fcf1dcb1e740a542bd,,2,4,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/793493b5f824bc4cd01ddad104e4f49de044baf4_39084ff8f158a2c2a61267fcf1dcb1e740a542bd_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/793493b5f824bc4cd01ddad104e4f49de044baf4_39084ff8f158a2c2a61267fcf1dcb1e740a542bd_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jcabi/jcabi-maven-plugin/793493b5f824bc4cd01ddad104e4f49de044baf4_39084ff8f158a2c2a61267fcf1dcb1e740a542bd_left_right.log'}",False,False
