idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/master,783bf15495bef9823faefaee89782bcc0e658123,7504be882e1a09e877246e95c32c2068dbed0694,5b218f9bd395040280c35e7f613115d4f09c41c9,,6,1,16,8,False,False,True,6,False,,,,,,False
2,refs/heads/master,a8dcad3af7ce746daa456972922e2481a0313b6e,58f96e9e563d209cc62e8d92bb8578c22e5b8deb,dd7e52e01311ad2f11d306a4a5e41cd05614a041,,4,1,23,9,False,True,True,4,False,,,,,,False
3,refs/heads/master,e2978d55133febb437d62694315f5a3950fe2500,a90e99809a2b5e93ee785e5ba9289fab2ca412dc,5ad79b967d456b9a1182287946f289f3a675ed5e,,31,2,213,72,False,True,True,31,False,,,,,,False
4,refs/heads/master,a90e99809a2b5e93ee785e5ba9289fab2ca412dc,4cb168227cc19dd5536e12d7e91135b68010b9dc,1e67a93b8ca976f99e5de16b49dae77ca7dbb319,,2,2,30,15,False,False,True,2,False,,,,,,False
5,refs/heads/master,4cb168227cc19dd5536e12d7e91135b68010b9dc,85cd9101e0fad453feb3562aa892b9dd56311e52,82e19ab13f8d3c624c52d2640c3432f623a646e5,,2,2,28,14,False,False,True,2,False,,,,,,False
6,refs/heads/master,e487b7f79253d57ef44ee556cb47d4f70ea87809,ec3fddd25e604880cf5b4e9391b71a8bffe5b357,18ae7d77bb7a0738bd37fb91ae2b4cf86ebb79c3,,2,2,4,2,False,False,True,2,False,,,,,,False
7,refs/heads/master,ec3fddd25e604880cf5b4e9391b71a8bffe5b357,3ecf904603d44e83c3ffc975e57d267a5f0f959d,174029b879f2ff812925a1353b03aa0cf7d5be80,,2,2,6,3,False,False,True,2,False,,,,,,False
8,refs/heads/master,3ecf904603d44e83c3ffc975e57d267a5f0f959d,d7e6495fc2267b64e9216c9b16e0b2b3dd460075,dfd12f2e5b7f97c7d13f837dfcc9efbdb8f4db03,,2,2,4,2,False,False,True,2,False,,,,,,False
9,refs/heads/master,c0ee09a7f4453a1de6959b709c870db4ceaedf2f,879d1252dc6d562c43dabfe37d84b80a70e3b94d,f135f4f14602f698979c0ce474fc7dc4fa808b90,,2,2,8,4,False,False,True,2,False,,,,,,False
10,refs/heads/master,f97bef06bdbedb44ff045027c1c595585366b5a2,9e738d3b1068d6e9da7f25e05b314c8415544fd1,bdcc9689f15b26cf50874d27ce6caff35d4f0186,,2,2,4,2,False,False,True,2,False,,,,,,False
11,refs/heads/master,df20c71e510de83440f9cb2207e57c8dd685bf6f,48c4e8051a4f46e27bcf20a883759feb8112af25,ad9f130177b977011360967f22c75c0191c59070,,2,2,8,4,False,False,True,2,False,,,,,,False
12,refs/heads/master,48c4e8051a4f46e27bcf20a883759feb8112af25,23fd1d6d73f3cb476098ae82d135fb7d19fa5edd,716e629eea3b2ad3252d99cae585fc1eaa391bb2,,2,2,6,3,False,False,True,2,False,,,,,,False
13,refs/heads/master,23fd1d6d73f3cb476098ae82d135fb7d19fa5edd,ddcc20b7ff1c1e238a387b0e33269719db43a204,966cf71bea70f8d21b829833653df5c9cf5f52c0,,2,2,4,2,False,False,True,2,False,,,,,,False
14,refs/heads/master,1bafa4b38df2ffe74c8ef5632f3ba054e4a0f96c,c7528ea2000065b4cdebd21acda8c6c90a8118c7,aa0ae6be5c2e2862701f8f1facd34f6318d9c17e,,7,2,69,30,False,False,True,7,False,,,,,,False
15,refs/heads/master,c7528ea2000065b4cdebd21acda8c6c90a8118c7,6fd1757735838a0e3bb6e32d0f73a0de9975ea26,ae005a0ab2e8da185f1d6737e9da43f111e84f0c,,7,2,67,29,False,False,True,7,False,,,,,,False
16,refs/heads/master,6fd1757735838a0e3bb6e32d0f73a0de9975ea26,b2aab9994151e628dbdbcba60dae50abc8fda9d4,27c096d5759eb769053ad80381bca11924172c1f,,7,1,65,28,False,False,True,7,False,,,,,,False
17,refs/heads/master,73a1f8c6d7e4eeb3bcc7c429b96033f5649e9869,d20d7916e9d16f06f6df42c8d5675c5eabe8842c,b082c95b07128163277c725566f7e7e308645b96,,3,2,6,3,False,False,True,3,False,,,,,,False
20,refs/heads/master,b3d55636785d371b3f580d078e5ce3d970f2a4c2,36535604b9f93b5015e7d2d916b4c5151b0b3ada,711938014c9258a0fbb6e497be653a87e1988d5e,,41,2,384,69,False,True,True,41,False,,,,,,False
