idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
156,refs/heads/main,3647665efa89fa53ab7df595945771e94e4f4ebf,dc8077e5233b82406ff30d147b57ae3bd987d2e4,fdb5427e844422551a54922e20af68e6de9f2a2e,,False,False,True,8,34,False,,,,,,False
157,refs/heads/main,dc8077e5233b82406ff30d147b57ae3bd987d2e4,24400546e40fc90b16c8ca649910d49e5f54ded0,ef89e1c6900dece21887e83f754f28027eed2988,,False,False,True,8,32,False,,,,,,False
161,refs/heads/main,50c5cc7e7121160d26fd2b40f7b324f9843e67c3,783bb5cc8bf8f6332a5f20bef38582090bcabce1,8e6063263cbf4c8025b59f5d48a7be122d6c209e,,False,True,True,88,2495,False,,,,,,False
162,refs/heads/main,a46cf5de8ccdc496be6302de11090497e3e5a877,bb3ff5fe8cb3b2c5910a783fa38753a4cc67740c,7301ef39b1be5047df17972b77486a1664d32351,,False,False,True,3,2,False,,,,,,False
168,refs/heads/main,b899fdebe6d3c8b905b50d648716842136387244,65dd67f00c326f6fef28be1d2fcbf06c51e2bd56,9657b6c0a321916c0915ffb51fc3d4a3813767dd,,False,False,True,3,6,False,,,,,,False
174,refs/heads/main,a68abd5ce4f785c5cab7fd6dd72ccc789a310c41,6f923e3b135851705a367a81b123c9dd048417f8,a5da14da5c8bbdb970a3f2181661085644413b45,,False,True,True,13,143,False,,,,,,False
175,refs/heads/main,6f923e3b135851705a367a81b123c9dd048417f8,3136736890eccc3a40ac0fa75baa9257d0a93cb4,ece210ba36ef934f4bf244dc1bf1dc8bf6755257,,False,True,True,13,147,False,,,,,,False
186,refs/heads/main,c64d24720c55034c2dd03a47c2a15af4426939a9,4252dc1d273f2b2e6b3f9c62e8e25959eff8b577,b881590da29044de70acb2cfe210afdf5141d44c,,False,True,True,33,963,False,,,,,,False
189,refs/heads/main,2fb71f5b1c5be17ea42434217179ccf138e687ca,7ee57f046e70b48526bc42beaf93b9dc8b997231,dd54273413362e22e915833f509ced1a62ccbf54,,False,True,True,6,41,False,,,,,,False
191,refs/heads/main,7ee57f046e70b48526bc42beaf93b9dc8b997231,a462e892705cb52687be5b1c0e4be109b6b62ab5,19ada4097cea34c426c9bacff857d0d5767a05af,,False,True,True,6,178,False,,,,,,False
194,refs/heads/main,ee9a579873fd2dab5f118ed41e7c9fe41c599b9f,2e9a0bb92c96720565a6a67cbee3cdbd1790b813,9c3a240debed191ef53dbd7e39c636599f0a9622,,False,False,True,5,65,False,,,,,,False
197,refs/heads/main,86efa3d002735b4eba8a345d17f391bdebac19aa,3760bde4f81f4b3e841a544e927851a6285b0610,e2683b6256819e01b138a74f0a99114ec6cc70b8,,False,True,True,28,801,False,,,,,,False
198,refs/heads/main,3760bde4f81f4b3e841a544e927851a6285b0610,9174f2837a495b941e99021f74531d1dfca2dbc4,5c44736b87bb1766b059fd71cf976e1c70b1a4a4,,False,True,True,15,222,False,,,,,,False
203,refs/heads/main,7e319fc0af00c09e99d96ddd937d4ea66db70dc7,a8ef609dc4a941ae4b24af890abcd87b1a1adbcc,f6e0ed83da8ee5817dc288de8da018b6227c1641,,False,False,True,6,52,False,,,,,,False
205,refs/heads/main,a8ef609dc4a941ae4b24af890abcd87b1a1adbcc,5b261fbf578f6e830c9052e44be99f769cdb96b3,0f855367912a59213972de5f0ab7151cc171fc43,,False,False,True,14,80,False,,,,,,False
206,refs/heads/main,b34084815c034d0b0400d0600777009493d11f8b,b8691e7f05f4f6837b968cab6201c65fe3a8a0fe,0f855367912a59213972de5f0ab7151cc171fc43,,False,False,True,16,68,False,,,,,,False
213,refs/heads/main,e3690c78e8d4c08ff0fbc12b461ebfffa5926ddb,6b7535cc46e2bc44d46ec81508a941c9ab54863b,26aca838d187b637730cdee67deb2ff75cf098ed,,False,True,True,7,16,False,,,,,,False
223,refs/heads/main,c008b7f6a8185fad179cbedb174649ba9f7f894e,6cd3ef8b5922a678a901bee5b280f1b573ce97eb,6a0d4055c7a0f4370c20823f87452e03b72c4292,,False,True,True,8,25,False,,,,,,False
224,refs/heads/main,0261a8b45c090e79a383b52f16967b12a10bfe0e,cb5d29af6f401168836552e2060e782e870c701a,7a02108016cf68c13cc8b75f0ed95c3b930a5c2c,,False,True,True,18,149,False,,,,,,False
