idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,diff_logs,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
13,refs/heads/master,d04a9040e889bea91d34b56eb4e224f6e94b3281,9dd9fe7468ca2498ca70d4f2fb69e26969906189,787ebbc50b6bf5bd0eff149990a191cd0d356738,,False,True,True,6,2.0,False,"{'base_left': 'cache/diff_analyzer/logs/scifio/scifio/9dd9fe7468ca2498ca70d4f2fb69e26969906189_787ebbc50b6bf5bd0eff149990a191cd0d356738_base_left.log', 'base_right': 'cache/diff_analyzer/logs/scifio/scifio/9dd9fe7468ca2498ca70d4f2fb69e26969906189_787ebbc50b6bf5bd0eff149990a191cd0d356738_base_right.log', 'left_right': 'cache/diff_analyzer/logs/scifio/scifio/9dd9fe7468ca2498ca70d4f2fb69e26969906189_787ebbc50b6bf5bd0eff149990a191cd0d356738_left_right.log'}",,,,,,False
14,refs/heads/master,24bbee5f1d7d067864f9ac1055cb9b712351d133,a9dcc7973d13802fa7eb8f4282b5094a2b0be875,5d5a1b4bb394262dc34b5d8aacfaa88cce79eef3,,False,True,True,16,31.0,False,"{'base_left': 'cache/diff_analyzer/logs/scifio/scifio/a9dcc7973d13802fa7eb8f4282b5094a2b0be875_5d5a1b4bb394262dc34b5d8aacfaa88cce79eef3_base_left.log', 'base_right': 'cache/diff_analyzer/logs/scifio/scifio/a9dcc7973d13802fa7eb8f4282b5094a2b0be875_5d5a1b4bb394262dc34b5d8aacfaa88cce79eef3_base_right.log', 'left_right': 'cache/diff_analyzer/logs/scifio/scifio/a9dcc7973d13802fa7eb8f4282b5094a2b0be875_5d5a1b4bb394262dc34b5d8aacfaa88cce79eef3_left_right.log'}",,,,,,False
17,refs/heads/master,057b12613c528cbd789093ae86203d872e38ca2c,07c4c757bb4a396564ae7ebb2a9b0904bdfb5851,26064e23697a0eb96d77439e65ba0c097dfaf2c8,,True,True,True,335,666.0,True,"{'base_left': 'cache/diff_analyzer/logs/scifio/scifio/07c4c757bb4a396564ae7ebb2a9b0904bdfb5851_26064e23697a0eb96d77439e65ba0c097dfaf2c8_base_left.log', 'base_right': 'cache/diff_analyzer/logs/scifio/scifio/07c4c757bb4a396564ae7ebb2a9b0904bdfb5851_26064e23697a0eb96d77439e65ba0c097dfaf2c8_base_right.log', 'left_right': 'cache/diff_analyzer/logs/scifio/scifio/07c4c757bb4a396564ae7ebb2a9b0904bdfb5851_26064e23697a0eb96d77439e65ba0c097dfaf2c8_left_right.log'}",Tests_passed,89ed3668a550698989e34a55c0b0b05f88b3bb9523a838720ec005a8c4f7ab44,True,Tests_passed,cbb390cd83fcb1060af352741ec6d6ede6faae13f1dca8e90a7f74845067927a,True
18,refs/heads/master,07c4c757bb4a396564ae7ebb2a9b0904bdfb5851,37d1717f4aaa5b3c92f508bce69105efdc9e16d0,c5fa746372d74a2ee23525f3fc5314af9f9b7575,,True,True,True,335,666.0,True,"{'base_left': 'cache/diff_analyzer/logs/scifio/scifio/37d1717f4aaa5b3c92f508bce69105efdc9e16d0_c5fa746372d74a2ee23525f3fc5314af9f9b7575_base_left.log', 'base_right': 'cache/diff_analyzer/logs/scifio/scifio/37d1717f4aaa5b3c92f508bce69105efdc9e16d0_c5fa746372d74a2ee23525f3fc5314af9f9b7575_base_right.log', 'left_right': 'cache/diff_analyzer/logs/scifio/scifio/37d1717f4aaa5b3c92f508bce69105efdc9e16d0_c5fa746372d74a2ee23525f3fc5314af9f9b7575_left_right.log'}",Tests_passed,26be160759408795368d5be85db9ce205999f6b67562732d6216db9b58ccf7dc,True,Tests_passed,453fee771720640f4d0b601e45e3335190a355f7fe6628939c6b2382a91cfd0f,True
21,refs/heads/master,b2f280f07999bee8f60de191a1e12dc2870d87fe,80e2fc46d40b8c840819afcfce9b83b540e439d7,f24f79d3c15ed2f6a83ed02994d3a22eeb3ffbf6,,True,True,True,335,2236.0,False,"{'base_left': 'cache/diff_analyzer/logs/scifio/scifio/80e2fc46d40b8c840819afcfce9b83b540e439d7_f24f79d3c15ed2f6a83ed02994d3a22eeb3ffbf6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/scifio/scifio/80e2fc46d40b8c840819afcfce9b83b540e439d7_f24f79d3c15ed2f6a83ed02994d3a22eeb3ffbf6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/scifio/scifio/80e2fc46d40b8c840819afcfce9b83b540e439d7_f24f79d3c15ed2f6a83ed02994d3a22eeb3ffbf6_left_right.log'}",Tests_passed,c04b3932497f980ef0daa527858671865a101743c0cf9e44968f2289f700c17d,False,Tests_failed,cfa501354294d96a447557dd81acefdfae68ffb5f7b55f9a4a8ca369d7efb908,False
25,refs/heads/master,cdc2f2f85de1d65df31044546412b81eca57a1e4,bb354892a22c1704d6688528071931a2d0d830f7,8d197298fab8d8596cb670bf0a9a16c4970562e3,,True,True,True,429,4950.0,False,"{'base_left': 'cache/diff_analyzer/logs/scifio/scifio/bb354892a22c1704d6688528071931a2d0d830f7_8d197298fab8d8596cb670bf0a9a16c4970562e3_base_left.log', 'base_right': 'cache/diff_analyzer/logs/scifio/scifio/bb354892a22c1704d6688528071931a2d0d830f7_8d197298fab8d8596cb670bf0a9a16c4970562e3_base_right.log', 'left_right': 'cache/diff_analyzer/logs/scifio/scifio/bb354892a22c1704d6688528071931a2d0d830f7_8d197298fab8d8596cb670bf0a9a16c4970562e3_left_right.log'}",Tests_passed,346ddd32b9dd38c97551fbccc9556c4beda97089816906660217591a90f904ce,False,Tests_timedout,a0b716a7a73a780405ac40316d1d0df6eb89235f09cee779010b9dce353a52be,False
26,refs/heads/master,bd492d15f3c5889a82a65636f9a9e346fa9b8952,17694b7a880a8edcfb013802dc2df6d1b8779ee2,3c9e26f092271cd77bc7e275234ddfae1d5dbed5,,False,False,True,3,0.0,False,"{'base_left': 'cache/diff_analyzer/logs/scifio/scifio/17694b7a880a8edcfb013802dc2df6d1b8779ee2_3c9e26f092271cd77bc7e275234ddfae1d5dbed5_base_left.log', 'base_right': 'cache/diff_analyzer/logs/scifio/scifio/17694b7a880a8edcfb013802dc2df6d1b8779ee2_3c9e26f092271cd77bc7e275234ddfae1d5dbed5_base_right.log', 'left_right': 'cache/diff_analyzer/logs/scifio/scifio/17694b7a880a8edcfb013802dc2df6d1b8779ee2_3c9e26f092271cd77bc7e275234ddfae1d5dbed5_left_right.log'}",,,,,,False
28,refs/heads/master,054eb3bb210ddc0ac44797d907ed25aa82b6fd37,eaa7eedcefafb2c20450aab612384afbf549b8af,fb9bd9188455b2b6b46b1757f2ec659b725ac224,,False,True,True,5,0.0,False,"{'base_left': 'cache/diff_analyzer/logs/scifio/scifio/eaa7eedcefafb2c20450aab612384afbf549b8af_fb9bd9188455b2b6b46b1757f2ec659b725ac224_base_left.log', 'base_right': 'cache/diff_analyzer/logs/scifio/scifio/eaa7eedcefafb2c20450aab612384afbf549b8af_fb9bd9188455b2b6b46b1757f2ec659b725ac224_base_right.log', 'left_right': 'cache/diff_analyzer/logs/scifio/scifio/eaa7eedcefafb2c20450aab612384afbf549b8af_fb9bd9188455b2b6b46b1757f2ec659b725ac224_left_right.log'}",,,,,,False
29,refs/heads/master,eaa7eedcefafb2c20450aab612384afbf549b8af,3ea5f1c11d7de267fc49f992e664810ad6c2834f,b35c6995ec76660f9b446872f0da3fec89d6e548,,False,True,True,4,0.0,False,"{'base_left': 'cache/diff_analyzer/logs/scifio/scifio/3ea5f1c11d7de267fc49f992e664810ad6c2834f_b35c6995ec76660f9b446872f0da3fec89d6e548_base_left.log', 'base_right': 'cache/diff_analyzer/logs/scifio/scifio/3ea5f1c11d7de267fc49f992e664810ad6c2834f_b35c6995ec76660f9b446872f0da3fec89d6e548_base_right.log', 'left_right': 'cache/diff_analyzer/logs/scifio/scifio/3ea5f1c11d7de267fc49f992e664810ad6c2834f_b35c6995ec76660f9b446872f0da3fec89d6e548_left_right.log'}",,,,,,False
30,refs/heads/master,3ea5f1c11d7de267fc49f992e664810ad6c2834f,281e7ce2ec475dd860ff61a8f9dcf8a4b3f8fde3,332973587e18dba9688645d0bdfc8397bb1ac648,,False,True,True,4,0.0,False,"{'base_left': 'cache/diff_analyzer/logs/scifio/scifio/281e7ce2ec475dd860ff61a8f9dcf8a4b3f8fde3_332973587e18dba9688645d0bdfc8397bb1ac648_base_left.log', 'base_right': 'cache/diff_analyzer/logs/scifio/scifio/281e7ce2ec475dd860ff61a8f9dcf8a4b3f8fde3_332973587e18dba9688645d0bdfc8397bb1ac648_base_right.log', 'left_right': 'cache/diff_analyzer/logs/scifio/scifio/281e7ce2ec475dd860ff61a8f9dcf8a4b3f8fde3_332973587e18dba9688645d0bdfc8397bb1ac648_left_right.log'}",,,,,,False
