idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_lines,parents pass,right parent test result,right_tree_fingerprint,test merge,explanation,sampled for testing
17,refs/heads/4.x,948f46756939163ea1e3b4ff1e87e47b4063b9a2,46817dfa60a70b0c22f926600efe39cbe7891435,3ede67d127142035f2b4f4a68f51a6e012e0807f,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/46817dfa60a70b0c22f926600efe39cbe7891435_3ede67d127142035f2b4f4a68f51a6e012e0807f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/46817dfa60a70b0c22f926600efe39cbe7891435_3ede67d127142035f2b4f4a68f51a6e012e0807f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/46817dfa60a70b0c22f926600efe39cbe7891435_3ede67d127142035f2b4f4a68f51a6e012e0807f_left_right.log'}",True,,,True,64.0,995.0,,,,False,,False
20,refs/heads/4.x,a410b52ee828138556ad3ac797a11b23f2c192b1,a4e8df4131571abf888eb8e5861c81be08bdf752,15d737ba9f4fbc79b2220d87f9184272370a6ba3,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/a4e8df4131571abf888eb8e5861c81be08bdf752_15d737ba9f4fbc79b2220d87f9184272370a6ba3_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/a4e8df4131571abf888eb8e5861c81be08bdf752_15d737ba9f4fbc79b2220d87f9184272370a6ba3_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/a4e8df4131571abf888eb8e5861c81be08bdf752_15d737ba9f4fbc79b2220d87f9184272370a6ba3_left_right.log'}",True,,,True,81.0,788.0,,,,False,,False
21,refs/heads/4.x,8391256850cb6cc354d988b5f9459d30115ac6cf,ca0a7c8eb3df73dfe5b5974a80a32033b2b1ae0b,3cb761e85e20b0eed813b5f92d44cea3f2d82d19,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/ca0a7c8eb3df73dfe5b5974a80a32033b2b1ae0b_3cb761e85e20b0eed813b5f92d44cea3f2d82d19_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/ca0a7c8eb3df73dfe5b5974a80a32033b2b1ae0b_3cb761e85e20b0eed813b5f92d44cea3f2d82d19_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/ca0a7c8eb3df73dfe5b5974a80a32033b2b1ae0b_3cb761e85e20b0eed813b5f92d44cea3f2d82d19_left_right.log'}",True,,,True,22.0,177.0,,,,False,,False
22,refs/heads/4.x,53294a5c7efcd8afa14c7ef93b51e6467c8626ab,8354f22c42412e7c5ad7235485efc9fa801f9cdb,060af118ae3a41a7df7cc136a8c2d1685f524cca,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/8354f22c42412e7c5ad7235485efc9fa801f9cdb_060af118ae3a41a7df7cc136a8c2d1685f524cca_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/8354f22c42412e7c5ad7235485efc9fa801f9cdb_060af118ae3a41a7df7cc136a8c2d1685f524cca_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/8354f22c42412e7c5ad7235485efc9fa801f9cdb_060af118ae3a41a7df7cc136a8c2d1685f524cca_left_right.log'}",True,,,True,35.0,1015.0,,,,False,,False
23,refs/heads/4.x,69e5b81e3c83816f438ea3778f5156a2f65b34a9,8eaa5ebc7bfaac8c1f11ed9c6e2a68ec8e941af5,cb19d372a8547db0dc86f4305d06fe609858d0e4,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/8eaa5ebc7bfaac8c1f11ed9c6e2a68ec8e941af5_cb19d372a8547db0dc86f4305d06fe609858d0e4_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/8eaa5ebc7bfaac8c1f11ed9c6e2a68ec8e941af5_cb19d372a8547db0dc86f4305d06fe609858d0e4_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/8eaa5ebc7bfaac8c1f11ed9c6e2a68ec8e941af5_cb19d372a8547db0dc86f4305d06fe609858d0e4_left_right.log'}",True,,,True,73.0,2188.0,,,,False,,False
24,refs/heads/4.x,2bfd20d35369c6758d00d436b4ad34825b6919c5,08b6e6e88afcf33c2118dbb42e041c07d0e8ce1a,9288d41671e6c0cecaba4d2a9c885b7900641354,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/08b6e6e88afcf33c2118dbb42e041c07d0e8ce1a_9288d41671e6c0cecaba4d2a9c885b7900641354_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/08b6e6e88afcf33c2118dbb42e041c07d0e8ce1a_9288d41671e6c0cecaba4d2a9c885b7900641354_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/08b6e6e88afcf33c2118dbb42e041c07d0e8ce1a_9288d41671e6c0cecaba4d2a9c885b7900641354_left_right.log'}",False,,,True,11.0,44.0,,,,False,,False
30,refs/remotes/origin/1.0,0365962a1011d5bb8e54526acd1d9d668b684fdd,324cabb9c8cd6f46c5dc65884b009e02246002aa,a6a88907e876e8ab790f72a9809de8c3faa0a079,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/324cabb9c8cd6f46c5dc65884b009e02246002aa_a6a88907e876e8ab790f72a9809de8c3faa0a079_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/324cabb9c8cd6f46c5dc65884b009e02246002aa_a6a88907e876e8ab790f72a9809de8c3faa0a079_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/324cabb9c8cd6f46c5dc65884b009e02246002aa_a6a88907e876e8ab790f72a9809de8c3faa0a079_left_right.log'}",False,,,True,9.0,26.0,,,,False,,False
32,refs/remotes/origin/1.0,4c0a6e4a5cee8684aab736506f179ce9a3da0ec0,320d47e58f65fe2237415fb4ba45fb5b789b31bb,00b3b8bddb5ec9682727e7e98562dad7c3bca4a4,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/320d47e58f65fe2237415fb4ba45fb5b789b31bb_00b3b8bddb5ec9682727e7e98562dad7c3bca4a4_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/320d47e58f65fe2237415fb4ba45fb5b789b31bb_00b3b8bddb5ec9682727e7e98562dad7c3bca4a4_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/320d47e58f65fe2237415fb4ba45fb5b789b31bb_00b3b8bddb5ec9682727e7e98562dad7c3bca4a4_left_right.log'}",True,,,True,8.0,179.0,,,,False,,False
34,refs/remotes/origin/1.0,a28344f10f36f72b761d75126681eb57fbc29f53,11c2b6640fa2f57871fcecb543fb9483e600c871,9d72291d59897927fd352bcff762c6be22f1a790,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/11c2b6640fa2f57871fcecb543fb9483e600c871_9d72291d59897927fd352bcff762c6be22f1a790_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/11c2b6640fa2f57871fcecb543fb9483e600c871_9d72291d59897927fd352bcff762c6be22f1a790_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/11c2b6640fa2f57871fcecb543fb9483e600c871_9d72291d59897927fd352bcff762c6be22f1a790_left_right.log'}",True,,,True,22.0,1769.0,,,,False,,False
35,refs/remotes/origin/1.0,818b090eec9fdd3e2ba9048e5043ba1af976fac2,19f59a6faac3d107416fb92d8e3bd052850ee36e,77e97d523df4a554eb477a2c4b308634235e260a,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/19f59a6faac3d107416fb92d8e3bd052850ee36e_77e97d523df4a554eb477a2c4b308634235e260a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/19f59a6faac3d107416fb92d8e3bd052850ee36e_77e97d523df4a554eb477a2c4b308634235e260a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/19f59a6faac3d107416fb92d8e3bd052850ee36e_77e97d523df4a554eb477a2c4b308634235e260a_left_right.log'}",True,,,True,25.0,1752.0,,,,False,,False
37,refs/remotes/origin/1.0,8add5a8037e7a106327195f9bd0aabbd2a867e69,19394d81d1cf1caa5441d2e97ec8bfb7f1e2c815,2041fe00610398faf44d75d372f2e4203e95fdeb,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/19394d81d1cf1caa5441d2e97ec8bfb7f1e2c815_2041fe00610398faf44d75d372f2e4203e95fdeb_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/19394d81d1cf1caa5441d2e97ec8bfb7f1e2c815_2041fe00610398faf44d75d372f2e4203e95fdeb_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/19394d81d1cf1caa5441d2e97ec8bfb7f1e2c815_2041fe00610398faf44d75d372f2e4203e95fdeb_left_right.log'}",True,,,True,5.0,13.0,,,,False,,False
40,refs/remotes/origin/1.0,0fe5432757bb429ebe8dfba4fae4a5f24835a7ca,9062979658b252e55e00c1682e6a516da3391197,f19a10084c170c9c538f525fe746dad96e94441a,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/9062979658b252e55e00c1682e6a516da3391197_f19a10084c170c9c538f525fe746dad96e94441a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/9062979658b252e55e00c1682e6a516da3391197_f19a10084c170c9c538f525fe746dad96e94441a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/9062979658b252e55e00c1682e6a516da3391197_f19a10084c170c9c538f525fe746dad96e94441a_left_right.log'}",True,,,True,7.0,367.0,,,,False,,False
41,refs/remotes/origin/1.0,f19a10084c170c9c538f525fe746dad96e94441a,00a140bc2257817d9dce01ef471116973d1f662d,c8f9fc2b60a4415086b23e8428375fe01801285b,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/00a140bc2257817d9dce01ef471116973d1f662d_c8f9fc2b60a4415086b23e8428375fe01801285b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/00a140bc2257817d9dce01ef471116973d1f662d_c8f9fc2b60a4415086b23e8428375fe01801285b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/00a140bc2257817d9dce01ef471116973d1f662d_c8f9fc2b60a4415086b23e8428375fe01801285b_left_right.log'}",True,,,True,26.0,482.0,,,,False,,False
42,refs/remotes/origin/1.0,272dae55afdaff08b5cd52562bc4868233b56b7f,4d494c7d8b60c18c7dcf9e4168b446fbfa945dbd,7a0b9afe63627406e7ceb3103407a0b87f2cef29,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/4d494c7d8b60c18c7dcf9e4168b446fbfa945dbd_7a0b9afe63627406e7ceb3103407a0b87f2cef29_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/4d494c7d8b60c18c7dcf9e4168b446fbfa945dbd_7a0b9afe63627406e7ceb3103407a0b87f2cef29_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/4d494c7d8b60c18c7dcf9e4168b446fbfa945dbd_7a0b9afe63627406e7ceb3103407a0b87f2cef29_left_right.log'}",True,,,True,62.0,2084.0,,,,False,,False
43,refs/remotes/origin/1.0,de80814209fae3bdf1a110867137a2e3c8eb4db1,d078b1a7e74bc90c9f41d7ed8ced3cce7c786c25,4e0cb18dd69a97c080b2731f05721a00cc4a9271,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/d078b1a7e74bc90c9f41d7ed8ced3cce7c786c25_4e0cb18dd69a97c080b2731f05721a00cc4a9271_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/d078b1a7e74bc90c9f41d7ed8ced3cce7c786c25_4e0cb18dd69a97c080b2731f05721a00cc4a9271_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/d078b1a7e74bc90c9f41d7ed8ced3cce7c786c25_4e0cb18dd69a97c080b2731f05721a00cc4a9271_left_right.log'}",False,,,True,3.0,3.0,,,,False,,False
46,refs/remotes/origin/1.0,dc7c5429c70e991b9d05458c4a720fd93cf550e0,5959e4cba01cb3bb272179d533b75c05f09a0a12,a5e7c88d4c406177d32a8831bab2169a0592d684,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/5959e4cba01cb3bb272179d533b75c05f09a0a12_a5e7c88d4c406177d32a8831bab2169a0592d684_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/5959e4cba01cb3bb272179d533b75c05f09a0a12_a5e7c88d4c406177d32a8831bab2169a0592d684_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/5959e4cba01cb3bb272179d533b75c05f09a0a12_a5e7c88d4c406177d32a8831bab2169a0592d684_left_right.log'}",False,,,True,4.0,27.0,,,,False,,False
49,refs/remotes/origin/1.0,f2e9832c87ae2c23cd5b5b19ffbcbedecbfde93a,5a355763465dbb3b0b241a89f2d0553b0576cdff,8f050c2d9c593270a389251bae61a9c3e8e3930e,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/5a355763465dbb3b0b241a89f2d0553b0576cdff_8f050c2d9c593270a389251bae61a9c3e8e3930e_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/5a355763465dbb3b0b241a89f2d0553b0576cdff_8f050c2d9c593270a389251bae61a9c3e8e3930e_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/5a355763465dbb3b0b241a89f2d0553b0576cdff_8f050c2d9c593270a389251bae61a9c3e8e3930e_left_right.log'}",False,,,True,9.0,119.0,,,,False,,False
53,refs/remotes/origin/1.0,6e379b2fb3e03a2d3740c27be724e08a859476af,0969a62aa95cf3eab0ec2488a089fbc6b1553da9,15a3ff1d818fce3cad1f4b35bc3873721ddd7ac9,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/0969a62aa95cf3eab0ec2488a089fbc6b1553da9_15a3ff1d818fce3cad1f4b35bc3873721ddd7ac9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/0969a62aa95cf3eab0ec2488a089fbc6b1553da9_15a3ff1d818fce3cad1f4b35bc3873721ddd7ac9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/0969a62aa95cf3eab0ec2488a089fbc6b1553da9_15a3ff1d818fce3cad1f4b35bc3873721ddd7ac9_left_right.log'}",True,,,True,5.0,46.0,,,,False,,False
55,refs/remotes/origin/1.0,2810f487539c7f4c325fd293e96b517bb6dae78e,011f8ff393112d2c13b7cc9940e7453428a3ad78,0d4e5da26c98caaac5c03c047faed97abebe16d6,,False,"{'base_left': 'cache/diff_analyzer/logs/datastax/java-driver/011f8ff393112d2c13b7cc9940e7453428a3ad78_0d4e5da26c98caaac5c03c047faed97abebe16d6_base_left.log', 'base_right': 'cache/diff_analyzer/logs/datastax/java-driver/011f8ff393112d2c13b7cc9940e7453428a3ad78_0d4e5da26c98caaac5c03c047faed97abebe16d6_base_right.log', 'left_right': 'cache/diff_analyzer/logs/datastax/java-driver/011f8ff393112d2c13b7cc9940e7453428a3ad78_0d4e5da26c98caaac5c03c047faed97abebe16d6_left_right.log'}",False,,,True,4.0,18.0,,,,False,,False
