idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl,head hash,head tree fingerprint,head test result
226,Cloudslab/cloudsim,Java,1.0,3,0,0.446787,2.631579,0.026316,1,18824,0.10264,54,1,1,1,1,dcb2ac55a8dc463a68ef7825212bb462ebf65a35,288073f6a824c4ef9038b1e1c99ca6ce0fdd518293dab637fffeb02bd0352582,Tests_passed
229,GlenKPeterson/J-cicle,Java,1.0,1,0,0.29068,0.0,0.0,1,5027,0.361698,59,0,0,1,1,56bc36034e0a6f2b576064f6e4990cf0f8297104,4ef9b355cfc1fcd91c72225341177f1df46cfaefb2a609be32ae97d9dc6a7de9,Tests_passed
234,spotify/ffwd-java,Java,0.970149,1,0,0.335181,0.0,0.0,1,38738,0.00081,20,0,0,1,0,3607614b43fae1a5f0f1d74631f9edbac290af23,9a08debb616f7dbcf79ff24ac3314195c4f5da17bd0c2260ec319dc17b781e27,Tests_passed
240,fizzed/ninja-rocker,Java,0.615385,1,0,0.151515,0.0,0.0,1,1164,0.0,7,0,0,1,1,d31bf4a2aaa3feb78cea87dc7117072a08611cce,0e74ba09510fb903993c94089c0b3e7694acfd0d058ad0ef8e2523d7aee78850,Tests_passed
241,javalite/jar-explorer,Java,1.0,2,0,0.325247,0.1,0.0,1,4329,0.0,13,0,0,1,1,456390f4ea40956003b0f23d304ca6fdee1acf6b,17897e8fde0b6bb7bcad4e228f332419656105c0040dab6ea3ba9ad6dbe28413,Tests_passed
249,tcompiegne/oauth2-couchbase-token-store,Java,1.0,1,0,0.151551,0.0,0.0,1,747,0.207237,6,0,0,1,0,78fb8f58709ee83cb8f20c3ac08c1fad3f8dd50c,7c9dcae178cb8953558f4b91bbcabe92342c094f0a628096a351002bd9e6f018,Tests_passed
252,mdeverdelhan/ACR122U-reader-writer,Java,1.0,1,0,0.372771,0.0,0.0,1,429,0.0,13,0,0,1,0,52a1e21b19619321c6a5fe3d64a1437690fa7fc4,b138ff1c7541dd7aba9fbb236df56c11c6e2b23234a34b5b5bde2dcf89ab34b6,Tests_passed
268,leiguorui/netty-resteasy-spring,Java,0.777778,1,0,0.068079,0.0,0.0,0,637,0.25625,7,0,0,1,0,3561a385c7a9747f001f7e43cbfda79fcf650243,d95186a67d65dfed512849c8f04167e1b6f8c2c6d526c1d657e3650831f56010,Tests_passed
272,fizzed/maven-plugins,Java,0.8,1,1,0.172414,0.0,0.0,1,1000,0.0,6,0,0,1,1,0f07aacc08f6d5876653e3ed085e154c88e66bd8,215b19cbf383d4a937c1f5e3d3fb14b4ee5db77c793140cffd4a6bbb70fcccd8,Tests_passed
275,yan-qi/k-shortest-paths-java-version,Java,1.0,1,0,0.473467,0.0,0.0,0,937,0.0927,10,0,0,1,0,d028fd873ff34efc1e851421be380d2382dcb104,7fdf87148da380b0d76ca0fb523e8c9d3b1734d2ca4e4611a2d88d109112b146,Tests_passed
284,leiguorui/Netty-SpringMVC,Java,0.75,1,0,0.064024,0.0,0.0,0,320,0.0,10,0,0,0,0,fd47e07ce16847b1bc6a2cd55a8e3fde40dc4955,c81c37af044abcba4f0f3dac40872e1cc36a5d2384a01e2d4a82437d27627b99,Tests_passed
287,vbauer/jackdaw,Java,0.839286,1,1,0.188466,0.0,0.0,1,3205,0.0,259,0,0,1,1,71afe69412f49fdb58fcc6b9533e19d1798a33f6,53f316f60b24cb8d4f3c0b829527f4da028e5bea6b682b4894bb958c5ff1d2ea,Tests_passed
294,ScienJus/PixivParser,Java,0.75,1,0,0.282839,0.0,0.0,0,707,0.0,9,0,0,0,0,dcc32bed5a95a1eab178dec3c997da2fd60433b5,807962125e2b9bd0757d3c161b6b9112eb889fddb4e25ffbdc72283e2ba07d94,Tests_passed
