idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_lines,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
129,refs/heads/master,a623d5863b0283ba643f5af657631e01ad436cb8,813300ac1d3f43de38f5b2848ea9eb90060cd8c5,0522e6e17db96ff86ec26dfd14546ebdd742fbe6,,False,True,,,True,6,21,,,,False,False
130,refs/heads/master,813300ac1d3f43de38f5b2848ea9eb90060cd8c5,b59708b17740ae1c8c01c7972209c1540fcf5358,7461d3443b2cd60dbb3b6779300b9ca2099e1d80,,False,True,,,True,9,51,,,,False,False
131,refs/heads/master,b59708b17740ae1c8c01c7972209c1540fcf5358,bf2279af48deb26402ea0e6bafc976233f803a91,a80c2ea51f4e39aa6a4de4b51593b4783f24f015,,False,True,,,True,6,32,,,,False,False
132,refs/heads/master,175a40bc160e41d2fba8ad74a273a0bfc2de63bb,c0b59ecf894eee813db0bc6883f0e6087e6fd02a,63b7949adc3354d2130568ea627814daa1dd4fdc,,False,True,,,True,35,475,,,,False,False
133,refs/heads/master,c0b59ecf894eee813db0bc6883f0e6087e6fd02a,1a9e29a53d03a1a3d419755e16ebd65c45d4675d,d12b26f02dfa87c35b1507b20a73f2b83455ab6a,,False,True,,,True,32,489,,,,False,False
134,refs/heads/master,1a9e29a53d03a1a3d419755e16ebd65c45d4675d,08c6d2da6080388a0f33161cecad7c1fb3044495,b1d60d5e60ee6d266f162e51be7af4040ca4d35c,,False,True,,,True,7,111,,,,False,False
135,refs/heads/master,0b18bccb9f224710ee841c5a0884f8e74a50e268,f5b2d91104d0fdd468bb867da379e660b6762091,6c863244dfe31bde8f47ff2062512008fc98a179,,True,True,Tests_failed,3ccb262336fc1e3d5cec4c75251be6c6568df17ed67593a496eab1568c58b8c3,True,34,114,False,Tests_failed,189805066e113574f0d488a1ee629f831f663285e323057af99e4c3fa64f923c,False,False
136,refs/heads/master,6c863244dfe31bde8f47ff2062512008fc98a179,fb103ef94f7eb5c41ad13bb2b9f3f87532ecd5bb,6589ee48cc5da9fb29e77c1388dd47afad879f7d,,False,True,,,True,10,80,,,,False,False
137,refs/heads/master,6589ee48cc5da9fb29e77c1388dd47afad879f7d,8410aff64855deca762d8dece5432083d0cb14c6,4adbdd64c242a4c7b2f0b3fd9b23bd66f37baadd,,False,True,,,True,20,188,,,,False,False
138,refs/heads/master,8410aff64855deca762d8dece5432083d0cb14c6,4c0ffb2fe2f8a09308b38c8cd80eb4a83b6d4898,5af170496d5596a6781882951408ede314778fb3,,False,True,,,True,16,148,,,,False,False
139,refs/heads/master,8c220e14a47d3192b0ba8222e29c808e52c65555,5275e43cdf0691733a60db5574a851b996368133,fb103ef94f7eb5c41ad13bb2b9f3f87532ecd5bb,,False,True,,,True,16,270,,,,False,False
