idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,test merge,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
1,refs/heads/master,902b1ce39d140e2ba07deaa7e5326d96b25f5d99,426ebb13ee04af4f7d7efcb6338e86b3a4ccca98,9a3809f5dca9d6c40c22ff398e0d72e8fc13a363,,645,True,True,True,d9032b111722c2babea9d249ad1cce9e804459406eb6230a71f521b87ca4585c,fbe3c3ac5938ff0762acf9d279d5db4ad7c327c432f8f6554c26d2bb435cd827,Tests_passed,0.959402977025132,Tests_passed,0.9590575719313328,True,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00,Tests_passed,f168fb9c0b0a338b72b9c74a29c555856086144a53f76df98d950d32157e0c00
64,refs/heads/master,c7c2dd783a2b7c97267a4c185ec1cddde10d513d,dd5d284e86cc83b1ef8088fa8cba383d95957850,b69c4759ed286546ba5437d9fcb6d24a1e2d3f8d,,2914,True,True,True,b1fe9c9ab69884bfdd41ec9aeb37056415c82f20293eecb297f0154e3692d7b7,cc816827abd1117e18dcce3be2e20a91adffc03da55fa957da6af05f173eef75,Tests_passed,0.9547083154647448,Tests_passed,0.952361379423733,True,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71,Tests_passed,28b4d67b5b973876541d5684ace7433099c2a8e7ae3c74314b639924706abe71
79,refs/heads/master,474ab7f5f181bd47348654a1bb12e955ab32bc42,e6165e93770844a8bc1627a2f56807b6e4d6357b,cb0f461237cc9a6fe7082b4a88578cf02a5362f2,,18,True,True,True,ca56bd15710c610bf123b8a1d3f01e9fa91b4018a74357c4eedc82e66aa1a550,48564960c6b07374d5f955923ff6067e9b8b24e5209f5cda88271780a899303a,Tests_passed,0.9552319986611438,Tests_passed,0.9558991981672396,True,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f,Tests_passed,443e7ee44d3b5ae7f95c74af2691459ac4975f0a7f30005b7b0f0f664811320f
88,refs/heads/master,094ee7ecbd9f4d127b8bd3775a63f7b9857ed5df,5f2bf30edee6ba2c5c9d27b58fe8b032073fb991,48b6d5e6245b7f93b34b7628c8775281ccac9e62,,8964,True,True,True,f42097b518de5865d60ca5de50f00071f3221577ac6461a3c5010dd98799cb34,27c2c7ad993e0c27cde40130ca2a11e535bdabc69c6b8bf86553ed5ff71edcdb,Tests_passed,0.9580431340125282,Tests_passed,0.958781185287447,True,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Tests_passed,ded9cdb11c64a0908d0fd42705bfbc3a31b7da06c66e5d4731b74682670b556a,Merge_failed,
98,refs/heads/master,589ce593070cb5bdb4053a71fe97342509037170,75768ba2724e2bb1d9a7a450f882be7d9f806a57,cee7cc6b6470362b12c134b4ed3f3b9bdcd4e465,,1279,True,True,True,e2003ce6dd419376870a4215ee17fc170f229a8d8bac170292523e3b5843336e,75bab176c41cac2bb7ce4ed14c3374686a8089e0ed1810ad4a63fed1476c9777,Tests_passed,0.9568449016504637,Tests_passed,0.959831675592961,True,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c,Tests_passed,b139bcddcd7e1c29a7c051f3e3a3f1f5c9abc22e1e338ac7677f24fa1dd1ec4c
189,refs/remotes/origin/pull/1062,dfc04a04cfa04c378d9a001354ede6e2e3e4d02b,fa2ca50812d8faa5b26bcba8f168fb282b6e465d,a203984ba6bc452a5ff6dbb149535eaad6567c00,,1483,True,True,True,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,77831a33e352935acb3c66876ba4fc23329a779a0f76f6e8bd07b924b897a976,Tests_passed,0.959170973240618,Tests_passed,0.9597565922920892,True,Tests_passed,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,Tests_passed,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,Tests_passed,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,Tests_passed,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,Tests_passed,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,Tests_passed,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,Tests_passed,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,Tests_passed,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,Tests_passed,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,Tests_passed,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,Tests_passed,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,Tests_passed,80d7e5e4905e34bb18c5e7abb5adc8bf8d81f960b6ef1be8b891fea5e0e645b8,Merge_failed,,Merge_failed,
194,refs/remotes/origin/pull/1071,95d410d837370a776ac74d8fd83480d332afa2c7,75393a34766b346b8e63e34abeb8df845dacecea,16c9c0df22b79ad011d5f200258a10b22eaa40db,,1373,True,True,True,fbf2c899dd8e3985de95f8b7b105d167518a8a08783f990e79c50c80865bd56d,f9c77b5a3a2721f17abdc9eab0ee930b52675390aa3cb4a525c33955c0f120da,Tests_passed,0.9589951575492044,Tests_passed,0.9595665029975856,True,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761,Tests_passed,a358c6f5ad9cdc5e2b4e1ada44a11f695e502c5f698b228df2ac0b7f54f4e761
209,refs/remotes/origin/pull/278,ab848f3721dbedbe202f3304f5aa12cbbd441be7,5746e0f34a0696a4b63e5119e8a6f27e35c5a46c,f6923510352fc3fbfad68bc6c5ac5258a34671b7,,31708,True,True,True,aa567cf54e44736679a559ec5feb7884392d3f0af45d25a432dc6aaa997017eb,a192780a66beb7d9944695f6be4ec1ca92ae1b3c2f9cae9834a03234536a0679,Tests_passed,0.9575597943837886,Tests_passed,0.9561178374156112,True,Merge_failed,,Tests_passed,aa567cf54e44736679a559ec5feb7884392d3f0af45d25a432dc6aaa997017eb,Merge_failed,,Tests_passed,aa567cf54e44736679a559ec5feb7884392d3f0af45d25a432dc6aaa997017eb,Tests_passed,aa567cf54e44736679a559ec5feb7884392d3f0af45d25a432dc6aaa997017eb,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,
227,refs/remotes/origin/pull/416,330408dac2591658dacb625e48eac6a931433a20,33468273761d1263be10f0fc8777da9386204e4a,16cc98fbfae41b0fa3206dcb1e1a0cd7ba09c949,,7423,True,True,True,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,a3c42ef4a42224fbe645794dcc61ec83000b1ec5bc6c296715d87259e174ea6d,Tests_passed,0.9579545454545456,Tests_passed,0.95873350182533,True,Tests_passed,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,Tests_passed,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,Tests_passed,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,Tests_passed,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,Tests_passed,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,Tests_passed,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,Tests_passed,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,Tests_passed,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,Tests_passed,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,Tests_passed,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,Tests_passed,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,Tests_passed,560c243dfc1dbb0a28f118b10cfae50492a373b3799b2b7079a42d7188341636,Merge_failed,,Merge_failed,
228,refs/remotes/origin/pull/416,da9ace0f4c52e766903b1accb2b8d3b3636bc807,c4f5f4a22abe6b549418191050ffef7e412e2b1c,46b381eb4bd5b77b7322e73e7076957c2956860e,,12382,True,True,True,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,aa922650ae74ddcd296ab8871a88c53c9c8a86a4e68755820534b8829c37dd85,Tests_passed,0.958982830678866,Tests_passed,0.9578835057769792,True,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Tests_passed,aa402336eab4d6264e146e9a2b4dd63064e50359a1202cfdce2ef17dc826a1a2,Merge_failed,
