idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,parents pass,right parent test result,right_tree_fingerprint,test merge,sampled for testing
3,refs/heads/develop,4b77925390c6a6d72033cc248ea06fbc5d51f9df,adf82d4d3bd313d66fbee251d0eea595a356020a,de961a73ef45b322f6a0b374a888c57dfe5ee27e,,33,9,1579,37,False,True,,,True,26,,,,False,False
4,refs/heads/develop,bf70b42bf264e033685406b80b01f2bbdad30c1f,af21e26dff36579d9323a1e2c6d927986122d229,def6b773a11ba2ad1b636e967efb48b7f0bdb289,,11,4,449,22,False,True,,,True,8,,,,False,False
5,refs/heads/develop,4091c7303931dcc70d91daa8f9fdfc30961f4139,88d1b42c72f8bc84b9aae40fec75ed7be1f744a0,def6b773a11ba2ad1b636e967efb48b7f0bdb289,,18,1,749,45,False,True,,,True,17,,,,False,False
6,refs/heads/develop,2f76266a9a54b91775a4779a03008eec2aefbdf8,fd6cd30ddc68f8a677b3d191ece74fff0af7aef6,0217cd819c8688e3bdca69eb278a5523a97b4539,,18,1,1330,60,False,True,,,True,18,,,,False,False
8,refs/heads/develop,f6b6172ad0c935daf0a7b73c7314f75551014d75,d409c49b261bce3718bfbf4ebef3de27ebd5db81,106d20371e8ea2f0f6a64b3b7fe9658c314e2e28,,127,1,3149,454,False,True,,,True,127,,,,False,False
9,refs/heads/develop,b45e590c2da67ba1157ae04f9efb293f22647420,7529d316f323448bb5aa1e968c80e5f6c93f904b,580cd45ef786f83934b613bbc7aa14a19ff7485e,,11,1,109,15,False,False,,,True,11,,,,False,False
10,refs/heads/develop,e383ff07eba8c0083c1c5961d760092b1ccc3812,6351ed78e644077a6b2c05ff1ae00b04c63d52c2,db77a79f612fd699f928deadc1d507f5578e3613,,8,1,198,66,False,True,,,True,8,,,,False,False
11,refs/heads/develop,4a2cc6bb546a19df269029d46eea25f1bcafc801,f66b48f4fdf0acfab86055e45c5297ca38741242,5a74a69d5739d6a742f66466d7962f88878b3c56,,10,1,54,16,False,True,,,True,10,,,,False,False
12,refs/heads/develop,c98a0d65246f1d1c61416b5925576da4a2de1576,fae9aee29d76c75f5e242ca2e55d78e54aeca667,6590d2a8218f5f5e1c3c6ffe93892032d2b6a6c9,,40,1,871,105,False,True,,,True,40,,,,False,False
13,refs/heads/develop,ae8c217d5c1c1382749dfaf6a80bc597515b50ae,d91dae59889794ed2bdd72642c465f972f88db3d,92399c10ae77960eb1b64ace0ba25817f582baa9,,111,5,1564,331,True,True,Tests_passed,dc1c77d709db16dfe891fd84a0310e86b7170e3ec460820ab7d5876cf5076c19,True,107,True,Tests_passed,cabfd84345f258409a1e6cc666c85b51e7f48a9e133db1b9fd4ea7a9cbca129c,True,True
14,refs/heads/develop,2ca347544364f6cc2c9242833d83c54a985e4707,0d29a94cf8904a62c4fd2cc16b5696776a57aade,09bf1d658ad03d0366f8602133990cc6c63985a9,,3,1,14,7,False,False,,,True,3,,,,False,False
15,refs/heads/develop,95de24d681f177c517b06ad85e1a54ba2cab2954,aa3660c9ff302a430eab595ce8a2b50cb2bb358f,767667363a9d84853d42a854e8da46cf8ff83d57,,7,1,79,21,False,True,,,True,7,,,,False,False
16,refs/heads/develop,2835ce8348506779371dfd0a04ce833f2e198cb1,f4615e280ba6e4eb33cc09abc8c502ecec56bae4,1ae60b430bb092e265d50230f0dbc540dd731b2c,,22,1,47,25,False,True,,,True,22,,,,False,False
17,refs/heads/develop,6417042bb943526686daa4d5e1e72610842c766d,b7a85dda24d90929af63aa7e9531be57f70bc2fb,7a919baa801eba4c5b70b6fca875ba188c999c81,,676,0,30000,2446,False,True,,,True,676,,,,False,False
18,refs/heads/develop,6c7e3525b4207bb64378c9bb1eaa3d66c197fc7c,8415d5216fc53256984964c2fa4887fa3465893d,5a9a14e7b50d5e523845bc136452bbe776a5c702,,3,1,36,8,False,True,,,True,3,,,,False,False
19,refs/heads/develop,bd42028764665f233ea9096613bd1ea177983808,6e812031133c470158204d84af8deb194817ad77,2e52e41654e57d898c0fcb02a0c6e93158926a63,,33,1,408,106,False,True,,,True,33,,,,False,False
20,refs/heads/develop,ad29665505712f2f5c3072ca0ff217e7ba23f497,a6900029a864a0820db81c0a24d075f623d7d646,ad2fcecfbd496dda050a103af21e85fde187c166,,20,1,717,75,False,True,,,True,20,,,,False,False
21,refs/heads/develop,0b5eaca790bcfa8fb61281c4f6fbc18561a7d352,2c205ff3eb4ad5d20267dad46887f539655a4e7a,1fdc1af81d078557ff92260ddf19d6ca529fcbc7,,35,2,671,92,True,True,Tests_passed,30d64da2a6878ce1c31d683fcba8c91c65eabad8fb558d09ca053336aa413ae1,True,35,True,Tests_passed,b6738abf256ed5bb7d92db23d1dab0a007b41f94dd8ef21a62dee264f4129c32,True,True
22,refs/heads/develop,8870e6e3c48ba839269f3a36283b1ef65fb54c31,3b4448d21e03f91fd83dd194ce459902a0e39457,e23dfe266620ca7f362b1ddfb6b7e5a6afed0811,,6,1,12,6,False,True,,,True,6,,,,False,False
23,refs/heads/develop,d2980490a17c2f6a76544a8db15a2b62c00bf973,84d079ac99c3d1f96ba2d252f97da9618f845c81,2be191631a634dcf6962b1ad74867944ac2428c7,,18,1,39,20,False,False,,,True,18,,,,False,False
