idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,sampled for testing
1,refs/heads/master,be184d8a38e0bfdcb790bf15a913850d2ab7ae75,e469beda0d0e552225f8bea11651e435a93cd941,7cd9f2346ab7818efac99070737bc9d4da5faccf,,False,True,True,5,106,642,0,False,5,False
2,refs/heads/master,6d1885834ee5f0f8bc087c7de61638c7356eb665,e389faa332d010d1c5a6282aa430c2883cefde62,b4e28077ba16289d9147d3efd735bedea6062105,,False,True,True,54,237,850,2,False,54,False
3,refs/heads/master,25ec20b20a2db67886e6715d5a38e0a45bd5e7f1,a4e9679fec6ee231c5e8de72c6afaed338284dc6,16eab9b9ff695101b9f358fa4005d1b5d54b7c60,,False,False,True,3,3,639,1,False,3,False
4,refs/heads/master,a9e82a1b250c8d5f455e6f8948899fa32b173006,62a851d67fa37b61b6b8cc8c3cad5fb8d0889530,4dd93cce70bae83e64ce6c0dd74912d1bf37b45f,,False,False,True,11,13,46,1,False,11,False
5,refs/heads/master,70a2599cfb44c0c0bf6ed7c700b014ba8c7603c9,534b33760f1c65338f47eab9f6bbd38b977598a5,ee8da5a599b5e0ebb7a02bd997174875027914ce,,False,False,True,18,62,2613,8,False,24,False
6,refs/heads/master,d168d96d88d87fc1e9a28a939b1de761823cd8cf,5ac70c83665e5746496c0aa1e6c23d9e9703d318,86c6afdbe638e44cbcec14fb36b35ea0fd5e3218,,False,False,True,13,27,257,1,False,13,False
7,refs/heads/master,0bcc1d6b25d88b521ae7f0e15fa8e6c8f136241a,ade1e43bf9507a90b586ae192a5d90088d27a6a6,ea212087a3c175a7931cd4002f6d02a3a0fe0ad8,,False,False,True,4,9,78,1,False,4,False
8,refs/heads/master,43f852073c259b47f8814b00245fcbfa94cae322,6eb796100e03a8e54493d55c52ba45ba0969a8c1,1591af7f0661c98db5e5190ee3f5935e73d57b1f,,False,False,True,4,2,22,1,False,4,False
9,refs/heads/master,dfbbff3d836dccc390d2365722b5c5fb0ab798af,98c5153706ab086d3b3563409895e912a5242615,112e7931745d776f384fb416588d9007feacfb42,,False,False,True,28,123,664,2,False,28,False
10,refs/heads/master,2eaf9232e369e0a89a7e64ae433713720a8af10a,e3f07a04d94656ec1992aac39f96366754034d64,7a78f3c728340a204adf94361e6404f733ad1725,,False,False,True,7,6,29,9,False,15,False
