branch_name,merge_commit,parent_1,parent_2,base_commit
refs/heads/master,ce8c6fe2346cd0c0cf5f641417ff85019d1d09ac,728983ef3bb67c71de3e76acd9fb91a7164c9ad8,b530e73ebdd8ab4c6dae084bbfe825d46047b8ab,728983ef3bb67c71de3e76acd9fb91a7164c9ad8
refs/heads/master,d90f9025a7fe6ec42ba6d39956f94f355ec67393,be1ccddd85084846ea864040f0a7a153aa7063e5,648399c43743bd1ae972a6fbfb01941ae1fa14fb,4e5c8677d58549cbe02f051a2cb2331bf0f8b407
refs/heads/master,648399c43743bd1ae972a6fbfb01941ae1fa14fb,e14c7155a4c4a44bac7bfc3fe2a8162e0edf83e0,05c1cc5afde8f3fd6beb7928648cdeb0e0a0f8c8,e14c7155a4c4a44bac7bfc3fe2a8162e0edf83e0
refs/heads/master,05c1cc5afde8f3fd6beb7928648cdeb0e0a0f8c8,d475179385b2444fe385da12dd059f8581ac98d0,2177ed57910ead32c0a58c724a331fb681e9d3fa,6ce30bad3dfcd8e827b5a8e457783b1b0a465182
refs/heads/master,be1ccddd85084846ea864040f0a7a153aa7063e5,b4f04ebd4e6e474c902a7dafdc95212d22c51381,e14c7155a4c4a44bac7bfc3fe2a8162e0edf83e0,337d778c6364d2963d9ac0916fcb43faf1d371e5
refs/heads/master,b4f04ebd4e6e474c902a7dafdc95212d22c51381,337d778c6364d2963d9ac0916fcb43faf1d371e5,0a2feaf5baf117564be76c008f1d5058908581e4,337d778c6364d2963d9ac0916fcb43faf1d371e5
refs/heads/master,ca9400a21924e6986ce75716f5fb2716178ce69f,6975c7583f7754c2a9880a217eec5387a056418a,e14c7155a4c4a44bac7bfc3fe2a8162e0edf83e0,25c802b6b968bf90400915f5ce7eacf56a26aa2e
refs/heads/master,e14c7155a4c4a44bac7bfc3fe2a8162e0edf83e0,73990e5161f74b623033e9401772516ffd21ba43,299a5a08f0699b264c66cb721cfab716c8033a05,25c802b6b968bf90400915f5ce7eacf56a26aa2e
refs/heads/master,25c802b6b968bf90400915f5ce7eacf56a26aa2e,03dcc441b5ee50038944eb461d65a79e6c358bc4,97b16cf61d83298e7ddd42d959b899d138ec77b6,03dcc441b5ee50038944eb461d65a79e6c358bc4
refs/heads/master,bd9f160863c4d3c0accf356d0e103a56e96b3288,a877629641225f615343f044ba37f8a817c31ff9,c3f69c168652d1c5e6ad66d25ab1e31e7c5ac5c1,c7653c5a716d29cdff430d44ed161083b0d9c2d7
refs/heads/master,c7653c5a716d29cdff430d44ed161083b0d9c2d7,150ecb9ea9ede46376171357df94dd4f8c2c6534,03dcc441b5ee50038944eb461d65a79e6c358bc4,2e8941ed957abb8b4bfaa009248581bd30eddf7a
refs/heads/master,75ca8467a34573be493cec2be20f764fd3212ef7,3ec4c4948c6786351c7077267eec4634999c6d4e,0372dea29c11dc03b0883821b1cdbf8d6984c3aa,3ec4c4948c6786351c7077267eec4634999c6d4e
refs/heads/master,4a10f760158102a8f90aed2dfe5adb62308a7b00,a04b847d5dda5a25d29393255fb383014b641f35,2e8941ed957abb8b4bfaa009248581bd30eddf7a,5f78fd8a05910c0ba1c899f692d9384a65c1053c
refs/heads/master,2e8941ed957abb8b4bfaa009248581bd30eddf7a,833abf2426cf0b8ba93ba6768ce149d9be1c69e2,5f78fd8a05910c0ba1c899f692d9384a65c1053c,75e2dd3e4c708a1fd490b11c641dae2afcda9e2f
refs/heads/master,3ec4c4948c6786351c7077267eec4634999c6d4e,337d778c6364d2963d9ac0916fcb43faf1d371e5,cfc5f04cfdd31d771136753d8c00af881ef34b05,337d778c6364d2963d9ac0916fcb43faf1d371e5
refs/heads/master,eda8f78c417bd9c5f8dea31a538c801b22c4ec57,bb63cc2a88ebddfaf03f235c0f0c33ded57dc16e,419f0c958f8ac2a7d9426580636f3de09fe77f46,512585ef0d222e04693ae7f1b16a2520b412008b
refs/heads/master,013af7bb33ef77e1d7c0c496bbc0b894a54e7ad4,01850dfd3c4b8da07e8f6be4bf93688380363bec,451956348d549451f58d841c9c713bcb04346b49,01850dfd3c4b8da07e8f6be4bf93688380363bec
refs/heads/master,d19b0fc7be7442e3ac748e9b79f500966bc3980d,a6b0563f78065982d9518a80443b488eb5afa4d0,2356a5c070adf5ca3c8f12eef4e067101c3c4875,19c6a6b1a25f88103dc89f0bff9df466345d1a79
refs/heads/master,2356a5c070adf5ca3c8f12eef4e067101c3c4875,19c6a6b1a25f88103dc89f0bff9df466345d1a79,3f865e15577febc40ca0eff55aba63a3841b90a8,19c6a6b1a25f88103dc89f0bff9df466345d1a79
refs/heads/master,dd676f9711fd4fe49ed850eb90a32be7a81971f3,93443d67519201c0c7930e3bc3f98dbf45451057,0288c8bd967e2464c1da3045dd175e19f3c25773,2721d0038ba4f9cdc79549bc0d0a1b7e19ce6441
refs/heads/master,ce742e6d416953375ca94ce5364855b794c9f86e,f90b0cf4d33107028c1ee75e56fa9c41c6840459,d89ba8b0e053286c6fd60d0f6b9ef181dc98e387,62aef0902730345ca28a1628315fd8cd52d625db
