branch_name,merge_commit,parent_1,parent_2,base_commit
refs/heads/master,09ae97303d3faa0b4b837a3bbe18b996854d2733,118cec43b19eec2ed1d66f6dd0aac7209edfde96,c695c1b06cd1f44fbbe1181a41a6c4ffe2186e01,bd0cc453a5d7389eb2a92bacef46c13b436a0316
refs/heads/master,71119ce131a1c618759231ed9d4aca0468ff4055,312408a5c2d22bc2a1578d940c92417e05f94412,2a0757ace47466e4ce13f670e977128c546c0349,312408a5c2d22bc2a1578d940c92417e05f94412
refs/heads/master,48f6840273e369000421675dfb90141c0e3ac270,f789091534be95c103890be6539bbfc5faf69b37,0a6203acc6a2765049af6913b8deb070fb63a244,f789091534be95c103890be6539bbfc5faf69b37
refs/remotes/origin/pull/11,b723af6521ad4e9f4627cadcd43637eb903ac725,b77057c5d0aa9e47469c86da7c01f4aba3bd5f43,f789091534be95c103890be6539bbfc5faf69b37,b77057c5d0aa9e47469c86da7c01f4aba3bd5f43
