branch_name,merge_commit,parent_1,parent_2,base_commit
refs/heads/master,d5ed08a6de4c954c840a7590111a7164b4088296,b9deadeb7684fca5d2aea3aa9c48103e684b3571,4895042f9ccaa65f43d6a23de6b33dcf5c5f84bb,50cdc4d4d95ed962df64e199056f505b2bc6fc05
refs/heads/master,b9deadeb7684fca5d2aea3aa9c48103e684b3571,173fec3b778395b58cc0c52ead26d92e67e4bb1d,95472719dadf22974ace96948a0bd23fe089bc37,cea436e1d82a9e4b9cd17cae253d5370a95402f5
refs/heads/master,8d364f3590cd75cda75d0c827109be88b6ba82a8,09b0fe7650013cc9b6dbaabd6f8ddf1e8e618c65,60935cf421bac68f1f107a95790cd0d7a95ae298,6d2cf52b09af9b1121a7ebea44da4440f1c8a638
refs/heads/master,60935cf421bac68f1f107a95790cd0d7a95ae298,6d2cf52b09af9b1121a7ebea44da4440f1c8a638,5d46d03bae238d1cfc480c7d16d829330246ecb9,50cdc4d4d95ed962df64e199056f505b2bc6fc05
refs/heads/master,8ee52f4480f7a8aeb115fc84c0f36fb3e3eaee36,4ba378296a91684330b235ba1dfe08ae39ab2304,22a47df4405a56dfa0d92ec1645088e68359d422,60a72a41f21c7bf10745bf5bc876dac76d119e36
refs/heads/master,f0602baa7a51a1976b0224ca1555e338cc661691,55a530dee1123064c53b50714692fc2ed90c4ec5,8160938c4e97b8d3948de539521bcac64e6ed9c2,1d48e99549cfff222773a58346457dfdf61dd541
refs/heads/master,43f0666d92c13942cdba67333b1fcbe86c6a7658,5a7dc6cc468c7f5581d2e9b5860469f48f06b848,1d48e99549cfff222773a58346457dfdf61dd541,4215b53a35f310f87411338ccde477386beb0ab5
refs/heads/master,31ff8da477c23c8f70c7baa8de4a2e2a427d3d82,ffafa70608c3be62b71573b716c9ca3428f51b9f,c3333e4321fe84983a5040a39589877a62df7107,aaefb9e9020fe51ca76ec8cab8bd5a8988f04b00
refs/heads/master,72ec730f4dd31602d50775c9aa768bdff64a1385,a594b87669e32de2c68e020ed45e670b3a41c775,af1feb00417e26b10666dd986bf242d173d04f9b,8b9d48124db55faf4234c175ddce1b95f55c70f8
refs/heads/master,60eb51d7b1559226b934006cb8fb77f7b8a1afb7,50feaa54d7e0d35bed924d2599f764cfe61be1e7,bae897fca8ad62a0211c001464edfc3a9180377e,432af4fcea03e549789c0c302527ba946ca59066
refs/remotes/origin/pull/1,740feb33ab2e9c221540c43941854b5e3403e413,9fb59cfa0b2113793b73eb01ec6f90bf37566c27,37b313a0d0ed0884e5a420e806ca3f17c8990232,9fb59cfa0b2113793b73eb01ec6f90bf37566c27
