branch_name,merge_commit,parent_1,parent_2,base_commit
refs/heads/master,89211ff4cdaf6a941feed63bed40254952ad4b08,5781f9b5962138ad0791eebd7d92d6599fb83b82,d5aa03410a14b0fe926df61996cb034e6920ddab,5781f9b5962138ad0791eebd7d92d6599fb83b82
refs/heads/master,d5aa03410a14b0fe926df61996cb034e6920ddab,e570f22977e4bd712364629b08c99dd6933e9382,5781f9b5962138ad0791eebd7d92d6599fb83b82,b01f08848a8980dcff5a2bbc1251ff0f4db1aeba
refs/heads/master,4fdfa47955918fdf723548f589ab7e3ac83a7736,6dae31e2626c4621579998ee5b536b1beb107322,b876e7fa0cdc8a44069d7f25338176c9c91081a3,6dae31e2626c4621579998ee5b536b1beb107322
refs/heads/master,6dae31e2626c4621579998ee5b536b1beb107322,4ef4e925472df78eb3ac7518478379c2318d45cc,c90e799f06f9a5c0802f3dccb5c22fedcd5e8c02,4ef4e925472df78eb3ac7518478379c2318d45cc
refs/heads/master,4ef4e925472df78eb3ac7518478379c2318d45cc,1e66d7ccd7ac601df3c814833f1b9e32b25331c6,022fdc6dd8195f8859856f85f6358d9577182360,1e66d7ccd7ac601df3c814833f1b9e32b25331c6
refs/heads/master,483881fdb67da8746e484d705894353310f536cb,5bb71b74407697e08a6e5c8453b366623eac4843,e290e94697f738611291af811cd5e710d9ab81ec,21206364fce27f05e13e8fd888098360969721e5
refs/heads/master,9ff21694fed66702fc4cab3e17d437d9907df3d9,8b7cad103a9a219ec69980a24c26f6a3c908da8e,21206364fce27f05e13e8fd888098360969721e5,8b7cad103a9a219ec69980a24c26f6a3c908da8e
refs/heads/master,8b7cad103a9a219ec69980a24c26f6a3c908da8e,45216a1590a853cedbaabfc5790bb286342160dc,0fb7e352538e93a96f1c5e72f232fa65d839d84b,45216a1590a853cedbaabfc5790bb286342160dc
refs/heads/master,ffa52f05ad997cd9d28abfe2f24b3d9f2f198309,f5baefb418e26c5ed309dbee10d75fca915a61cf,591a9c6d11a83ef5dc38f297ce6bf16cb63a2b80,26521296455232eb206fdcd39911d4665a3ac0ce
refs/heads/master,fe9fbb8ab5f2aa1f2b12be5e72e2977465937ae1,d019641cd31d3cc506ab6293c49ea17ca88408eb,3573df1ed5fe2d376e134b02fb188ee6f68a63c3,d019641cd31d3cc506ab6293c49ea17ca88408eb
refs/heads/master,afb96bdc90d7b5adea76a79ccd632fc67c7163a6,10a7cdac7053e1c0d12648f2586b1847ba95f977,d019641cd31d3cc506ab6293c49ea17ca88408eb,ad2e72bbb233b3883c1c903b2ef5cca086d5acd7
refs/heads/master,d019641cd31d3cc506ab6293c49ea17ca88408eb,ba2a4738c81122a2f5ae06526d3beeee93a8af89,06a7a0e54ee8c348f2b7ff94083fb740e3018018,ba2a4738c81122a2f5ae06526d3beeee93a8af89
refs/heads/master,ab0f09bc1c8b7532449f8758f3c3d614dabff946,2beb8d2760a6df45dc0020d10861e984dfa06d70,43021e4be81492b1d37157b814b929554b71f17c,ad2e72bbb233b3883c1c903b2ef5cca086d5acd7
refs/heads/master,2beb8d2760a6df45dc0020d10861e984dfa06d70,a3419b5bc4bd68ed97ee8665ea6200095f4bf7e9,ec18f3b68d8b1fd1c0cd29027ed467241f58bd22,ad2e72bbb233b3883c1c903b2ef5cca086d5acd7
refs/heads/master,a3419b5bc4bd68ed97ee8665ea6200095f4bf7e9,30186d8042d320ddb924bd1bce520911e80b534b,27550024ad3dcda7c2494f633d0b60cdc2f43ad2,ad2e72bbb233b3883c1c903b2ef5cca086d5acd7
refs/heads/master,574807781e4891ef048a4b5fbb9fc44f09a5e7a3,07986251cd88fda8aa8c721368539edf94d34f3a,fd058f91d9cad98ee4d744d46486fe43f7fe6418,ad2e72bbb233b3883c1c903b2ef5cca086d5acd7
refs/heads/master,07986251cd88fda8aa8c721368539edf94d34f3a,520634faa5b2d18e178ab9f933665a0373a9d3b7,162283efea8809c1b98ac30093c43db681e653ef,ad2e72bbb233b3883c1c903b2ef5cca086d5acd7
refs/heads/master,2a036c22c6772ea21ec9a4b4bb90319c12cf0bb1,b3eeb7b115179e17692677dd4f4f019e8150640a,ad2e72bbb233b3883c1c903b2ef5cca086d5acd7,b3eeb7b115179e17692677dd4f4f019e8150640a
refs/heads/master,b3eeb7b115179e17692677dd4f4f019e8150640a,8eec911bcef7934e10fa188f2d86ac665c4f6c8d,93b2e958e01acffa9fba98980c1b83f91f60f720,37993d9b7b4845b90b564a02d6777a8d29fa370b
refs/heads/master,8eec911bcef7934e10fa188f2d86ac665c4f6c8d,65a71c6ea44deecebdd68412d22f3077d1b507ef,bacec7716fddeb39a415bce5c65bf0a28ecf9b39,37993d9b7b4845b90b564a02d6777a8d29fa370b
refs/heads/master,65a71c6ea44deecebdd68412d22f3077d1b507ef,3177b61654c2badfc8f04a4ac805beec93b11915,ab43c0e903a9aec26a344aac86d4ef83b7d9a5e8,37993d9b7b4845b90b564a02d6777a8d29fa370b
refs/heads/master,3177b61654c2badfc8f04a4ac805beec93b11915,34e7565d4436bcae4aa680ec61d2257bb4d165aa,37993d9b7b4845b90b564a02d6777a8d29fa370b,34e7565d4436bcae4aa680ec61d2257bb4d165aa
refs/heads/master,7bac1c912bc6c261c8a602707af4f7ce2246465b,f114ad94ebd929e7958e07cc98d3a70fd09b6500,d37bfabe197d9657bb55f684c067bf1a70f46330,6e5db5a4991ca81e33d3c212fe5ea6a02a2a661a
