branch_name,merge_commit,parent_1,parent_2,base_commit
refs/heads/main,475b7b3df96e6503a06fcba1c38172f18729c501,9120b82cc3d7db6986228dca70c6f98c3e4cff6d,38fa8d430f6ea21209fd4906c7d1af6b7fe53295,bfc216fd82360c8b5d4445ea03a2254245723062
refs/remotes/origin/pull/27,91d5b1492ea6c34a138f2210ce02e76563425f5b,df40da52350643e0910af3cf1cae16685a15f7dd,7e8cf932c90801da67a547773f22c2fc17781408,df40da52350643e0910af3cf1cae16685a15f7dd
refs/remotes/origin/pull/29,e95c4ce2164a74f1f29021b5cbe16091e215f427,12f657a46fe374541f8e913c2da3636fc0496a24,0ff5a8041044d0b505b076f40db4acd5e107bb43,91d5b1492ea6c34a138f2210ce02e76563425f5b
