idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,left_tree_fingerprint,left parent test result,left parent test coverage,parents pass,right_tree_fingerprint,right parent test result,right parent test coverage,test merge,sampled for testing
27,refs/heads/master,598eb371e69125b78d2f389c2676d3cbdc2cde57,f95ed0b294a48f2c2415b8179be8e8c310258246,69d754c24be25506fcf8f0ccb64d179cecf5e005,,566,True,512c4f1b115afd0bdc1f63a488f078c8110bc8355dd1799e8f5b8ee138174283,Tests_passed,0.0,True,8d8b1465def7a8403af658ab1f3f4abbf763ff6284784b34751ad51c4d2ef3ad,Tests_passed,0.0,True,True
28,refs/heads/master,f95ed0b294a48f2c2415b8179be8e8c310258246,6ab2d90bc77ac7aa8298e7a88813d0116eb1d790,a80f946735c00e43203a25d55828a3d885191594,,582,True,e2a4b285aa7f43565a784289e521f8f645e90bace4cf84e8baac4c8a2685714e,Tests_passed,0.0,True,32bca8e672aa250a60d10d7a06ef235f47b9fb4329907ce232663f7bfdd5a2a8,Tests_passed,0.0,True,True
30,refs/heads/master,47777ea8c5a8bc18bd4fc9ccec87cfe92d855338,749eea48f302caf92e2eac0e817beaed2456d579,e6a2e87a6f82dc11339cc30a64b1a1618335d11c,,37,False,,,,,,,,False,False
32,refs/heads/master,e9f3501da40ea1f41187c823b3aa3643c77bc65a,473e943e904b39bc87cf8a3e921242378f4257a2,0d96b4a9686e3d587cb2785cd0b125ae8ae458df,,2634,True,70be2019532bff0062fd0699d85ce698385e6720de47c7ee421c7f63059319d4,Tests_passed,0.0,True,e3f0f84a0ef77c1c71e6ee673f56344bcc61a13a4c69237ec9d3cdf114a62984,Tests_passed,0.0,True,True
33,refs/heads/master,bd1b7bf0012089e5b80fe878cf618ff1a721abe6,524a43f3e74fbe8afc89214cfd4161541d9878c3,dede9d92169e3f35f2dc9ea2f72da387e66785f2,,231,True,bab55f7fc3030a896c4bb7e8ca4ef67140ebaf66f9ea5e8d4d66562714e6b87b,Tests_passed,0.0,True,148876451349280016fb61c0768c371be545eefa8e28b2a14fab30d10eb0eea9,Tests_passed,0.0,True,True
34,refs/heads/master,f10ba77a97aa29f47a14f9e4ba57e3230a74c5e3,6803646a2d0441b236765db2d1c77ae30a8a1ca5,9c094aa9c7d3270a76c168026770809942eb98d5,,672,True,10e64c49b7d1d7e1e900a00a67e2fe53dc913cefca36c3b5d832857b495ee36e,Tests_passed,0.0,True,b1b454ab3c5608d130c3f78d8f40433a488528e06ff38f1df4a62c0edb18f3fd,Tests_passed,0.0,True,True
35,refs/heads/master,6803646a2d0441b236765db2d1c77ae30a8a1ca5,25a45472c4b305f6366888a0074d4a5701c4227c,96c75bd5dbbced79122c8cbccbd20cd69b4d26ce,,80,True,8bec3111da2c837cca5aace404866d8437124428c552de38f2119e9c249f1588,Tests_passed,0.0,True,3a2aee6a6ca17c9c6ea906c0255531c45b0a6bd1d2cae0c3100b0cee3d345f32,Tests_passed,0.0,True,True
36,refs/heads/master,63f738d220c9c81649002eaeeef1869dc7d82277,4198c1bcd5c9f06fa9dd71d8b43b28451ff1484e,5f9ab4f8b93a85cc460031d010875153c9a61b76,,9098,True,4d5a1070597a67fc2fd38bd0d36b787167d95273f008bdbcfc84a40d5a50d85d,Tests_passed,0.0,False,cf0a6a092e39b08f5642b974ea19893e633188fc1133329657546db3f05701e9,Tests_failed,0.0,False,False
38,refs/heads/master,688c1978847ed9581d98f7acf4fa3f8bac804c12,239f0614ce192f990faa30b96c41b47105e8f14c,ae0959776c66a4de9e249e4ef4e4bd7490498442,,16,False,,,,,,,,False,False
41,refs/heads/master,dc03cbba682f84456c0c37bd436f6bb2c6670fa1,3ead5d83f1cffa972d66a94704d94f0fcc2bc5bf,71e94612ec518e0286812809891132252b34dab7,,15,False,,,,,,,,False,False
42,refs/heads/master,3ead5d83f1cffa972d66a94704d94f0fcc2bc5bf,1774c32969fcc73ef1cf42a585377877b3661470,0420c77342558bd6a11c794860a7582875303853,,623,True,a84fc59b22d91808e9bddfb01cda403c5d228cf9f4f9f37cc38e30680141f418,Tests_passed,0.0,False,0b6451df51201a2545b7860d5eae15fc39ace3c49c8faa432a3bccae2bc655ab,Tests_failed,0.0,False,False
