idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,test merge,sampled for testing
1,refs/heads/master,506d4bea15a1d8845b4ba254899d9b1bf9a5c953,357525020959811115ecfeda4de15d3805eaf825,39008d47bdbaf19322c562252c3eb77f2f7ae30e,,False,259,0.0,Tests_passed,710b8fab51aee8076dd13b493e9d5c02bca754cea93b4cab5bc3e17c63f37773,True,0.0,Tests_passed,da41bb9c2e917d84b13736978a9a38e56eec15b3445e911627143335bd14729d,False,False
2,refs/heads/master,5b291c795051258a455fa65462f35c78f338f7d3,ae6ceeadd125d79b2b680e2dce92083d0ef96497,61cfea92d9dbfd30245260157c6beb303e71baa4,,False,66,0.0,Tests_failed,bb303086f0bde8d0d2225075bb8b22699f73dd186ae8a7ab9bd82b585d3b9fa4,False,0.0,Tests_failed,7d7d4417079fcdda67a90a854ac6327e83e0991e78c1cbab73c482ffcdc68296,False,False
3,refs/heads/master,f466637d82930c0104c1fd0dcc8e179a4ce9b98a,78fbc5f07c187b5cab553cf2190308f71f1c15ec,569e35ddbe98ed5dc74c74dbc2129d9178b818a1,,False,206,0.0,Tests_failed,10dc145a6c863cccac0dc9017e68551db56dedb8f615b654d68a0823c27f47de,False,0.0,Tests_failed,2f0b7f8b7aba6619ca120e08d781b2c91ce8d992957904915966796360e821e8,False,False
4,refs/heads/master,26fc13cf66c066ffa96f509dcb54e2dd77a34e78,9246814e596ed5894e3e0f1a567f79ebedd4a1bf,dd294d7c919e7ae88641768f6ba710dcaa5a87eb,,True,1051,0.0,Tests_failed,a7ff2f350003a1ca637b8d2e9db414466693e8ec0a2b5d6729e93cd956412418,False,0.0,Tests_failed,9c9d42565cd808bb3ef2c3dd73763465b9ed6e2e25e0bef8975bbf84da16e86e,False,False
5,refs/heads/master,de99fd0384f0101beeb47433ee8be89624bec9c5,b5d21665ff0c3a420564537cd1da88c8f77ab5a5,9e017dfbeaa44b7ec836d8145abf990f7e3e9f4b,,False,27,0.0,Tests_failed,607d5b9b674ff8f68d1ad944eaaab82d0bbe1ea9a50480bd7d597a8ac7c4c0af,False,0.0,Tests_failed,893b3d5c77c6abf492738996bf8df87e7298ca5435fbc0bd3b3e54466f94ad52,False,False
6,refs/heads/master,c98e638d7313fec1cc5808cfaa18b2bceaa9864c,97dd402d1019f751ae43825a83d679a07a2beaa2,6ce950d5a36cbf61323cd83b9b68654637803639,,True,5194,0.0,Tests_failed,bb0cd184b7041d0a375bf267fed5a5500e0d5f5145c79064a4a440916e290d52,False,0.0,Tests_failed,392e92d60e95dbab3b841a068ba6eefb15c5939d4dda535a98edf7ee702dc579,False,False
7,refs/heads/master,9f92370627346243071b7424f581ed75f924adc1,d26f50b97bcfa25e896261d1363563ef32cbca7f,ff7adb8f9d459f80ee3cc83fb0f7be6824afffd2,,False,128,0.0,Tests_failed,7691ccf749ad9ff945ecda0feca8dbcc44223d4f7814883022e5d862f9b91311,False,0.0,Tests_failed,f5cdc1e05130c77bf1b9e8b56ed2a2b40e96bb67fbfe3f82ab7c15c2cfe5cad2,False,False
8,refs/heads/master,b7dd3fd3d11df92e3f653f001e1a924a9fc49b73,8f949ae86a65b2c0999dfa83b81a2cb7be4c1145,fb68dfd3e80e1623fb54cc3ecc413ad8ca179df7,,False,95,0.0,Tests_failed,69347ffcd5ed46ef3a29e244038c141410c56621c0fe2c79a712cad7977ea2df,False,0.0,Tests_failed,c942271aeb3fdf150ef47ab42827d8f30340caee450e1d4e2ef3c9b58e99558f,False,False
18,refs/heads/master,830f1d1443b21bb17f76fba84eb1170d97ba369a,0346204c7c2a9a0e71daca0ea3aef676e34b38ac,6ce50484f627a9ade827d7150f47c41cc7dcc3ef,,False,66,0.0,Tests_failed,4da3c27952fdc9e14e4f01bba820a79d098f0427af7d84c169a9b3f1acc44c68,False,0.0,Tests_failed,0e5ccbeaf34913f519e4611204ce8c9fec917b3a1f01d230cf8c1f85328f4b9e,False,False
19,refs/heads/master,a9645dbc0249a3d1e477e0b81821beac3fe4debd,4a0b49737cb18d0f8a1c114c1b394833aee9c8fb,f78d3157f0048c4d9068aa6ab88e676d96d651ea,,False,437,0.0,Tests_failed,44fc69dd01f1c6464d87b0b3c3e0c031146ba6e343cde612bc5d479aa875552b,False,0.0,Tests_failed,8011adac8fdcbc4b0731924930bd49223d7b84c00496273e3da179cea6a09fae,False,False
23,refs/heads/master,286ab7c6dd4c4aae0b0290517ea3508487438d01,8ba4b12f40d40a9d705cca8d0b24fc1718bd3c5f,f3719d89ab6a928e8618bbe6a7da8214d9d6eb07,,False,6,0.0,Tests_failed,658d2aea94a2ef9b2ef3c991a26198f09b44828a6c9623be8f70d501fe53a9a4,False,0.0,Tests_failed,dd10f57a436b4c069d795da5b6bfac3df21bd02552259a5ad52293ae425c9f62,False,False
26,refs/heads/master,36553ffab375518a8ce39b25a916f730775435a4,6ab196087cd682a4cabdd5167e463dbaa3bb5315,2eaa0fc5c169c6c6721f4f67de3159a78b0fb990,,False,283,0.0,Tests_failed,e4d1e892fc4548a4ffd03b3244c77f1bdf5897fe7904242908b85b4c345eff9a,False,0.0,Tests_failed,1e3a5a096f08deb063e66a86f15829ad3cb37a949e4c1480ea7ba4b789823b2f,False,False
