idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,sampled for testing
1,refs/heads/master,97a0262a3c15ab5842c43b68019e1e355ad7d3a8,eba700ccaebbbbe5617f7f0003ec6153b5e4a3b1,2d20b5889480e85e1547ad12348df95b1c28b7a0,,False,True,True,3,5,27,0,False,3,False
2,refs/heads/master,eba700ccaebbbbe5617f7f0003ec6153b5e4a3b1,396957ff511e893ebb9aa48feb2d9e3e590025c4,94d0eeb6f78506442880bd8e5fc51083ec042d14,,False,True,True,7,31,171,0,False,7,False
3,refs/heads/master,396957ff511e893ebb9aa48feb2d9e3e590025c4,bb80459617878828cfdc2e881b45cc56791260e0,f708f5f91a0b8fe774aee00e0956b074c31e5d7d,,False,False,True,5,6,19,0,False,5,False
5,refs/heads/master,b125382d1ad8b4f6006463c37813b6ec20d17d72,f6ecab391407a9a630ccb9d88bc99331bec82f95,2c46ee537c6178c8f0a325d5a17fee9b8d6ec0cb,,False,False,True,4,3,8,1,False,4,False
6,refs/heads/master,f6ecab391407a9a630ccb9d88bc99331bec82f95,6cea05e3fd47ac5cc4086f778c0686b286680924,3a0ccb77f46e0ec4bb01a76c74eacf15f655647e,,False,True,True,19,55,358,1,False,19,False
7,refs/heads/master,6cea05e3fd47ac5cc4086f778c0686b286680924,bd5ea20ead08eb89b79c69cb5ad7292f15540095,327de83174b430eb13adc07430cda9f8820bfaa6,,False,True,True,27,116,1317,1,False,27,False
8,refs/heads/master,985a111c3cbec90d12f3167c6bce18b176706a69,82e1cc66b816aead69f38274c2b29927177598ed,e48fbe82e9f8e2d0d4f9fb680e5f68d85c5b7f3d,,False,True,True,23,65,296,0,False,23,False
9,refs/heads/master,82e1cc66b816aead69f38274c2b29927177598ed,f8908ef0046cdea00b3336358923a53b3b27a50f,8f31d31abf0949d212f700c9f776197e92cd2902,,False,True,True,38,75,918,0,False,38,False
11,refs/heads/master,f8908ef0046cdea00b3336358923a53b3b27a50f,496d82c57c5dd2be804566377a64c8bf19c4f130,b70baa8d416f71beec2f2c3b08c63b54758be4fe,,False,True,True,45,86,590,0,False,45,False
12,refs/heads/master,496d82c57c5dd2be804566377a64c8bf19c4f130,18f706c4a76dd8ac4388607409bec2ddfe6ad4b8,f7e975dd949da5bd7058b208999f5f10723afe4f,,False,True,True,52,233,2081,0,False,52,False
15,refs/heads/master,62d1317bcd3eccf99d9ced15239cac82ff2414cb,625a40642ffce5e4de9aee4cbbc65e1100f06d09,41bb59a0612a2310cbce18be3d690057e191defd,,False,True,True,36,149,1568,0,False,36,False
18,refs/heads/master,dea68aefebb608cd65d93eb17fd52551939877b0,5d6fe536025102853d744b3b3251b71bd110f22f,1a137517c3e34f4c2fee9bb4defa4d6189e0c015,,False,True,True,21,65,417,0,False,21,False
20,refs/heads/master,5aa28e30b47064f0840e75b877b28fc702c0677b,a52db38275db391206f5794d072cc53eac815c74,d449bc1504ec7aa908d5278ae9fda7f00918aabe,,False,False,True,3,2,8,0,False,3,False
21,refs/heads/master,a52db38275db391206f5794d072cc53eac815c74,ccdd2a6b463405d0fa6600aff714568344f114bb,aaea51367927e11f8454668b97da28b57706d656,,False,False,True,4,24,65,0,False,4,False
22,refs/heads/master,ccdd2a6b463405d0fa6600aff714568344f114bb,ed7f5a5303fe46ee6072b822dddc0063254d5aaf,2b40ff36e2524c3e35c5875af1cfad665cddc72c,,False,True,True,23,85,599,0,False,23,False
25,refs/heads/master,847a9b02349dd00d92c2d6232eec97ae9f7e1a47,17ae1fcabd880b62173d0e558ecdfb97b19d1d3a,a66c355f65a5ad2673cd5a3002d2195cc820f782,,False,True,True,9,17,458,0,False,9,False
26,refs/heads/master,17ae1fcabd880b62173d0e558ecdfb97b19d1d3a,517a0a1332a2c8702f2b2ac72f61d8527f79754e,a094fa4bc24e1e51e8c8ab5d92e1b37bd31494f4,,False,False,True,2,3,31,0,False,2,False
27,refs/heads/master,517a0a1332a2c8702f2b2ac72f61d8527f79754e,b166febf41c82464c7c5d4d8ddd7e559ef390016,2859dc68a8eedd3f6aa92907ff77b763d00ed9b9,,False,True,True,14,61,414,0,False,14,False
