idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
48,refs/remotes/origin/pull/24,9320b09bfd21f9db6ebeb0dc0c4b84c9c6db2259,f36d02edb139c34ced7fbc925f2897e946d3cffd,626ad099505d3b8584a78709475b146d46fdcf10,,True,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/f36d02edb139c34ced7fbc925f2897e946d3cffd_626ad099505d3b8584a78709475b146d46fdcf10_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/f36d02edb139c34ced7fbc925f2897e946d3cffd_626ad099505d3b8584a78709475b146d46fdcf10_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/f36d02edb139c34ced7fbc925f2897e946d3cffd_626ad099505d3b8584a78709475b146d46fdcf10_left_right.log'}",True,True,13,230,False,5faccf0e64e5ad6f76d5a9a77797f3617fb969166d5ed2d7c11e97cd4b06a335,Tests_failed,4cc68c4714a25b5e6a5c45a44f1f8b77718ae2ccefde5ca045cc70df221d0ab0,Tests_failed,False,False
49,refs/remotes/origin/pull/24,9f2960a259a6fc41fc6d97cb61f4d1f6e5304e58,88cbce93e311214fbd1956a7a42e1e567ccbd49e,cafc6b20983eb1b60e27abfdeb5a8ff6e5771696,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/88cbce93e311214fbd1956a7a42e1e567ccbd49e_cafc6b20983eb1b60e27abfdeb5a8ff6e5771696_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/88cbce93e311214fbd1956a7a42e1e567ccbd49e_cafc6b20983eb1b60e27abfdeb5a8ff6e5771696_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/88cbce93e311214fbd1956a7a42e1e567ccbd49e_cafc6b20983eb1b60e27abfdeb5a8ff6e5771696_left_right.log'}",True,True,9,79,False,,,,,,False
51,refs/remotes/origin/pull/24,9f4c3f0947e01e2237d871664262cce2fe986385,0ca96efadb14c997886934be616f66f5d02621a7,2f0586c7e8294645ffe23860bbdaff370adfe8cd,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/0ca96efadb14c997886934be616f66f5d02621a7_2f0586c7e8294645ffe23860bbdaff370adfe8cd_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/0ca96efadb14c997886934be616f66f5d02621a7_2f0586c7e8294645ffe23860bbdaff370adfe8cd_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/0ca96efadb14c997886934be616f66f5d02621a7_2f0586c7e8294645ffe23860bbdaff370adfe8cd_left_right.log'}",True,True,8,166,False,,,,,,False
52,refs/remotes/origin/pull/24,2f0586c7e8294645ffe23860bbdaff370adfe8cd,52e77750654b34930c544ad0f9063c9496f90894,4a548603b61fa11a998f716e610c432cae686c6b,,True,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/52e77750654b34930c544ad0f9063c9496f90894_4a548603b61fa11a998f716e610c432cae686c6b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/52e77750654b34930c544ad0f9063c9496f90894_4a548603b61fa11a998f716e610c432cae686c6b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/52e77750654b34930c544ad0f9063c9496f90894_4a548603b61fa11a998f716e610c432cae686c6b_left_right.log'}",True,True,7,69,False,a2eb6ce3583be7852d8b1a816b20fe559e5746971b3bb4950767ae4105565926,Tests_failed,4cf0fe3458de3f74c49bee9ad1562bf59c142c4071fb21724cc5fb1be94413b2,Tests_failed,False,False
53,refs/remotes/origin/pull/24,22e25089770ee03955a8a5e0989eb65c8852302d,131270ab2cbfb23dee5411f2d33eebe723e1e0ef,a57e9d0ab0af915b8dacb193027321e9967888d0,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/131270ab2cbfb23dee5411f2d33eebe723e1e0ef_a57e9d0ab0af915b8dacb193027321e9967888d0_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/131270ab2cbfb23dee5411f2d33eebe723e1e0ef_a57e9d0ab0af915b8dacb193027321e9967888d0_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/131270ab2cbfb23dee5411f2d33eebe723e1e0ef_a57e9d0ab0af915b8dacb193027321e9967888d0_left_right.log'}",True,True,14,284,False,,,,,,False
55,refs/remotes/origin/pull/24,2975337a74dd1a8900f5c0afc0abddad3b73daa0,d075b530e10cb39a68b589aba1aa0b77fe542d37,0a1b205d6883f4f1c719a071902e882ec258982b,,True,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/d075b530e10cb39a68b589aba1aa0b77fe542d37_0a1b205d6883f4f1c719a071902e882ec258982b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/d075b530e10cb39a68b589aba1aa0b77fe542d37_0a1b205d6883f4f1c719a071902e882ec258982b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/d075b530e10cb39a68b589aba1aa0b77fe542d37_0a1b205d6883f4f1c719a071902e882ec258982b_left_right.log'}",True,True,23,580,False,57e1e669e4200e309d010655d0c912575260b2111281b478db0e5ef193ee2b6f,Tests_failed,075538d798f227303d7668df5a4fbb890279e3e26796f06405a536f4af625cde,Tests_failed,False,False
57,refs/remotes/origin/pull/24,a11b1f62f127fabb50e1cc2dc088493d1f52c923,2b7218e7ae672f832089805ea3895f2c1bf59a3b,6756933fa2d523cedba3b34248ad544aee331c1d,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/2b7218e7ae672f832089805ea3895f2c1bf59a3b_6756933fa2d523cedba3b34248ad544aee331c1d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/2b7218e7ae672f832089805ea3895f2c1bf59a3b_6756933fa2d523cedba3b34248ad544aee331c1d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/2b7218e7ae672f832089805ea3895f2c1bf59a3b_6756933fa2d523cedba3b34248ad544aee331c1d_left_right.log'}",False,True,4,91,False,,,,,,False
58,refs/remotes/origin/pull/24,808990d9931badf9d6b8b5ea0c540c34fbf097f8,a0b71ed400972101d5eb01df763fdbc329161b76,6756933fa2d523cedba3b34248ad544aee331c1d,,False,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/a0b71ed400972101d5eb01df763fdbc329161b76_6756933fa2d523cedba3b34248ad544aee331c1d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/a0b71ed400972101d5eb01df763fdbc329161b76_6756933fa2d523cedba3b34248ad544aee331c1d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/a0b71ed400972101d5eb01df763fdbc329161b76_6756933fa2d523cedba3b34248ad544aee331c1d_left_right.log'}",True,True,12,165,False,,,,,,False
59,refs/remotes/origin/pull/24,e0422ac19843e68811d6a2a470abc6683d4820da,79828849783e77df4c2e54f2bb3111db36a0c555,eee726be3b530ae9343ceff65331350f1f333fd2,,True,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/79828849783e77df4c2e54f2bb3111db36a0c555_eee726be3b530ae9343ceff65331350f1f333fd2_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/79828849783e77df4c2e54f2bb3111db36a0c555_eee726be3b530ae9343ceff65331350f1f333fd2_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/79828849783e77df4c2e54f2bb3111db36a0c555_eee726be3b530ae9343ceff65331350f1f333fd2_left_right.log'}",True,True,20,444,False,10acb2dba2e52e8530263f20f324a1170d18c8139cb960d6fba664d91c304665,Tests_failed,6afe943d34d5fe631078d3471b79290a2add083ffe4e65395b4f732fd6f6ecf3,Tests_failed,False,False
60,refs/remotes/origin/pull/24,79828849783e77df4c2e54f2bb3111db36a0c555,38feae9c1f93bdb83a30a33e17183b6e728e28b9,f60a0ba3d53a83fb6d1f4ce5383fe8f0a0f6a816,,True,"{'base_left': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/38feae9c1f93bdb83a30a33e17183b6e728e28b9_f60a0ba3d53a83fb6d1f4ce5383fe8f0a0f6a816_base_left.log', 'base_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/38feae9c1f93bdb83a30a33e17183b6e728e28b9_f60a0ba3d53a83fb6d1f4ce5383fe8f0a0f6a816_base_right.log', 'left_right': 'cache/diff_analyzer/logs/mafagafogigante/dungeon/38feae9c1f93bdb83a30a33e17183b6e728e28b9_f60a0ba3d53a83fb6d1f4ce5383fe8f0a0f6a816_left_right.log'}",True,True,26,968,False,cb49664a39a77d13d86c12712fd61e24ff52e0a095403df84ecea195aadff494,Tests_failed,04284c7db55cabacb1b7fca1e3f81ae69861e49bdcf479847c771653caf63382,Tests_failed,False,False
