idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,sampled for testing
1,refs/heads/master,fd72c003a28fb801b58027f3bc9becd8c9a184b0,0f0c19adf504c89e59f4ebf61228826109060b94,89acfb708f3ea2bf5f4922ade73f19f5413fd80d,two initial commits,False,True,True,23,190,False,False
2,refs/heads/master,89acfb708f3ea2bf5f4922ade73f19f5413fd80d,371179110a0ca2a0219d6df4077e231d3dabdb90,6e0718e58d9eecd602f2b2f45ea30208b305a1fb,two initial commits,False,True,True,15,370,False,False
3,refs/heads/master,f76a5a7a543c51fa5307c10f4021f9001f927b7b,0d26895fefb0179f5935cc163381c0cfd3670099,6e1e4bcfdfe1d5c055f4649b0dec1b28f1f50c92,two initial commits,False,True,True,5,386,False,False
4,refs/heads/master,dc2d8707dc494ea6a34dde8d8596c26dbf21093a,7e01effbbe461cc21de37e544a0023aac07c6b40,de161b0b5e6eae14c7047387bddae90d6a9ae183,two initial commits,False,True,True,6,50,False,False
5,refs/heads/master,412271ecb8eb5e05c1affdef85d78824c72de554,f003894b5048c83208bb1c2a6ec86f7c966ca945,16d3b30a56894e59f72c127deb963f61afbaa8ca,two initial commits,False,False,True,5,19,False,False
6,refs/heads/master,3cbda64d8303656395092df721f093e73d7cbcf8,4b068aebf042bf390717287a4f28e82a95675fee,220f7ade6e99a866ddc38e0815a52eb7bbe3eedc,two initial commits,False,False,True,7,13,False,False
7,refs/heads/master,97d01e1204cf495dec46eeeebed8d2ba5402ac77,b2a021a48eaa047ccbb33fb13c445d231cd09351,96c7820305e1029bc0f7434ae1ec61c8575c3260,two initial commits,False,True,True,15,160,False,False
8,refs/heads/master,dffe942e1e5bf47386132bd746de1e842f24c793,0fe696e69c91e574eba6e1870442d410f54420cb,3fab3f6bef85bc8070ebc2cea1853e76759d407a,two initial commits,False,True,True,6,531,False,False
9,refs/heads/master,2647459e90cfe9b97cfa811afea92ea69babe247,c2571087efa832b5d15963cc420a453016cab8aa,7b04135deb66d6a2b5f15d00890190667778ba34,two initial commits,False,True,True,7,277,False,False
10,refs/heads/master,b316bcf4df69f2b9627242b6246a0fde41f3f8d3,b33593782b5af5107c49bf002b2a91276d076637,ec9bd2625e11dd7d2a5575980e7bcd5c19bf90ab,two initial commits,False,False,True,5,8,False,False
11,refs/heads/master,276ebf29d5e643d0cb4f7dc04829d493cc257b3c,45758d173f8d002a76dd601a4f1b663092f5d6e0,314e9767a70fc97fd7a6bc9c9e9ae24c4e22fbf0,two initial commits,False,True,True,3,28,False,False
12,refs/heads/master,3fb351097695de4dba8dd1a8c014224ccc6540e9,7273baf690f5faab93e36ff0ac8f513f5c1ad2fc,1f8f02147c591d6bd8d739a7f9ad779f0cf5ba1d,two initial commits,False,True,True,4,156,False,False
13,refs/heads/master,ec9b24b71731c925062403f99b23198fd164c54c,c6fc5f93830edaf0d53dd5ccf1ead8e4a0bb554c,036df4eaecb8f6f3f5655cd35588dce01936343e,two initial commits,False,True,True,7,370,False,False
14,refs/heads/master,5a062a7896032b0b637c83680554b78278337c73,568f0cebcbdabb6620142ecd87bb21eb83379bf6,7e3c162373ea1973b22264879d451877b2ab7d64,two initial commits,False,True,True,16,154,False,False
15,refs/heads/master,d84eee381da380173273ea74ed121c818baa2149,92daac44b49e3f7776845d88b701ad21bfb258c5,c3b0b9433d5d783f41a72e38ac82c2fbbc374eec,two initial commits,False,True,True,8,280,False,False
16,refs/heads/master,a226eb478fcbad81770bd83bc69501077e5e114e,fbf841d50aab2ba836e19b9b9d13ac45f6be828f,78f2717cc22843cf18798f966db3d53e963142ee,two initial commits,False,True,True,8,155,False,False
17,refs/heads/master,b4a572f88ebfc86ecd536eac52a0fc811789b46b,94779201d27b313939ab5f0c6f093b7cdd494796,2bb857ab0e100e4612a77d74323e9ec12c200922,two initial commits,False,True,True,15,309,False,False
18,refs/heads/master,0985bd58a777b9babecebd3a345982b080a183a7,93d209ee60e534517e5b4b3731dae61ce58b4777,9c7ea30a7ba55bfa16461b26fc3c049246a5ec3d,two initial commits,False,False,True,6,6,False,False
19,refs/heads/master,a39d4787350ef4857114853bea908ea1e3343109,fc6fdc13a34ce6dd990c900b1a8d2a8267791cec,3a9a7a2e18eb2795aa0cb4aeac92f89d50c54bf8,two initial commits,False,True,True,6,216,False,False
20,refs/heads/master,3a9a7a2e18eb2795aa0cb4aeac92f89d50c54bf8,22bf6926b26f077a431cc17cf5e864de39796b65,38a1176c9c6c0e47dd201feb68580a3fb508c377,two initial commits,False,True,True,3,83,False,False
