idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,test merge,diff_logs,sampled for testing
3,refs/heads/master,8a987feaf91dadc94579c7fed1a66ce0c33b2ffb,b3c6831bc43d2ac8d020ae2f4700d70d5e39b2be,24a8b57e0b9ca408873f001154f8d50f923d829f,,6,32,False,True,False,False,"{'base_left': 'cache/diff_analyzer/logs/crawlscript/webcollector/b3c6831bc43d2ac8d020ae2f4700d70d5e39b2be_24a8b57e0b9ca408873f001154f8d50f923d829f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/crawlscript/webcollector/b3c6831bc43d2ac8d020ae2f4700d70d5e39b2be_24a8b57e0b9ca408873f001154f8d50f923d829f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/crawlscript/webcollector/b3c6831bc43d2ac8d020ae2f4700d70d5e39b2be_24a8b57e0b9ca408873f001154f8d50f923d829f_left_right.log'}",False
4,refs/remotes/origin/gh-pages,d0d44576a2ab67579c16953e18dd28fc82455c67,434acebc8863d00af0c3a7e7420782de16fa85d1,91965d2dfb310720fd4b21a3a029ec40e6d18045,,3,0,False,True,False,False,"{'base_left': 'cache/diff_analyzer/logs/crawlscript/webcollector/434acebc8863d00af0c3a7e7420782de16fa85d1_91965d2dfb310720fd4b21a3a029ec40e6d18045_base_left.log', 'base_right': 'cache/diff_analyzer/logs/crawlscript/webcollector/434acebc8863d00af0c3a7e7420782de16fa85d1_91965d2dfb310720fd4b21a3a029ec40e6d18045_base_right.log', 'left_right': 'cache/diff_analyzer/logs/crawlscript/webcollector/434acebc8863d00af0c3a7e7420782de16fa85d1_91965d2dfb310720fd4b21a3a029ec40e6d18045_left_right.log'}",False
5,refs/remotes/origin/pull/6,4f0d46b86976274448895f5befb47690444a22d6,2928163ff5322716da98cae681f1ed922751635a,ebe5b82f394fe9e64b6eb6073a1812cff3106ce1,two initial commits,85,6104,True,True,False,False,,False
