idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
293,refs/heads/master,f38b131ccc3caf74339bf261942b37a6f6057c34,1f3e6fc04c35db3136ea1bb8e5a56251fa81e4c1,2568e8a876ea41ce7734f389b59f82cfe89e31e4,,False,True,True,5,155,False,,,,,,False
297,refs/heads/master,08be3e5977b8d945be8ad089d1c449f9df1684eb,fd0367b000df927045a0186dbec316856d3c71e7,963b9208b6895b7d5aeba6dc11ff24f262f1e8e2,,False,True,True,225,3996,False,,,,,,False
300,refs/heads/master,d712cc8a0fe4d9666e343025ab9360d00934386a,1ce86fe3eb22c1a12fa65a515e740b84b943e813,0d024734ca69232a0477a712acec00b219b02978,,True,True,True,9,279,True,0e57a3a42b4419ee4a666417ff00e4b2cf0d11d33fe13c033d653ebfaf0cb677,Tests_passed,983417dcca50f0bbc256366fefa4b514f864e766d9af0d9a586e1cef830d75d7,Tests_passed,True,True
302,refs/heads/master,c0654f219c6036b9e5f56dd28d4a34d2445b494d,3e6001cf2b35a51d74c2251520f5f534387a8715,0400c99558a58ac49a80c9681f890b09aefe0f4d,,False,True,True,6,37,False,,,,,,False
304,refs/heads/master,37b100a496d52dfc37fff95c717a7b8ff2356169,f2f6388c620151dea49d6d22afe6ec95f207638d,2311759a048a7d42c4519e2cff942fd488b7b6e0,,True,True,True,7,247,False,74182176dd051f15f98de7246fe61529a0a069110f4ed28ebe9b01e1365e007b,Tests_failed,bf03e1d1b65b266b2b82d583637d997037f92d8652f8efb0f78430ccc864827f,Tests_passed,False,False
313,refs/heads/master,820bfcb8f032a1eabcd5a5a94895bd2b3bcbca9a,ee66faa341f45a4e50912a7fb74b7cee67e2f18e,bacddab92b416e043416364744b041a6aa30045d,,False,False,True,2,1,False,,,,,,False
324,refs/heads/master,8decfa39e107876c164a5c6e4fcf85dd8f020b8b,e1abf564848cae89fe65c94ae2a1762b9e27f390,59be3c73400f6175244c58f3af51d1dad1ed2360,,False,True,True,10,136,False,,,,,,False
328,refs/heads/master,ec41b087a0c37bf481aa91d12fbe9f7ac67f8ece,adc05502527f52fab825c60a28f290bdfa57687a,ae4ad005c13bd46f5d492d0edc500165d4652a22,,False,True,True,20,305,False,,,,,,False
337,refs/heads/master,d555e8c4c0e81ca84b5ea8ca41e356ce2d6a7bea,20af960b8df65923339ed67ecc0089085ac4681c,d8e0be43ee9f43a4b557c09818081cea16ceecf0,,False,True,True,83,1591,False,,,,,,False
341,refs/heads/master,82bbdf0b66f2ebaf8cd845c77dd4762b96982363,c424e02c02e5e8c86082b1de353664bbfd858716,f5c6ecd1da3feb49d3cd6f4dcd53c457b062e519,,True,True,True,6,46,True,50ca1aa6fbfabbd1446bd4915e1fcbafd586bb322df2649d93a0649bee5281e9,Tests_passed,88af2617aeddca172e8c4087af3e2eff659b15cc2676c915a143040c9483f60e,Tests_passed,True,True
342,refs/heads/master,c424e02c02e5e8c86082b1de353664bbfd858716,e0326d7785c6d6c0b0ceb1180adbb658204d1dc9,2d1a2094980298ce9bdb3f4e1b6c75da190d1aa4,,True,True,True,36,259,False,628ec592f26201d889b131e5f2b686141b8c7a6dac550ecff4afc8152e11fd00,Tests_passed,75d4a089117b3f88cb3b7634c45c9f646611ff278791e62e925ea32790be2a31,Tests_timedout,False,False
343,refs/heads/master,e0326d7785c6d6c0b0ceb1180adbb658204d1dc9,c87fc34ebd80a0c1615bd6b6f5463c7be5e45cf0,18047add47bca70d1a4476c12b2da086f9718591,,False,False,True,3,14,False,,,,,,False
352,refs/heads/master,20af960b8df65923339ed67ecc0089085ac4681c,6904d5fb0d7c89429a77ca8967e4dc89c56b5a25,acc4ad50285962f432e18b984fa574174c174960,,False,True,True,18,3298,False,,,,,,False
354,refs/heads/master,b74418212a197db0eeb940075fbfb39fa4bc41ac,01dd49a2cdb0cb18e35f1a0c44338be4f57b90ae,848182de9ff055b0c19f7529387316e79d868bc9,,True,True,True,19,3446,False,090bdf0e125762481fb1429d3c7ed31c321dd0943bc67ce01852dc0f3128663c,Tests_timedout,a6f4ed01f9f5576ba66fb24a69b90517b4afce788c55b7641bb4cab664cc5683,Tests_timedout,False,False
365,refs/heads/master,2c8f9365dde6d9e8eaff578e1af4a9af3915aafa,cb8194464260e7d4b3a98ba017e2db497f364cd7,6657285e44bb7f81d6683ff418db075861f1bac2,,False,True,True,12,533,False,,,,,,False
366,refs/heads/master,cb8194464260e7d4b3a98ba017e2db497f364cd7,422aee8f580ad937d7cc7c8cf5a942b8bd26b47a,23a5c30a96113147365f3e9aa24865f990cdd81a,,False,True,True,2,8,False,,,,,,False
373,refs/heads/master,f3d5bc22b8622998cbb86937e59a23f8bfbff7de,0a4baab82e35237d595657a85485016ed991218c,217dfecd0c4eb46c2a331613fe413d912247034f,,False,False,True,4,20,False,,,,,,False
383,refs/heads/master,77be8c76ec73bf7dc1bb92ae1d09d58ba72011e3,57ca30d29862004ac0fa3578c28d2fa6fde2f7a8,5a25c3e8d3e20cd74dd819ea981b31b6738f7050,,False,True,True,203,1853,False,,,,,,False
386,refs/heads/master,20af627bc101c6d93acba82c9824d99d15ef89ce,361db4bb0468c6efe308098f6acccaf8d3dc6f31,9053df0171a6aa1d4dc6ccc4f3c85bdc329a0ab9,,False,True,True,3,28,False,,,,,,False
393,refs/heads/master,453fccba2ce77a2e3574be6437df7fa743ea37d0,645ada554460142607f1441e4ddb2c8963c1a798,d20716c0cabdd0e1872a4bddfbd587a9a14e21b6,,False,True,True,22,1089,False,,,,,,False
402,refs/heads/master,6b41750517905edee4e1458bdea1fbd898b7b79b,9e974b97a97e04a4017534b01406442b988f8734,863eb3ec61075ce1eedf16c8763585b1a69e696a,,False,True,True,8,703,False,,,,,,False
407,refs/heads/master,a4bd97fd4de08d209cd3f7538de3ec91ba9c9afe,3066f3a11c597acb5cd84a0e211c90462f30ea56,5c29fa1b140f65ffb03e6a409ec69b1ca5396868,,False,False,True,11,40,False,,,,,,False
414,refs/heads/master,cf6282522a9108b647ecb9ed977cb88ed4de0a4b,610393be443f61cebefe9b0572d15dd2772d2ef1,e90da666778bf49620cc542e16de689efc851020,,False,True,True,7,76,False,,,,,,False
420,refs/heads/master,c529e392bc595c92c3b134c2b74df8e59d182e0d,dd079be1a78730359a872fc99f99c112cfac0fa6,8fb8f1b3f8884aa7381e76f03ab84f4536ca3f3e,,True,True,True,81,890,True,c0484d75d4defb1eaa5d1527d2d7cd67d7de6766c98e20bcbe018558c75d5c9c,Tests_passed,ecac356c79234ee2fa8ecf775d2a9a3261f3bd94b17aba7a1ba6918cdfcf95b3,Tests_passed,True,True
421,refs/heads/master,992016993ca685973a918d7e8acf61aea8948263,6aa8c2fb971c48d07d7ed0e7b56b41b8e478cb7d,07fdfddf264231e075995aabf5fe92177329fb08,,False,True,True,9,114,False,,,,,,False
422,refs/heads/master,6aa8c2fb971c48d07d7ed0e7b56b41b8e478cb7d,289688e78d9ef40e1d0e95d563d6f7892e8d0008,7666d973c067c2ad9d7fb4608a52287f60656dc0,,True,True,True,72,405,False,90aeaa2ada992d0a051b37f111e16ae705740b396309b9cfeea569ca58c34644,Tests_timedout,67ab377be4e4553725da676b77fe4fe887895131dcbb57df3b7383c90f010057,Tests_timedout,False,False
425,refs/heads/master,cb4612959d255c5fb43edca2fcc31b3e59b5b393,fd203604488044080165c0d7f9aac24238370489,e3525cb5afe1b6c28b28fe2f96768ee12c3e1225,,False,True,True,69,305,False,,,,,,False
430,refs/heads/master,dacb0734864e48009578cc414b923ccb6891e71b,6e1c683973fc92f9acb637e6fb0a04499607ac01,17e2e06800cc4f4602cfa3aaa1f695bedd0c2fde,,False,True,True,52,874,False,,,,,,False
433,refs/heads/master,34d0dbdad677c8e445cb33c82b20a4d8a81c79d3,97db04fd0778eb97071615b17cfcde2171cb7e1e,13131ab2b2dacfb391534933dc8efacb6edc4d10,,False,True,True,6,149,False,,,,,,False
434,refs/heads/master,97db04fd0778eb97071615b17cfcde2171cb7e1e,2cc36679d6b1ae1fc185a3a36568dde8c244d59e,72319cf140fe7c043d24e034836a4343d82f159e,,False,True,True,5,121,False,,,,,,False
440,refs/heads/master,42e2044d6f9154981cdbd1f1bbf49b2f3c981ac5,0c1dff5e7a0ef3d63921a8ab72663f11a93bde95,a597442844db974f53ee83b56cff00e9275961bf,,False,False,True,2,12,False,,,,,,False
441,refs/heads/master,0c1dff5e7a0ef3d63921a8ab72663f11a93bde95,1ad428d0b2de833a4b58e057fe524b6fbf4311f1,936b02b44ba6bbf19061035afdbd05898c7734f1,,False,False,True,3,11,False,,,,,,False
450,refs/heads/master,dae4a8197024ed25830709a4006810cba6d6c54a,f0abe8c746812b40403b8678cba92f7b409e8f0c,6682756be8130bd780d07d83bcdb0e54f0d05d7c,,False,True,True,48,4034,False,,,,,,False
451,refs/heads/master,f0abe8c746812b40403b8678cba92f7b409e8f0c,862da7fe270aa958852e4724dc936fe14b57b1d7,c959e7b60e4622a2b28f89c7737f8488ef8720dd,,False,True,True,7,134,False,,,,,,False
452,refs/heads/master,862da7fe270aa958852e4724dc936fe14b57b1d7,3c578384cbd93931e2caea1cfb96227976c5ebe7,d729498393d937f3b0dcf0a257437d5f1abcb4b6,,False,False,True,4,27,False,,,,,,False
458,refs/heads/master,7c5389b04bf86121806b0abef5b48e427e6df871,88649eea65681fe676f5e1892e644bedeb1e097d,28a027310ef1ec1395f71e28a7022b1faf602b21,,False,False,True,4,115,False,,,,,,False
463,refs/heads/master,91a21f700fd85dc55b0a6e8249035f12cdea19bc,94a843f4ac15cd40df04240275f87fee029efb09,a3aa4a6a1e6c75ec8783d4d1444687ae768ef143,,False,True,True,5,208,False,,,,,,False
464,refs/heads/master,94a843f4ac15cd40df04240275f87fee029efb09,16a538ee54efb5da120e0e0a9d5fa42143d14290,0c0f9b0002bbdffe96db3d6925aa4f96f3da0b55,,False,False,True,2,2,False,,,,,,False
470,refs/heads/master,15d7299ba8224f96a4874c41398520ed37696631,422e8617b6fb771778c7fe0cef7f224938106635,d89fa27eabf9b72fa6edcd1b48ae7f1a63b7963d,,True,False,True,3,46,True,6a4b4a419eaa912024513c4a447ca6349fea4c70806b72f39a58f2ef63a7935e,Tests_passed,9b91c6d561666fc772171cae5322aba666f871a61e7a06572f47bb6c9930c64e,Tests_passed,True,True
472,refs/heads/master,326f2ffb73fd3e850afc9958e0d3ddafa6c7fc87,48b3cd0faedd6d91858fca6787aa730f306a4be0,5928a52a308207095f306b867995bcf106f23006,,False,True,True,52,2075,False,,,,,,False
473,refs/remotes/origin/pull/39,b63d2a8d816596845f72186ed1dfe6f1aec0ffb7,24a3190fd5da894c9304ecea0fb0e46a9556edfa,0448b359992c8a99ce180569ea517050b19b6450,,False,True,True,60,2850,False,,,,,,False
474,refs/remotes/origin/pull/39,42bc19c3cd89e261e2b9feca8a0b90b4ecfe19cf,d149de4e17639c1a2e77ffccd91fc3be1abaf809,dae4a8197024ed25830709a4006810cba6d6c54a,,False,True,True,52,4538,False,,,,,,False
475,refs/remotes/origin/pull/633,d6b23d4cf26374eac22cba49f689ad7e812eb1be,94247564481922d506f16352afc583b06adffe0a,d1cb8f872241207275b272141012933d88fcff9b,,False,True,True,14,455,False,,,,,,False
