idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,parents pass,right parent test result,right_tree_fingerprint,test merge,union_diff_files,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_myers_ignorespace,gitmerge_recursive_myers_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint,adjacent,adjacent_merge_fingerprint,imports,imports_merge_fingerprint,version_numbers,version_numbers_merge_fingerprint,ivn,ivn_merge_fingerprint,ivn_ignorespace,ivn_ignorespace_merge_fingerprint,gitmerge_ort_plus,gitmerge_ort_plus_merge_fingerprint,gitmerge_ort_ignorespace_plus,gitmerge_ort_ignorespace_plus_merge_fingerprint,gitmerge_recursive_histogram_plus,gitmerge_recursive_histogram_plus_merge_fingerprint,gitmerge_recursive_myers_ignorespace_plus,gitmerge_recursive_myers_ignorespace_plus_merge_fingerprint,gitmerge_recursive_minimal_plus,gitmerge_recursive_minimal_plus_merge_fingerprint,gitmerge_recursive_myers_plus,gitmerge_recursive_myers_plus_merge_fingerprint,gitmerge_recursive_patience_plus,gitmerge_recursive_patience_plus_merge_fingerprint,gitmerge_resolve_plus,gitmerge_resolve_plus_merge_fingerprint,git_hires_merge_plus,git_hires_merge_plus_merge_fingerprint,spork_plus,spork_plus_merge_fingerprint,intellimerge_plus,intellimerge_plus_merge_fingerprint,adjacent_plus,adjacent_plus_merge_fingerprint,imports_plus,imports_plus_merge_fingerprint,version_numbers_plus,version_numbers_plus_merge_fingerprint,ivn_plus,ivn_plus_merge_fingerprint,ivn_ignorespace_plus,ivn_ignorespace_plus_merge_fingerprint
50,refs/heads/master,5a62f4ededc96a9d8ca67a4ebbf4d7f537e8ad42,3a0c2e7c4a633597ff1c9fe5ac8f768f298b9d0a,06157909242b5db314c9e9caabd0abcad75e7348,,True,True,Tests_passed,629f212f89c64c8a65bad61a09ce9b12d0b6f93303ee14210cdb83d9404ec6f1,True,11,19,389,2,True,Tests_passed,f38f4f9336f6241c11faa338ec12e01956434d05e6dbefb3e0bff1d818a360b6,True,11,True,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,837a98dfef9c8fc5f17bf2681ef39e8448807563c7f116fd98cebee44cee30d3,Tests_failed,8b8f6c03ced3c8504318aa89a9f913c1bf0640d66ae955d607be4127adca602f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,a387667fe0b5e9e17569ff0e5db086107fd03eee9a32f4d038108cf37ec69e22,Tests_failed,8b8f6c03ced3c8504318aa89a9f913c1bf0640d66ae955d607be4127adca602f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f
57,refs/heads/master,e278ace2cb84789adb9af30d186f0f123170901b,e4a024eee0e4f0e9c610a786258a2ad45c1773ec,4c417c57120553f5ec0e0ef18440e80fac0f1d79,,True,True,Tests_passed,ccae829e89e397eec0f774bc8ad65456d564cf6fd326ad5f71eb0b1988a27d7e,True,6,19,128,2,True,Tests_passed,137899cd882d0ae5aa68dc9449e0e49328abbc8a6c0875413c2d4a81a0b9a74e,True,6,True,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,747dc9e83f8920cdaee29c19a22e2f0cd2673b3c66f5ca29d3c49a48a6057a1b,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,747dc9e83f8920cdaee29c19a22e2f0cd2673b3c66f5ca29d3c49a48a6057a1b,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,07f5dbf43e687b1d5205a0e89c1bf757210c691c426dabf03d79059b24b226b5,Tests_failed,60eb5227ccc1a4555f7839a838eb086096af40f35780e1ed0f269551b9ae3583,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,747dc9e83f8920cdaee29c19a22e2f0cd2673b3c66f5ca29d3c49a48a6057a1b,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,747dc9e83f8920cdaee29c19a22e2f0cd2673b3c66f5ca29d3c49a48a6057a1b,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,747dc9e83f8920cdaee29c19a22e2f0cd2673b3c66f5ca29d3c49a48a6057a1b,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,71885bc18a33ae3323d00c981f1a8b0b919585c284e3bd5cb764b3e32900c25e,Tests_failed,60eb5227ccc1a4555f7839a838eb086096af40f35780e1ed0f269551b9ae3583,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,747dc9e83f8920cdaee29c19a22e2f0cd2673b3c66f5ca29d3c49a48a6057a1b
89,refs/heads/master,5b9b1e0873593ef232725640b6c4c78b27d5873a,28791b150e51b595be7e04c8b6a0b012d4b889ff,e8ab9448978fe313a97746197941fa43e3441fbd,,True,False,Tests_passed,96bf0a4462676e0dbe27c833d3ad09892e735b51178c6f22dd3b9c51509d0ed6,True,8,26,101,3,True,Tests_passed,2a9ab92e2f2a836c4ccc35906a4083a35d7da3ac93de8884fbbc3c96c22a66d3,True,8,True,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,f37cc76ce0f21e6caf02114a6af9242656e039db40cee0688bc550376c2537c2,Tests_failed,958c97349b62c92c4440be2c4c9a1ccf28d9e59683a316461b27f9b455ef35a4,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,3c5141e0b407e4eb616e533147f24031a2b1cc525d183bc73f5907886c1cfcc2,Tests_failed,958c97349b62c92c4440be2c4c9a1ccf28d9e59683a316461b27f9b455ef35a4,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b,Tests_passed,0e30df04bc6a9bd0782a03d17df2ad2e6f318b9c52b19ae4830c229fe829691b
95,refs/heads/master,44a01f13576016817c3f6f3a2a8f3ad14f5e1450,1c6ed2308549ccd682a0a39fb4c6b6ce4a3da962,89ab8eaed6bd940befce46c04704bfd6af602a27,,True,True,Tests_passed,525ef6978f728f3bc0c35adc7118dede2dfdbc89f35fb954ea9fad8e3f159b4d,True,13,36,277,4,True,Tests_passed,74b5458dd6f4dc3bff8b573de1af6b2d04e0cb66e68e4e0d3d5b2238b6833f09,True,13,True,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,63f9eddb078d688f28e88de944d5b905d7cfd6fa3f7bea1ff8e39da4da9136c7,Merge_failed,9b432034ddcfc96dce677abb4c5227708eaa80030cd65ae969a7dd68647fb688,Tests_passed,e99e3cfcc2af07889314d9d28d3abf2abe786bbdb8a8f88f0bf6a4bd8f0a96da,Merge_failed,63f75d4b06e8c17aa34722664c9269027eead2cd5d5db9df1d916c7de7adc834,Tests_passed,544217e42eb24d444c43f8f11211a94dc2f263f91e0732f82013a6a88bae1d74,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,1a9bb4bf58c1a45e493b30f306ae03f11662c690df1b09d15ba80a359961a71b,Merge_failed,9b432034ddcfc96dce677abb4c5227708eaa80030cd65ae969a7dd68647fb688,Tests_passed,461ad7e51e2acff6f5bb93b8e461adefd7bebd5f943e8f35b8c3c1d1fe5ba215,Tests_failed,848176f622dc054ba52df05be1a9df449f025402ca08832c1711ce6e58dc4f32,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727,Merge_failed,8053d07f9d92ccc0e296ed42e522785019dc87d98ac8fc60532e4767dc466727
