idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,diff_logs,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
4,refs/heads/master,4312f220ca75bcae3d79c4a4f6e0200ec462fe60,83397d4ceeaf57e5f8681c400f3bf09e0cae5f43,028e7d4455f848f6764364d7540e32ec133f0bc1,,6,272,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/83397d4ceeaf57e5f8681c400f3bf09e0cae5f43_028e7d4455f848f6764364d7540e32ec133f0bc1_base_left.log', 'base_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/83397d4ceeaf57e5f8681c400f3bf09e0cae5f43_028e7d4455f848f6764364d7540e32ec133f0bc1_base_right.log', 'left_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/83397d4ceeaf57e5f8681c400f3bf09e0cae5f43_028e7d4455f848f6764364d7540e32ec133f0bc1_left_right.log'}",False,,,,,,False
8,refs/heads/master,397e23f5f00948ceb35a9ab4cccdd34ff9543f01,911a3f7b5dd59a6aa1461b862ea42f5bcdb232d3,007abfe5eea0e36631d43093a83e58506b181921,,28,907,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/911a3f7b5dd59a6aa1461b862ea42f5bcdb232d3_007abfe5eea0e36631d43093a83e58506b181921_base_left.log', 'base_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/911a3f7b5dd59a6aa1461b862ea42f5bcdb232d3_007abfe5eea0e36631d43093a83e58506b181921_base_right.log', 'left_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/911a3f7b5dd59a6aa1461b862ea42f5bcdb232d3_007abfe5eea0e36631d43093a83e58506b181921_left_right.log'}",True,a7236748e684460349469fb9eeb09ea553e940206890ddfa0632bc0d54fd75b1,Tests_passed,3b4095e53f2aba162d6420ca26749f10c40d1f7827f2adfb0841b384db6d4c1b,Tests_passed,True,True
9,refs/heads/master,6595d9487b0b97c8bf32cce0951e95763d4962a8,49348ed63723868c0746c73dfca42a3c7f5b4599,716024447307b3cf042ad05d9b7a2a4501110f88,,28,428,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/49348ed63723868c0746c73dfca42a3c7f5b4599_716024447307b3cf042ad05d9b7a2a4501110f88_base_left.log', 'base_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/49348ed63723868c0746c73dfca42a3c7f5b4599_716024447307b3cf042ad05d9b7a2a4501110f88_base_right.log', 'left_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/49348ed63723868c0746c73dfca42a3c7f5b4599_716024447307b3cf042ad05d9b7a2a4501110f88_left_right.log'}",False,9979042803506079edcff3e8e88431c74db51b42df2ab354566389d59a53740c,Tests_passed,4428912cf8b076432654137872003b309e0d634251a45923a3f82da0eb65f97d,Tests_failed,False,False
10,refs/heads/master,669bc38e918cee19021d91b98e44ffd4e6a942b8,a50fcebd15d28733b46c3f37c55cb97bd0212596,b27212e5d5ba1df47bc58a7018229fe32f09e32b,,40,1948,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/a50fcebd15d28733b46c3f37c55cb97bd0212596_b27212e5d5ba1df47bc58a7018229fe32f09e32b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/a50fcebd15d28733b46c3f37c55cb97bd0212596_b27212e5d5ba1df47bc58a7018229fe32f09e32b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/a50fcebd15d28733b46c3f37c55cb97bd0212596_b27212e5d5ba1df47bc58a7018229fe32f09e32b_left_right.log'}",False,,,,,,False
11,refs/heads/master,c4ff9593e108526b4a381e800f993ddf2247fbde,699d77d3892f580cd3b5ed39ad62fb11a55d2fa0,deea31491075fd510cd8f1fb27c687feac80de6b,,6,153,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/699d77d3892f580cd3b5ed39ad62fb11a55d2fa0_deea31491075fd510cd8f1fb27c687feac80de6b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/699d77d3892f580cd3b5ed39ad62fb11a55d2fa0_deea31491075fd510cd8f1fb27c687feac80de6b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/699d77d3892f580cd3b5ed39ad62fb11a55d2fa0_deea31491075fd510cd8f1fb27c687feac80de6b_left_right.log'}",False,,,,,,False
12,refs/heads/master,9e16099cb2293cbb9350a51806ebe8cb7fcfc3dc,be360b558c10ac13762bbe2ffebf3426af172562,4fa5480da782b6730cbfbb5766d267856f835a72,,2,0,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/be360b558c10ac13762bbe2ffebf3426af172562_4fa5480da782b6730cbfbb5766d267856f835a72_base_left.log', 'base_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/be360b558c10ac13762bbe2ffebf3426af172562_4fa5480da782b6730cbfbb5766d267856f835a72_base_right.log', 'left_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/be360b558c10ac13762bbe2ffebf3426af172562_4fa5480da782b6730cbfbb5766d267856f835a72_left_right.log'}",False,,,,,,False
13,refs/heads/master,36723c99c8a87a14dc5f6cdc6c320d98a32cb167,8bdf507a40d3a64d962a0cc68e2b2aca9d4ba1b9,65105b934636597c5278766207b3a730097aa843,,17,19,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/8bdf507a40d3a64d962a0cc68e2b2aca9d4ba1b9_65105b934636597c5278766207b3a730097aa843_base_left.log', 'base_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/8bdf507a40d3a64d962a0cc68e2b2aca9d4ba1b9_65105b934636597c5278766207b3a730097aa843_base_right.log', 'left_right': 'cache/diff_analyzer/logs/sijpesteijn/mafia-maven-plugin/8bdf507a40d3a64d962a0cc68e2b2aca9d4ba1b9_65105b934636597c5278766207b3a730097aa843_left_right.log'}",False,,,,,,False
