,gitmerge_ort,gitmerge_ort_ignorespace,gitmerge_recursive_histogram,gitmerge_recursive_myers_ignorespace,gitmerge_recursive_minimal,gitmerge_recursive_myers,gitmerge_recursive_patience,gitmerge_resolve,git_hires_merge,spork,mergiraf,intellimerge,adjacent,imports,version_numbers,ivn,ivn_ignorespace,gitmerge_ort_plus,gitmerge_ort_ignorespace_plus,gitmerge_recursive_histogram_plus,gitmerge_recursive_myers_ignorespace_plus,gitmerge_recursive_minimal_plus,gitmerge_recursive_myers_plus,gitmerge_recursive_patience_plus,gitmerge_resolve_plus,git_hires_merge_plus,spork_plus,mergiraf_plus,intellimerge_plus,adjacent_plus,imports_plus,version_numbers_plus,ivn_plus,ivn_ignorespace_plus
adjacent,61,56,61,57,62,62,60,64,39,32,27,23,-,55,61,54,49,54,49,54,49,54,54,53,56,31,28,25,27,54,54,54,54,49
imports,0,1,0,3,1,1,0,5,1,7,2,12,0,-,0,0,1,0,1,0,2,0,0,0,4,0,4,1,17,0,0,0,0,1
version_numbers,0,2,0,3,1,1,0,3,1,5,2,8,0,0,-,0,2,0,2,0,2,0,0,0,2,0,3,1,13,0,0,0,0,2
ivn,0,1,0,3,1,1,0,5,1,7,2,12,0,0,0,-,1,0,1,0,2,0,0,0,4,0,4,1,17,0,0,0,0,1
ivn_ignorespace,27,0,27,2,28,28,27,32,22,22,17,22,20,27,27,26,-,26,0,26,1,26,26,26,30,19,19,15,28,26,26,26,26,0
gitmerge_ort_plus,0,1,0,3,1,1,0,5,1,7,2,12,0,0,0,0,1,-,1,0,2,0,0,0,4,0,4,1,17,0,0,0,0,1
gitmerge_ort_ignorespace_plus,27,0,27,2,28,28,27,32,22,22,17,22,20,27,27,26,0,26,-,26,1,26,26,26,30,19,19,15,28,26,26,26,26,0
gitmerge_recursive_histogram_plus,0,1,0,3,1,1,0,5,1,7,2,12,0,0,0,0,1,0,1,-,2,0,0,0,4,0,4,1,17,0,0,0,0,1
gitmerge_recursive_myers_ignorespace_plus,29,1,29,0,28,28,29,33,22,24,18,22,22,28,29,27,1,27,1,27,-,26,26,27,31,19,20,15,28,27,27,27,27,1
gitmerge_recursive_minimal_plus,1,2,1,2,0,0,1,4,0,8,2,12,1,1,1,1,2,1,2,1,2,-,0,1,4,0,5,1,17,1,1,1,1,2
