idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
26,refs/heads/master,8f6d0e9ca9c469812e58d6492212a3f994ef60a6,cdf2eea8e96e4efc499f33701c5f097d9b8321c9,d440fd0a17f99c8b41ef62cdf8cf1ad6f4c78022,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/cdf2eea8e96e4efc499f33701c5f097d9b8321c9_d440fd0a17f99c8b41ef62cdf8cf1ad6f4c78022_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/cdf2eea8e96e4efc499f33701c5f097d9b8321c9_d440fd0a17f99c8b41ef62cdf8cf1ad6f4c78022_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/cdf2eea8e96e4efc499f33701c5f097d9b8321c9_d440fd0a17f99c8b41ef62cdf8cf1ad6f4c78022_left_right.log'}",True,True,4,47,False,,,,,,False
27,refs/heads/master,d440fd0a17f99c8b41ef62cdf8cf1ad6f4c78022,f8f0cee207d5966bb66fc0c3e728caf7eaeca23a,2121408513196f0b1128017954b18a4ad741ad51,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/f8f0cee207d5966bb66fc0c3e728caf7eaeca23a_2121408513196f0b1128017954b18a4ad741ad51_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/f8f0cee207d5966bb66fc0c3e728caf7eaeca23a_2121408513196f0b1128017954b18a4ad741ad51_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/f8f0cee207d5966bb66fc0c3e728caf7eaeca23a_2121408513196f0b1128017954b18a4ad741ad51_left_right.log'}",True,True,3,28,False,,,,,,False
28,refs/heads/master,8d92404f329ecf2853eaf7aa90f22349e027fdb8,df8c9a61292a6cd7dd1310df4cc2ff94f9085c9c,02cee88e4c5f315ca246af5695cc8e2c078d7b54,,True,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/df8c9a61292a6cd7dd1310df4cc2ff94f9085c9c_02cee88e4c5f315ca246af5695cc8e2c078d7b54_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/df8c9a61292a6cd7dd1310df4cc2ff94f9085c9c_02cee88e4c5f315ca246af5695cc8e2c078d7b54_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/df8c9a61292a6cd7dd1310df4cc2ff94f9085c9c_02cee88e4c5f315ca246af5695cc8e2c078d7b54_left_right.log'}",True,True,6,86,False,,Git_checkout_failed,,Git_checkout_failed,False,False
29,refs/heads/master,df8c9a61292a6cd7dd1310df4cc2ff94f9085c9c,c7662fc30baa4fdc1039b8ed6429c51ffb4cbdb6,da1bb72c1897cf34cac9d9bb4656772db1bcb322,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/c7662fc30baa4fdc1039b8ed6429c51ffb4cbdb6_da1bb72c1897cf34cac9d9bb4656772db1bcb322_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/c7662fc30baa4fdc1039b8ed6429c51ffb4cbdb6_da1bb72c1897cf34cac9d9bb4656772db1bcb322_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/c7662fc30baa4fdc1039b8ed6429c51ffb4cbdb6_da1bb72c1897cf34cac9d9bb4656772db1bcb322_left_right.log'}",True,True,5,60,False,,,,,,False
30,refs/heads/master,5db5605315b7379901465c13dbdcd0f6a1169be0,9842b0614a86bc9f653d735f008a7f8755dae6f6,d0a15c1017f0b8222aa21b06f96e20ad0b0f24db,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/9842b0614a86bc9f653d735f008a7f8755dae6f6_d0a15c1017f0b8222aa21b06f96e20ad0b0f24db_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/9842b0614a86bc9f653d735f008a7f8755dae6f6_d0a15c1017f0b8222aa21b06f96e20ad0b0f24db_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/9842b0614a86bc9f653d735f008a7f8755dae6f6_d0a15c1017f0b8222aa21b06f96e20ad0b0f24db_left_right.log'}",True,True,4,106,False,,,,,,False
31,refs/heads/master,5f620d1bb8d0f908f85e9e95c7d66a4a9b83a5a6,8bd842db44c0e0327682c29a7c57f1eb204aa392,cc76288e49f28323b0a9a77722fbe32a6dd60e64,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/8bd842db44c0e0327682c29a7c57f1eb204aa392_cc76288e49f28323b0a9a77722fbe32a6dd60e64_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/8bd842db44c0e0327682c29a7c57f1eb204aa392_cc76288e49f28323b0a9a77722fbe32a6dd60e64_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/8bd842db44c0e0327682c29a7c57f1eb204aa392_cc76288e49f28323b0a9a77722fbe32a6dd60e64_left_right.log'}",True,True,4,113,False,,,,,,False
32,refs/heads/master,858f6266e3da10cb38dfa40be7373153302d7a44,ef025895517c7dbba70e412718637151109876ed,681ef0685433b2556341bfb86961ba03a699e2ea,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/ef025895517c7dbba70e412718637151109876ed_681ef0685433b2556341bfb86961ba03a699e2ea_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/ef025895517c7dbba70e412718637151109876ed_681ef0685433b2556341bfb86961ba03a699e2ea_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/ef025895517c7dbba70e412718637151109876ed_681ef0685433b2556341bfb86961ba03a699e2ea_left_right.log'}",False,True,4,20,False,,,,,,False
33,refs/heads/master,97ccaa752c6241ebcb55b478f9c7371f3deb51a3,b9f47a7f2f588e7be5b3b7a841302f4469a33c0e,7aba3d51bcbad196dbf4cf592e9476afcfc69a12,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/b9f47a7f2f588e7be5b3b7a841302f4469a33c0e_7aba3d51bcbad196dbf4cf592e9476afcfc69a12_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/b9f47a7f2f588e7be5b3b7a841302f4469a33c0e_7aba3d51bcbad196dbf4cf592e9476afcfc69a12_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/b9f47a7f2f588e7be5b3b7a841302f4469a33c0e_7aba3d51bcbad196dbf4cf592e9476afcfc69a12_left_right.log'}",True,True,5,88,False,,,,,,False
34,refs/heads/master,6b99b4420cc1c26ec46368fbcf8e80987203f279,6ac3ee4f65e9e8f7609363b6191807f5854bf713,a9d3f9db7806546113eb12ab3f919cbc19359c41,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/6ac3ee4f65e9e8f7609363b6191807f5854bf713_a9d3f9db7806546113eb12ab3f919cbc19359c41_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/6ac3ee4f65e9e8f7609363b6191807f5854bf713_a9d3f9db7806546113eb12ab3f919cbc19359c41_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/6ac3ee4f65e9e8f7609363b6191807f5854bf713_a9d3f9db7806546113eb12ab3f919cbc19359c41_left_right.log'}",True,True,7,50,False,,,,,,False
35,refs/heads/master,32bb5dd98bb965c727fa8beb88ac3af8d77f1aa3,7936ea04f0f0023268dc9f69ee71d276d0246bb2,442cd6bbeb465be31d40d981fe98dc9c660a86c0,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/7936ea04f0f0023268dc9f69ee71d276d0246bb2_442cd6bbeb465be31d40d981fe98dc9c660a86c0_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/7936ea04f0f0023268dc9f69ee71d276d0246bb2_442cd6bbeb465be31d40d981fe98dc9c660a86c0_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/7936ea04f0f0023268dc9f69ee71d276d0246bb2_442cd6bbeb465be31d40d981fe98dc9c660a86c0_left_right.log'}",True,True,3,0,False,,,,,,False
36,refs/heads/master,dc7748f2d0dd3542ca1c3e15d8f6b34bdca1c11e,993502486431ba46babccbe7fbd7dbb199cff831,e7234e54926de58b3e73b8e199da1d9e791a0d5a,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/993502486431ba46babccbe7fbd7dbb199cff831_e7234e54926de58b3e73b8e199da1d9e791a0d5a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/993502486431ba46babccbe7fbd7dbb199cff831_e7234e54926de58b3e73b8e199da1d9e791a0d5a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/993502486431ba46babccbe7fbd7dbb199cff831_e7234e54926de58b3e73b8e199da1d9e791a0d5a_left_right.log'}",True,True,7,198,False,,,,,,False
37,refs/heads/master,36aa12fdeb0b671c709215bdb5c723e606763178,683702a24028f6e7546124640dc761e32158531e,de065a9dc55d24396c7ce6622d115784af76b0ab,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/683702a24028f6e7546124640dc761e32158531e_de065a9dc55d24396c7ce6622d115784af76b0ab_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/683702a24028f6e7546124640dc761e32158531e_de065a9dc55d24396c7ce6622d115784af76b0ab_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/683702a24028f6e7546124640dc761e32158531e_de065a9dc55d24396c7ce6622d115784af76b0ab_left_right.log'}",True,True,4,128,False,,,,,,False
38,refs/heads/master,93d1f2b7b2cf7a48e22b23ba253674415d06e9ea,99605dfeaa57793a99ff70e23617931ba2d71e9d,5b80b5b1625935963175d92872c515a661364cbc,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/99605dfeaa57793a99ff70e23617931ba2d71e9d_5b80b5b1625935963175d92872c515a661364cbc_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/99605dfeaa57793a99ff70e23617931ba2d71e9d_5b80b5b1625935963175d92872c515a661364cbc_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/99605dfeaa57793a99ff70e23617931ba2d71e9d_5b80b5b1625935963175d92872c515a661364cbc_left_right.log'}",True,True,6,102,False,,,,,,False
39,refs/heads/master,04641b6bf6274ad5d84590f5cf33782fda2510c4,893fa291d2cd1f5502a42dfcfbc90a068bedde43,a0dedecbf5cd68853fb16a861769e3433cf3a70e,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/893fa291d2cd1f5502a42dfcfbc90a068bedde43_a0dedecbf5cd68853fb16a861769e3433cf3a70e_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/893fa291d2cd1f5502a42dfcfbc90a068bedde43_a0dedecbf5cd68853fb16a861769e3433cf3a70e_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/893fa291d2cd1f5502a42dfcfbc90a068bedde43_a0dedecbf5cd68853fb16a861769e3433cf3a70e_left_right.log'}",True,True,7,658,False,,,,,,False
40,refs/heads/master,e9c762e12e7f72d47f92008c8a62f4a729ff731d,c58400d993ed4aae8e51114e6d41503bdb013e38,07985be9a30a89d3a2f233670d988dcfc0ba9b59,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/c58400d993ed4aae8e51114e6d41503bdb013e38_07985be9a30a89d3a2f233670d988dcfc0ba9b59_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/c58400d993ed4aae8e51114e6d41503bdb013e38_07985be9a30a89d3a2f233670d988dcfc0ba9b59_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/c58400d993ed4aae8e51114e6d41503bdb013e38_07985be9a30a89d3a2f233670d988dcfc0ba9b59_left_right.log'}",False,True,4,4,False,,,,,,False
41,refs/heads/master,7aa56bb40576fa04a3dd1f11288026affd082ecd,9d7318afdd866b152b67aee75dce6f9c083f4fa9,640369978fc215e6040ed4fa0f64b49d8d1ae462,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/9d7318afdd866b152b67aee75dce6f9c083f4fa9_640369978fc215e6040ed4fa0f64b49d8d1ae462_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/9d7318afdd866b152b67aee75dce6f9c083f4fa9_640369978fc215e6040ed4fa0f64b49d8d1ae462_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/9d7318afdd866b152b67aee75dce6f9c083f4fa9_640369978fc215e6040ed4fa0f64b49d8d1ae462_left_right.log'}",True,True,5,151,False,,,,,,False
42,refs/heads/master,a07628a2dce55a6f3ccd560c84a1fba4046037d0,7ea259638a22ce591318cb5921b0914e80b16d03,a005b965f3d4923d91bfc99b97d1e91c771fa03d,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/7ea259638a22ce591318cb5921b0914e80b16d03_a005b965f3d4923d91bfc99b97d1e91c771fa03d_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/7ea259638a22ce591318cb5921b0914e80b16d03_a005b965f3d4923d91bfc99b97d1e91c771fa03d_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/7ea259638a22ce591318cb5921b0914e80b16d03_a005b965f3d4923d91bfc99b97d1e91c771fa03d_left_right.log'}",True,True,9,325,False,,,,,,False
43,refs/heads/master,517ee6b05323e0ea6ed567264eeded89a1dd6fbe,6bc6cca32163570147d456e7b2b5e659f20b7bb7,1f9bef0e46c368fd4c5d1caefd6ceb1300cdd102,,False,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/6bc6cca32163570147d456e7b2b5e659f20b7bb7_1f9bef0e46c368fd4c5d1caefd6ceb1300cdd102_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/6bc6cca32163570147d456e7b2b5e659f20b7bb7_1f9bef0e46c368fd4c5d1caefd6ceb1300cdd102_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/6bc6cca32163570147d456e7b2b5e659f20b7bb7_1f9bef0e46c368fd4c5d1caefd6ceb1300cdd102_left_right.log'}",True,True,8,454,False,,,,,,False
44,refs/heads/master,f26ebf28972a5e850b038932360c89bd703d5a63,30a492f6aa66bfbe6dbf5f37a1fd20a575a49d46,ede7921057b88302676cb975e159b6240079b81a,,True,"{'base_left': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/30a492f6aa66bfbe6dbf5f37a1fd20a575a49d46_ede7921057b88302676cb975e159b6240079b81a_base_left.log', 'base_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/30a492f6aa66bfbe6dbf5f37a1fd20a575a49d46_ede7921057b88302676cb975e159b6240079b81a_base_right.log', 'left_right': 'cache/diff_analyzer/logs/davidmoten/rxjava-extras/30a492f6aa66bfbe6dbf5f37a1fd20a575a49d46_ede7921057b88302676cb975e159b6240079b81a_left_right.log'}",False,True,3,15,True,f4c07085564a583cb7c3985b3b73bae3b6b4e6640e0e9edcebd133a546a8cee4,Tests_passed,fc004f335bf0a19fb93780b64f594b07cafe5454d681267cff5cb1e4d5284342,Tests_passed,True,True
