idx,branch_name,merge,left,right,notes,num_diff_files,num_diff_lines,imports_involved,non_java_involved,diff contains java file,diff_logs,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,test merge,sampled for testing
2,refs/heads/master,ff601b3619a0dbfb8867aba4b4c27227bef5bbf9,f4e73ff847ae74d7b17e0968adf729b348fce8e7,a5d70922b6c8a43679c3212b3d77ceaccb96a919,,7,65,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/lyogavin/Pistachio/f4e73ff847ae74d7b17e0968adf729b348fce8e7_a5d70922b6c8a43679c3212b3d77ceaccb96a919_base_left.log', 'base_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/f4e73ff847ae74d7b17e0968adf729b348fce8e7_a5d70922b6c8a43679c3212b3d77ceaccb96a919_base_right.log', 'left_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/f4e73ff847ae74d7b17e0968adf729b348fce8e7_a5d70922b6c8a43679c3212b3d77ceaccb96a919_left_right.log'}",5ae694e25384883aaf6d256385e99ee2082d2a0e1698a921d2e48199fa45e110,Tests_passed,dc468c3da8474229fb8662de79441d1437e60bfe1eb6b8aa57908f3d54eb7d68,Tests_passed,True,True,True
7,refs/heads/master,f685806ee43778507d53cd53d206e71a2c91dfa6,27f7ab134fa3f9bef42da17660c55a7c4d8d5f32,440aba511eeaf8ba71665aa1f65cadf0fd8df299,,29,798,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/lyogavin/Pistachio/27f7ab134fa3f9bef42da17660c55a7c4d8d5f32_440aba511eeaf8ba71665aa1f65cadf0fd8df299_base_left.log', 'base_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/27f7ab134fa3f9bef42da17660c55a7c4d8d5f32_440aba511eeaf8ba71665aa1f65cadf0fd8df299_base_right.log', 'left_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/27f7ab134fa3f9bef42da17660c55a7c4d8d5f32_440aba511eeaf8ba71665aa1f65cadf0fd8df299_left_right.log'}",954ab0b6603fabb3ad4b6d040c9d475f4420b3da4355be4c7977d7c628ef5bfc,Tests_passed,ce91bb8ede4357cfc41accddc45bd466406f58b9329eea75f7df3930143d8aa4,Tests_failed,False,False,False
8,refs/heads/master,27f7ab134fa3f9bef42da17660c55a7c4d8d5f32,c55243ac05f82095a84b287f09c0c74e3a8671f6,5270b4959507fbcc26a61f0080fb9c5f8d6bb1cc,,8,56,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/lyogavin/Pistachio/c55243ac05f82095a84b287f09c0c74e3a8671f6_5270b4959507fbcc26a61f0080fb9c5f8d6bb1cc_base_left.log', 'base_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/c55243ac05f82095a84b287f09c0c74e3a8671f6_5270b4959507fbcc26a61f0080fb9c5f8d6bb1cc_base_right.log', 'left_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/c55243ac05f82095a84b287f09c0c74e3a8671f6_5270b4959507fbcc26a61f0080fb9c5f8d6bb1cc_left_right.log'}",,,,,,False,False
9,refs/heads/master,5270b4959507fbcc26a61f0080fb9c5f8d6bb1cc,eb24e662cacc2dd8b5e82ddd7c52047d3531179c,5005e6590d214440e57286304b744ccb7784a6ba,,12,133,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/lyogavin/Pistachio/eb24e662cacc2dd8b5e82ddd7c52047d3531179c_5005e6590d214440e57286304b744ccb7784a6ba_base_left.log', 'base_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/eb24e662cacc2dd8b5e82ddd7c52047d3531179c_5005e6590d214440e57286304b744ccb7784a6ba_base_right.log', 'left_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/eb24e662cacc2dd8b5e82ddd7c52047d3531179c_5005e6590d214440e57286304b744ccb7784a6ba_left_right.log'}",,,,,,False,False
10,refs/heads/master,e7994b4b9cdece69c827e5075c4728edb3ac1ddc,b10e10989948f1dd3d67fc8920d03a49f759ec8c,2e2d43756fe0cce66c84df5764cb8d155ec11319,,3,0,False,True,False,"{'base_left': 'cache/diff_analyzer/logs/lyogavin/Pistachio/b10e10989948f1dd3d67fc8920d03a49f759ec8c_2e2d43756fe0cce66c84df5764cb8d155ec11319_base_left.log', 'base_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/b10e10989948f1dd3d67fc8920d03a49f759ec8c_2e2d43756fe0cce66c84df5764cb8d155ec11319_base_right.log', 'left_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/b10e10989948f1dd3d67fc8920d03a49f759ec8c_2e2d43756fe0cce66c84df5764cb8d155ec11319_left_right.log'}",,,,,,False,False
12,refs/heads/master,e6a8020a76743588a7c4bec67756d10b04e17d3d,525809cafa8b77aa770e892188f64abccdb73c85,d013549d9fac10e1df3ba23060cbdd7ba01ed78c,,5,207,True,True,True,"{'base_left': 'cache/diff_analyzer/logs/lyogavin/Pistachio/525809cafa8b77aa770e892188f64abccdb73c85_d013549d9fac10e1df3ba23060cbdd7ba01ed78c_base_left.log', 'base_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/525809cafa8b77aa770e892188f64abccdb73c85_d013549d9fac10e1df3ba23060cbdd7ba01ed78c_base_right.log', 'left_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/525809cafa8b77aa770e892188f64abccdb73c85_d013549d9fac10e1df3ba23060cbdd7ba01ed78c_left_right.log'}",f8b0eaeebf5bb99aee6166a23ec02b0af610f4eb800eff03975be689f0302aa8,Tests_failed,c8ce0e3c80299f26354902b49aad73ef7a28feabe92ab2c5da6c5cfb0960380d,Tests_failed,False,False,False
13,refs/heads/master,2dea0416486abb5e23801c280493145fd57a908f,eddcecc673e01491fd9c82ee36276aac9e0deefb,d013549d9fac10e1df3ba23060cbdd7ba01ed78c,,3,5,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/lyogavin/Pistachio/eddcecc673e01491fd9c82ee36276aac9e0deefb_d013549d9fac10e1df3ba23060cbdd7ba01ed78c_base_left.log', 'base_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/eddcecc673e01491fd9c82ee36276aac9e0deefb_d013549d9fac10e1df3ba23060cbdd7ba01ed78c_base_right.log', 'left_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/eddcecc673e01491fd9c82ee36276aac9e0deefb_d013549d9fac10e1df3ba23060cbdd7ba01ed78c_left_right.log'}",,,,,,False,False
16,refs/heads/master,3c9506d54ca2c824319a9b3d6237a55b71222d3c,948821e303b60e695057f0c2a7ec91bc8da59e71,4b399503e4c0dd869efad12309e379f383c2e745,,7,202,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/lyogavin/Pistachio/948821e303b60e695057f0c2a7ec91bc8da59e71_4b399503e4c0dd869efad12309e379f383c2e745_base_left.log', 'base_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/948821e303b60e695057f0c2a7ec91bc8da59e71_4b399503e4c0dd869efad12309e379f383c2e745_base_right.log', 'left_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/948821e303b60e695057f0c2a7ec91bc8da59e71_4b399503e4c0dd869efad12309e379f383c2e745_left_right.log'}",,,,,,False,False
17,refs/heads/master,92be31aa8962093fc82faf38ac225fab3704a0d5,52f7354261fc964a84179c056cb410b71b9bcd3d,7792add55897b1ef60186a3abd5ccfdc27b916e7,,6,4813,True,True,False,"{'base_left': 'cache/diff_analyzer/logs/lyogavin/Pistachio/52f7354261fc964a84179c056cb410b71b9bcd3d_7792add55897b1ef60186a3abd5ccfdc27b916e7_base_left.log', 'base_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/52f7354261fc964a84179c056cb410b71b9bcd3d_7792add55897b1ef60186a3abd5ccfdc27b916e7_base_right.log', 'left_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/52f7354261fc964a84179c056cb410b71b9bcd3d_7792add55897b1ef60186a3abd5ccfdc27b916e7_left_right.log'}",,,,,,False,False
18,refs/heads/master,95612171cca3337c0f8dad2292915ee3a19c04c8,e849e47e5794c61369d5d77ef32b5cf1232f0019,56fff163c09fc421f2434afd3dc7187290021b07,,6,2,False,True,True,"{'base_left': 'cache/diff_analyzer/logs/lyogavin/Pistachio/e849e47e5794c61369d5d77ef32b5cf1232f0019_56fff163c09fc421f2434afd3dc7187290021b07_base_left.log', 'base_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/e849e47e5794c61369d5d77ef32b5cf1232f0019_56fff163c09fc421f2434afd3dc7187290021b07_base_right.log', 'left_right': 'cache/diff_analyzer/logs/lyogavin/Pistachio/e849e47e5794c61369d5d77ef32b5cf1232f0019_56fff163c09fc421f2434afd3dc7187290021b07_left_right.log'}",7d57154157fb50997086312bb76daab29d387d2bbf78221a007a985139882802,Tests_failed,ce8bd3a6128faf184b39ece9f5c2a7730bc967026680a61c4a9fdad52b4fe41d,Tests_failed,False,False,False
