idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
3,refs/heads/master,655d74391b59b3f17e1fdfc1e15fe41e06008720,7cfc2d1c5c99665a3888353d30550043112ed138,8d5d9d3476ce922bdcfe3a391a5d926def7910b9,,69,3,2191,224,False,True,True,69,False,,,,,,False
4,refs/heads/master,d6a104541b785e91ee16320404f7d747f7e8ed08,1b1276411ed9578f434b1a3d3d57e6237e2b2a74,7f3a8975f7e97a31a0c9368372727baa9d4c3a5f,,15,1,330,23,False,True,True,15,False,,,,,,False
5,refs/heads/master,b1bca706632d727f20ec6aad9ed15b71761a934e,4f589aaebd290f2256bef1c42679a9b4fd5995f9,3e0a33f78ba9e67a1aa9f174f8e768e5ce3e3987,,12,1,1646,32,False,True,True,12,False,,,,,,False
6,refs/heads/master,36145eeeee1ce4ac57c620b328be74e04c7b0f38,f04c281214a33d1a733749f1ffd546c27d4d4784,265b37dfb7a3b0e2b40f3b96b023bacd7b5f3f2b,,31,1,1403,74,False,True,True,31,False,,,,,,False
7,refs/heads/master,ca6f3e0e8e70cf82cb0c63e2475dba15a454a9f7,daa1b46c9a0f031f7d21b8e1652d4cbce739ee4b,623f0ccfefe9fc976194b401123014b435a92172,,25,9,568,68,True,True,True,25,False,Tests_failed,581dd8221a13a22175e62834c3197ba6b71ef6fbc0a5e5079b0dc723541c37f4,False,Tests_failed,a3e6dd248071f8bc9ae440f6455a51b7afb31642f12067081e4167257d59cb33,False
8,refs/heads/master,a6dbc6b4a24074a18c0088b0a8fe7b7e3fe813b3,40fd37a27dd6d6a8316b5478ecc3a4aa8dde9c6f,9e5b9ab9fa67c3c0b697c6935fa2b18c20ab5cbc,,30,2,1595,55,False,True,True,30,False,,,,,,False
9,refs/heads/master,0b87a68917d7628469569027c282c13174feea89,4d25388a4744c6e4739256cd6c8e1157ac717fb8,76cb5f12450e5aeb57e7b4eb8bbca2b8c999f9fb,,9,9,0,Error,False,False,False,0,False,,,,,,False
