idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,sampled for testing
4,refs/heads/master,c866442d59764ab04bd7f9d555ac19c796d5341b,b9d65f5ec0a7f8c6237128d1bfdd7c28364cc3b6,fdee33517705ebceb2cea399ac3f9be42db0c703,,False,False,True,2,3,6,2,False,2,False
8,refs/heads/master,166d4981682a8f994924d12e610aefd5278f67c2,32e59f37e7cb1df799b564477e296fe5d93eb7a2,7d4cb047cc5cacf3c9a6801d4822cb8d135cea9f,,False,False,True,8,14,73,1,False,8,False
11,refs/heads/master,aeb33461965a184373ccef6998f9101a56226c4d,f81ebb19c4262fa3fe94454d39316ee8cfb98372,f08b25a1a858c149ed35681e38d849e71bf4ebf8,,False,True,True,6,10,45,1,False,6,False
12,refs/heads/master,ddb5bcc834510edeb167682c004ed00325f9a9cd,4f244556d4ce1ef630895eeec5fb690fd90ecfd1,dff15ed164b461182068a924cb0ec580e17fa73b,,False,False,True,4,5,9,2,False,4,False
13,refs/heads/master,3fcda9a9c4ee272c16c2538f22471fb547e5914f,7b39e4d8e6313d54bc574eabd5133bc718c89b9f,2ae867cf593ed9955f0ce1ea9f56659e5ba6add9,,False,False,True,3,15,71,1,False,3,False
14,refs/heads/master,2ae867cf593ed9955f0ce1ea9f56659e5ba6add9,df6cda815b4de6088c6a0dfe5faac28e1bc798b4,3478a50b57c514c918a4316a7cf0e9beb1d9f301,,False,False,True,3,18,113,1,False,3,False
16,refs/heads/master,fa394000940e30887eceafa35e16857f91652919,4bad1376b98fb2f7475ddacb88d0ac2d6c9164e1,5c4951688150966254f345966f045600257626c4,,False,True,True,4,6,22,1,False,4,False
17,refs/heads/master,4bad1376b98fb2f7475ddacb88d0ac2d6c9164e1,c9f68300cb305a5393c4fb40f67e287cd92d11dd,f0e0f6e3d5e269a534d3b2ddd40c59775c686026,,False,False,True,4,8,61,1,False,4,False
18,refs/heads/master,c9f68300cb305a5393c4fb40f67e287cd92d11dd,f4db638aba5509fde3323eb2fa10ae91f3fcd70d,c779c248b879314ba5357b511a4358a7a846a72f,,False,True,True,6,18,551,2,False,6,False
25,refs/heads/master,e8b681cbc1e77909c6588746b4789a4713f9752e,691e77c3e427f8f9fd3576efd3accb6240ee5ea6,ef7e4a8221bebdd481001b6a5423c16192ba0c3a,,False,True,True,7,12,204,1,False,7,False
