idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,sampled for testing
1,refs/heads/master,15e7f16d5b32be64e413b47b2203a2bcee99cbca,bc873dae062df0976196a0c8bacfe4bcc15d7a09,2ffdcf5055e631e699c93ca1a193a83961e27af3,,False,False,True,3,4,False,False
5,refs/heads/master,c6b7f06a91e4e6e8b1dc585f43d451a89e768932,c9e48756e3ce56b248adcbc0f37840e56966b140,3a484137ee9f05cbadfbdd3308c5622d641b88b1,,False,False,True,3,2,False,False
8,refs/heads/master,9078ab4121897a21e598dd4f0efa6996b46e4dea,f040e8b44b1df97fd92cf19411027bedeba9dd12,b9103941911a88bc5b9f8ddcad52a54c1c3d6ae7,,False,True,True,21,158,False,False
9,refs/heads/master,3aa3c142519424e4a8ac4a169322125388e5b1ad,166bf0b0c4b1090f86aa1c1aa328675e458d358c,215c2adedaf2f1e72f6fbc133562c7c00a813c71,,False,False,True,6,50,False,False
11,refs/heads/master,3ac1e81cb28fd7e75ce2abf5cc86f66100606fc6,af882da9a679901650a9a48bcb71f7bc08795b11,4cae77a33e55070722e1bcaf63ef42e1d8e1b499,,False,True,True,10,68,False,False
14,refs/heads/master,bafb374a42c063533b94a949f5a552fc202765e4,105f1f13b8fe29fd22b3dfbf1c1e70c48a4d25a2,8562305ba437287ce747b571ed7fd33a4044b197,,False,False,True,9,18,False,False
16,refs/heads/master,7abcec759e619d7b14b0198d2c4080823a9b9ca1,3085ec77472ff821aee876414905815aad59a65c,7b342317aefc69180e5d0b55009c4c8cf7c9bf90,,False,True,True,24,282,False,False
17,refs/heads/master,c2bc281017886774cb8d5d4d1d2e4c6c0f666440,b82e48a5291f6f152ad9d1e55bb7c08774b7f649,6e2a0da5cb80eb031ba250e54ec8a9a4d05dc1a6,,False,True,True,28,517,False,False
19,refs/heads/master,f0b66ccd262b58ce77108117a46ec14b47073481,8b8d8323228b7d83c61660780dec824f2f2b7e1f,6125addfe072d557a9b2474b773639d2f561480b,,False,True,True,8,66,False,False
20,refs/heads/master,44607847625db7730e6d199bf52613d45ae69463,aa3d763235781faea02c6ea88c5a00540c1273a2,b8fda4cb0d8b1a7dcb2688623fd0af326bfa1643,,False,False,True,3,14,False,False
21,refs/heads/master,26fed50f7a206f5c93cf529643e7545f6af626c4,9b4a392ba20238093dec328506e76864d92e951e,bf63d09cfd029345048fadb5b97516b6edd0343b,,False,True,True,5,17,False,False
23,refs/heads/master,42fe55a8e53970c37375745b6987767325f9fefb,31f4a2cdd6247bed063d6cca0c10c1bd7f574610,54ea9e7f034cfab9a6d1cff7a7f01cf1fb571073,,False,False,True,3,2,False,False
24,refs/heads/master,fc0ebe8dad9f95d424ca745ef4d6b19c94b1225e,dfc6f214ec94df48acc0ba7052b70bf2d5dd2b60,c0ccae88f2f178907359d2670d305cc3abd6011c,,False,True,True,4,25,False,False
25,refs/heads/master,b5664bc40c6b4bb4278d715b682d5c5b1e00f45c,28f403146215b0a0d0bd460f25aad881cb6a7cab,300d5655aa466ff9d5b69529c20558a9d9386c5a,,False,True,True,12,100,False,False
26,refs/heads/master,5301f29dd1ed95a5592c576cb205d3d16ad9c9e2,ce6e8583b39ad0b4ec8ed062faba8908b64ebe6e,fe036b87bc80721ef60ff1dbae73ddba7c2108bd,,False,False,True,3,92,False,False
27,refs/heads/master,75f2807c5ead71de8b0b68f85e647be952bd6786,fa765953f11d8e91947181eda63f2e396cd312c0,60e155d40b95cbb3d850fc78961ba85cb8bb83c4,,False,True,True,11,5,False,False
28,refs/heads/master,b868d7f2010e7ac2ce6233876ba69099b515e0c8,a156742c25499b45a9860017ac4ee3ed51e92e80,3989c6fdf6590bce37205da2e48df0961a9c10d4,,False,True,True,19,35,False,False
29,refs/heads/master,5a644672eb79d34d5e3c1718b7a6f5e769ccf481,d440223970b4de1933bceafe5a0ed8dc01b6ae9f,ab542bfa5851757328d7e365a67d78d233f4d3ff,,False,False,True,2,6,False,False
