idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
16,refs/heads/main,c152bc8eb6d302460f56f989e91c2967cc3a0894,5d9db79516070c1cfb1395891de45d9757fe188a,b9cb3eaadf28e6de3dfd222689e25d3195667421,,b69601d494c5ebb798cea0713432b207347ef3c775ef3f89e5d941ddc6eb502f,Tests_passed,50c67c674c272dd26b4e936e2c710d3d80bdfd873f0363ca295436a3c81e4718,Tests_passed,True,True,True,True,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc,Tests_failed,531d3ac94c678bc7ad613f1832fd7b7c2787a031ca3f55b62fe7b29f979956cb,Tests_passed,09ff371e7c84859d4695722a4c6de39541be05f0ba0eb72e16e46e882995bdbc
29,refs/heads/main,b712e336e13c0bc27119d445050721515f71f6d4,3d9cc3f853e4c6c83857cd4db8338c5ae668af5a,b707c2b2a7fa3dcfbc829d5df4b10295fc269744,,ba1fb4cc976ff19d62276defaaa7dbc0b3dadfc1c2422f1acef4356ac7b31353,Tests_passed,99b24a147f8d8c87dfd6d13af42962cebfba1158838bc64d1f6e8c3fa3929d11,Tests_passed,True,True,True,True,Merge_failed,b09778eeb7632258057bd7cd71e908391dac086212ee6bb70b55544d17d88c4a,Merge_failed,2c18412b9d8165c58b7d17781b6fdadf4f04f5c366e7f0dd9daff42928c91516,Merge_failed,b09778eeb7632258057bd7cd71e908391dac086212ee6bb70b55544d17d88c4a,Merge_failed,677bfa81d336abfdda12b893fbcbc88e0cbd2b1a2e10b53deb5554d339ae7437,Merge_failed,b09778eeb7632258057bd7cd71e908391dac086212ee6bb70b55544d17d88c4a,Merge_failed,b09778eeb7632258057bd7cd71e908391dac086212ee6bb70b55544d17d88c4a,Merge_failed,b09778eeb7632258057bd7cd71e908391dac086212ee6bb70b55544d17d88c4a,Merge_failed,116e57e8eaf5614e44719373d82b7e3d59543711047dee6138de52b6b681957e,Merge_failed,b09778eeb7632258057bd7cd71e908391dac086212ee6bb70b55544d17d88c4a,Merge_failed,b09778eeb7632258057bd7cd71e908391dac086212ee6bb70b55544d17d88c4a,Merge_failed,2c18412b9d8165c58b7d17781b6fdadf4f04f5c366e7f0dd9daff42928c91516,Merge_failed,e40e02d3bc11dec641f90297760e7e88be07a30f9e4f81ba5794b6d922bb1da7,Merge_failed,23964d5adaa0e633e5fcd611212c0a15bd4c9057d3a49839f3bb62599b8a0a02,Merge_failed,1edb4cad5cc28a3c0be5af2d40be62d71e84e2fc36881ca23f3afb7baa65f7bb
30,refs/heads/main,3d9cc3f853e4c6c83857cd4db8338c5ae668af5a,6395f70e114c4525aa633320cb622a94db7f8ade,9d08aa70b8819f097b16f845e33230671a0680bf,,808b269710add5d5e6da9137195f176747e4eb74de195c8c432bceb5d379fc0e,Tests_passed,f416ba97aeb62a830baae0373e391a023eb26596e425c72c6a1ccf64a395f36d,Tests_passed,True,True,True,True,Tests_passed,ba1fb4cc976ff19d62276defaaa7dbc0b3dadfc1c2422f1acef4356ac7b31353,Tests_passed,3676e1c47ee63667053bc5ec3172781f125e4d1a20f9fbf3064d10fee136998e,Tests_passed,ba1fb4cc976ff19d62276defaaa7dbc0b3dadfc1c2422f1acef4356ac7b31353,Tests_passed,3676e1c47ee63667053bc5ec3172781f125e4d1a20f9fbf3064d10fee136998e,Tests_passed,ba1fb4cc976ff19d62276defaaa7dbc0b3dadfc1c2422f1acef4356ac7b31353,Tests_passed,ba1fb4cc976ff19d62276defaaa7dbc0b3dadfc1c2422f1acef4356ac7b31353,Tests_passed,ba1fb4cc976ff19d62276defaaa7dbc0b3dadfc1c2422f1acef4356ac7b31353,Tests_passed,ba1fb4cc976ff19d62276defaaa7dbc0b3dadfc1c2422f1acef4356ac7b31353,Tests_passed,ba1fb4cc976ff19d62276defaaa7dbc0b3dadfc1c2422f1acef4356ac7b31353,Tests_passed,ba1fb4cc976ff19d62276defaaa7dbc0b3dadfc1c2422f1acef4356ac7b31353,Tests_passed,3676e1c47ee63667053bc5ec3172781f125e4d1a20f9fbf3064d10fee136998e,Tests_passed,ba1fb4cc976ff19d62276defaaa7dbc0b3dadfc1c2422f1acef4356ac7b31353,Tests_passed,b01231a8e56acfbef246f0c5e14c22dc2396b80f9a3766b1566888b86299fd5b,Tests_passed,ba1fb4cc976ff19d62276defaaa7dbc0b3dadfc1c2422f1acef4356ac7b31353
32,refs/heads/main,91a75fc15bc48b2c27f5eba7f00ed1b6260b76ab,6e6a3f20ec81f033327c8e40233ffbe9b205dc67,007dbd5e3544f560c570d7c28946035c90af9f00,,402a974c1d0433c3d7695179d5a5c1f8dddda09a50a4b76c61f1ed20454c59c7,Tests_passed,00734b06542741587151607c8d7fc7dcd2477ead045e306c856d28744e8d7787,Tests_passed,True,True,True,True,Merge_failed,4928f0891ec1189e40e36313716a41cedff72673609625f1ac1a3b10eb06cca8,Tests_failed,7429e262b26867b5c2f270eb7770d1d5ca78142bf883b56ad08c4eff743d514d,Merge_failed,4928f0891ec1189e40e36313716a41cedff72673609625f1ac1a3b10eb06cca8,Tests_failed,c607505471a35e54dd766dc1be5cfa04f4dcecf879d078fbde5a6fed5a8509ba,Merge_failed,4928f0891ec1189e40e36313716a41cedff72673609625f1ac1a3b10eb06cca8,Merge_failed,4928f0891ec1189e40e36313716a41cedff72673609625f1ac1a3b10eb06cca8,Merge_failed,4928f0891ec1189e40e36313716a41cedff72673609625f1ac1a3b10eb06cca8,Merge_failed,9584ec6eb2a4ba3793b6122a9991f6a0dd153d1e40b5d470cdb0f416e5899f4f,Merge_failed,4928f0891ec1189e40e36313716a41cedff72673609625f1ac1a3b10eb06cca8,Merge_failed,4928f0891ec1189e40e36313716a41cedff72673609625f1ac1a3b10eb06cca8,Tests_failed,7429e262b26867b5c2f270eb7770d1d5ca78142bf883b56ad08c4eff743d514d,Merge_failed,4ca048436ccce9748f95c5955cdcb95087e65a4b0168a41fb865ea90d40a1459,Merge_failed,c59c3d461411f136d39e908cd3a6d464995aede9e7818b64a379cdb27f0ace42,Merge_failed,4191bfa9639083eefc092aa95ce490e880457b6214e7e5c5c6738e14d13efd7a
47,refs/heads/main,1f4ad1b8eb3d8a919fd3948989199ca0a07330a0,15aa26eab74775139c1e7f58a4b734e0398c3649,f26da94780957d49d382415479ec66fd3e9a2fcd,,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,bda4b863436eaf402c490fecbc5fdccaad732a102c61452485e7717a2c03dcb4,Tests_passed,True,True,True,True,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba,Tests_passed,287f5f37c7b1aa51effbc429d62ee99cf6f24df5b65ccc6e8de498c11242f1b0,Tests_passed,4ecf109c3117c4f903c77cfa9ee5ac4d3e61db1e832f06b8774038afdc19ecba
48,refs/heads/main,15aa26eab74775139c1e7f58a4b734e0398c3649,208806d8a62aa19ee149349ada40ec3e2a464d28,d483b5709a4ba1e28d829a5b5a763b6abea685e5,,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,13a45f758d91d18ff8bffab80e3d4d72f4b69e986c3528c135b8d475105c7ad5,Tests_passed,True,True,True,True,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8,Tests_passed,d672b990d53f0f3775f534102464d808004864de96662fdcc3d8dc0111be2875,Tests_passed,eec3cb7efb1f8b3acd614ba3ecc6a3c578b7b5e0034ab95f45276c6af3d0c9e8
49,refs/heads/main,208806d8a62aa19ee149349ada40ec3e2a464d28,d28eea92ae2638e3e034c35d8778cc82dacab738,39b25bfa16d928eafff6fe920ee4f54eb839d915,,390a5178a66196007964ef73fb4c129bf12411151ac319e6d96cd28b276d80fb,Tests_passed,241523fb71d0eb47be70057987ae4ec38ba91108f2cb68e1fe9d5a0485fc466d,Tests_passed,True,True,True,True,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4,Tests_passed,dce1ca0a521ccec5d6ac04b82acbc81bdb166f7cec580cf5e88cae701e687011,Tests_passed,4bb80821fc4cdbdf9c7aaa0ce4c22c91a2e5d7fc403c774698902c99050ee4f4
